,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
0,0,0,2019-02-05,153.6389617919922,,
1,1,1,2019-02-06,151.71435546875,,
2,2,2,2019-02-07,153.26473999023438,,
3,3,3,2019-02-08,153.6389617919922,,
4,4,4,2019-02-11,154.13796997070312,,
5,5,5,2019-02-12,153.78155517578125,,
6,6,6,2019-02-13,154.77056884765625,153.6389617919922,
7,7,7,2019-02-14,156.63279724121094,151.71435546875,
8,8,8,2019-02-15,158.44161987304688,153.26473999023438,
9,9,9,2019-02-19,158.2455596923828,153.6389617919922,
10,10,10,2019-02-20,157.43475341796875,154.13796997070312,
11,11,11,2019-02-21,157.27432250976562,153.78155517578125,
12,12,12,2019-02-22,157.38128662109375,154.77056884765625,153.6389617919922
13,13,13,2019-02-25,155.24281311035156,156.63279724121094,151.71435546875
14,14,14,2019-02-26,155.05567932128906,158.44161987304688,153.26473999023438
15,15,15,2019-02-27,154.32505798339844,158.2455596923828,153.6389617919922
16,16,16,2019-02-28,156.95359802246094,157.43475341796875,154.13796997070312
17,17,17,2019-03-01,158.53070068359375,157.27432250976562,153.78155517578125
18,18,18,2019-03-04,160.10781860351562,157.38128662109375,154.77056884765625
19,19,19,2019-03-05,161.32852172851562,155.24281311035156,156.63279724121094
20,20,20,2019-03-06,161.85421752929688,155.05567932128906,158.44161987304688
21,21,21,2019-03-07,161.9433135986328,154.32505798339844,158.2455596923828
22,22,22,2019-03-08,161.81858825683594,156.95359802246094,157.43475341796875
23,23,23,2019-03-11,164.98171997070312,158.53070068359375,157.27432250976562
24,24,24,2019-03-12,165.50738525390625,160.10781860351562,157.38128662109375
25,25,25,2019-03-13,166.8260955810547,161.32852172851562,155.24281311035156
26,26,26,2019-03-14,167.4854736328125,161.85421752929688,155.05567932128906
27,27,27,2019-03-15,168.37652587890625,161.9433135986328,154.32505798339844
28,28,28,2019-03-18,168.3052215576172,161.81858825683594,156.95359802246094
29,29,29,2019-03-19,169.2140655517578,164.98171997070312,158.53070068359375
30,30,30,2019-03-20,170.66639709472656,165.50738525390625,160.10781860351562
31,31,31,2019-03-21,173.49095153808594,166.8260955810547,161.32852172851562
32,32,32,2019-03-22,172.54649353027344,167.4854736328125,161.85421752929688
33,33,33,2019-03-25,174.36415100097656,168.37652587890625,161.9433135986328
34,34,34,2019-03-26,173.79391479492188,168.3052215576172,161.81858825683594
35,35,35,2019-03-27,172.9385223388672,169.2140655517578,164.98171997070312
36,36,36,2019-03-28,173.68701171875,170.66639709472656,165.50738525390625
37,37,37,2019-03-29,175.58486938476562,173.49095153808594,166.8260955810547
38,38,38,2019-04-01,171.53070068359375,172.54649353027344,167.4854736328125
39,39,39,2019-04-02,173.8562774658203,174.36415100097656,168.37652587890625
40,40,40,2019-04-03,173.11671447753906,173.79391479492188,168.3052215576172
41,41,41,2019-04-04,172.0118865966797,172.9385223388672,169.2140655517578
42,42,42,2019-04-05,174.42652893066406,173.68701171875,170.66639709472656
43,43,43,2019-04-08,174.83639526367188,175.58486938476562,173.49095153808594
44,44,44,2019-04-09,175.28189086914062,171.53070068359375,172.54649353027344
45,45,45,2019-04-10,175.99798583984375,173.8562774658203,174.36415100097656
46,46,46,2019-04-11,176.0248260498047,173.11671447753906,173.79391479492188
47,47,47,2019-04-12,177.1974334716797,172.0118865966797,172.9385223388672
48,48,48,2019-04-15,175.52357482910156,174.42652893066406,173.68701171875
49,49,49,2019-04-16,172.04159545898438,174.83639526367188,175.58486938476562
50,50,50,2019-04-17,171.11961364746094,175.28189086914062,171.53070068359375
51,51,51,2019-04-18,172.67713928222656,175.99798583984375,173.8562774658203
52,52,52,2019-04-22,172.14903259277344,176.0248260498047,173.11671447753906
53,53,53,2019-04-23,173.11572265625,177.1974334716797,172.0118865966797
54,54,54,2019-04-24,172.96356201171875,175.52357482910156,174.42652893066406
55,55,55,2019-04-25,172.1221466064453,172.04159545898438,174.83639526367188
56,56,56,2019-04-26,172.9456787109375,171.11961364746094,175.28189086914062
57,57,57,2019-04-29,172.25640869140625,172.67713928222656,175.99798583984375
58,58,58,2019-04-30,174.8164520263672,172.14903259277344,176.0248260498047
59,59,59,2019-05-01,172.67713928222656,173.11572265625,177.1974334716797
60,60,60,2019-05-02,172.57867431640625,172.96356201171875,175.52357482910156
61,61,61,2019-05-03,172.712890625,172.1221466064453,172.04159545898438
62,62,62,2019-05-06,172.023681640625,172.9456787109375,171.11961364746094
63,63,63,2019-05-07,169.93807983398438,172.25640869140625,172.67713928222656
64,64,64,2019-05-08,171.54029846191406,174.8164520263672,172.14903259277344
65,65,65,2019-05-09,172.32803344726562,172.67713928222656,173.11572265625
66,66,66,2019-05-10,175.13873291015625,172.57867431640625,172.96356201171875
67,67,67,2019-05-13,176.23072814941406,172.712890625,172.1221466064453
68,68,68,2019-05-14,177.2959442138672,172.023681640625,172.9456787109375
69,69,69,2019-05-15,179.4442138671875,169.93807983398438,172.25640869140625
70,70,70,2019-05-16,180.8316650390625,171.54029846191406,174.8164520263672
71,71,71,2019-05-17,181.1986083984375,172.32803344726562,172.67713928222656
72,72,72,2019-05-20,177.45706176757812,175.13873291015625,172.57867431640625
73,73,73,2019-05-21,177.38543701171875,176.23072814941406,172.712890625
74,74,74,2019-05-22,179.62318420410156,177.2959442138672,172.023681640625
75,75,75,2019-05-23,181.63722229003903,179.4442138671875,169.93807983398438
76,76,76,2019-05-24,181.7088623046875,180.8316650390625,171.54029846191406
77,77,77,2019-05-28,181.3060302734375,181.1986083984375,172.32803344726562
78,78,78,2019-05-29,180.0349884033203,177.45706176757812,175.13873291015625
