,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BIIB,BIIB_6m,BIIB_12m,BIIB_6m_ret,BIIB_12m_ret
0,0,0,0,2019-02-05,336.989990234375,,,,
1,1,1,1,2019-02-06,333.239990234375,,,,
2,2,2,2,2019-02-07,308.7300109863281,,,,
3,3,3,3,2019-02-08,315.1199951171875,,,,
4,4,4,4,2019-02-11,316.8699951171875,,,,
5,5,5,5,2019-02-12,319.42999267578125,,,,
6,6,6,6,2019-02-13,321.5400085449219,336.989990234375,,-0.045847004769215105,
7,7,7,7,2019-02-14,324.7099914550781,333.239990234375,,-0.02559716429380976,
8,8,8,8,2019-02-15,332.8699951171875,308.7300109863281,,0.0781912456574505,
9,9,9,9,2019-02-19,333.0,315.1199951171875,,0.05674030578784195,
10,10,10,10,2019-02-20,335.1600036621094,316.8699951171875,,0.05772085974299235,
11,11,11,11,2019-02-21,321.1700134277344,319.42999267578125,,0.0054472679205150865,
12,12,12,12,2019-02-22,325.3299865722656,321.5400085449219,336.989990234375,0.011786956293540873,-0.034600445117078715
13,13,13,13,2019-02-25,327.4800109863281,324.7099914550781,333.239990234375,0.008530749296740359,-0.01728477798836736
14,14,14,14,2019-02-26,327.6199951171875,332.8699951171875,308.7300109863281,-0.015771923204287996,0.06118609613140569
15,15,15,15,2019-02-27,328.8900146484375,333.0,315.1199951171875,-0.01234229835304057,0.043697701652125165
16,16,16,16,2019-02-28,328.010009765625,335.1600036621094,316.8699951171875,-0.021333076197518563,0.0351564200463903
17,17,17,17,2019-03-01,334.1000061035156,321.1700134277344,319.42999267578125,0.04025902835007544,0.04592559798423279
18,18,18,18,2019-03-04,327.260009765625,325.3299865722656,321.5400085449219,0.005932509369008576,0.017789391891192885
19,19,19,19,2019-03-05,326.8699951171875,327.4800109863281,324.7099914550781,-0.001862757568937834,0.0066521010099813704
20,20,20,20,2019-03-06,317.9700012207031,327.6199951171875,332.8699951171875,-0.029454838045012033,-0.04476220180565926
21,21,21,21,2019-03-07,315.2900085449219,328.8900146484375,333.0,-0.04135122836749294,-0.05318315752275715
