,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BK,BK_6m,BK_12m,BK_6m_ret,BK_12m_ret
0,0,0,0,2019-02-05,45.16270446777344,,,,
1,1,1,1,2019-02-06,44.90520477294922,,,,
2,2,2,2,2019-02-07,44.72496795654297,,,,
3,3,3,3,2019-02-08,44.48465347290039,,,,
4,4,4,4,2019-02-11,44.63914108276367,,,,
5,5,5,5,2019-02-12,45.35150909423828,,,,
6,6,6,6,2019-02-13,44.99961853027344,45.16270446777344,,-0.0036110755416867146,
7,7,7,7,2019-02-14,44.43315887451172,44.90520477294922,,-0.010512053131129684,
8,8,8,8,2019-02-15,45.480255126953125,44.72496795654297,,0.016887371974062315,
9,9,9,9,2019-02-19,45.480255126953125,44.48465347290039,,0.022380789245874277,
10,10,10,10,2019-02-20,45.76348876953125,44.63914108276367,,0.025187484783431913,
11,11,11,11,2019-02-21,45.4459228515625,45.35150909423828,,0.0020818217344880097,
12,12,12,12,2019-02-22,45.67766189575195,44.99961853027344,45.16270446777344,0.015067758074934767,0.011402271720595714
13,13,13,13,2019-02-25,45.42876052856445,44.43315887451172,44.90520477294922,0.02240672685155065,0.011659133017262624
14,14,14,14,2019-02-26,45.52316284179688,45.480255126953125,44.72496795654297,0.0009434361070310704,0.017846740237566605
15,15,15,15,2019-02-27,45.27426910400391,45.480255126953125,44.48465347290039,-0.004529130770577816,0.01775029295405317
16,16,16,16,2019-02-28,45.04253387451172,45.76348876953125,44.63914108276367,-0.01575393210623255,0.009036750751994393
17,17,17,17,2019-03-01,45.22277069091797,45.4459228515625,45.35150909423828,-0.004910279000679529,-0.0028386795917375585
18,18,18,18,2019-03-04,44.55330657958984,45.67766189575195,44.99961853027344,-0.024614992744772746,-0.009918127425532441
19,19,19,19,2019-03-05,45.188438415527344,45.42876052856445,44.43315887451172,-0.005290087386073394,0.016998105922396478
20,20,20,20,2019-03-06,44.68205261230469,45.52316284179688,45.480255126953125,-0.018476533197292144,-0.017550528518812003
21,21,21,21,2019-03-07,43.96968460083008,45.27426910400391,45.480255126953125,-0.028815142220782186,-0.033213765444069177
22,22,22,22,2019-03-08,44.18425750732422,45.04253387451172,45.76348876953125,-0.01905479761815032,-0.03450854173640849
23,23,23,23,2019-03-11,44.48465347290039,45.22277069091797,45.4459228515625,-0.01632180440827813,-0.021151938795518577
24,24,24,24,2019-03-12,44.55330657958984,44.55330657958984,45.67766189575195,0.0,-0.024614992744772746
25,25,25,25,2019-03-13,45.00819778442383,45.188438415527344,45.42876052856445,-0.003988644826495746,-0.00925763193288498
26,26,26,26,2019-03-14,45.28285217285156,44.68205261230469,45.52316284179688,0.013446104765147293,-0.005278865833212243
27,27,27,27,2019-03-15,45.591827392578125,43.96968460083008,45.27426910400391,0.03689229992151044,0.007014100831638226
28,28,28,28,2019-03-18,46.32995223999024,44.18425750732422,45.04253387451172,0.048562425934403075,0.02858228111822636
29,29,29,29,2019-03-19,45.591827392578125,44.48465347290039,45.22277069091797,0.02488889613026246,0.008160860027408123
30,30,30,30,2019-03-20,44.61339569091797,44.55330657958984,44.55330657958984,0.001348701498075977,0.001348701498075977
31,31,31,31,2019-03-21,44.53614044189453,45.00819778442383,45.188438415527344,-0.010488252491030914,-0.014435063403489434
32,32,32,32,2019-03-22,43.343143463134766,45.28285217285156,44.68205261230469,-0.04283539169115569,-0.029965256090343728
33,33,33,33,2019-03-25,43.15430450439453,45.591827392578125,43.96968460083008,-0.05346403133164157,-0.018544142489031024
34,34,34,34,2019-03-26,43.634952545166016,46.32995223999024,44.18425750732422,-0.058169705871140676,-0.012432141969730859
35,35,35,35,2019-03-27,42.99982452392578,45.591827392578125,44.48465347290039,-0.056852357470415726,-0.03337845375999504
36,36,36,36,2019-03-28,43.24872589111328,44.61339569091797,44.55330657958984,-0.03058879017546956,-0.029281343824527517
37,37,37,37,2019-03-29,43.28305435180664,44.53614044189453,45.00819778442383,-0.028136387160058618,-0.03832953811836948
38,38,38,38,2019-04-01,44.16709518432617,43.343143463134766,45.28285217285156,0.019009966868051675,-0.024639724199932767
39,39,39,39,2019-04-02,44.07267761230469,43.15430450439453,45.591827392578125,0.021281147233334075,-0.033320660020763726
40,40,40,40,2019-04-03,43.97826766967773,43.634952545166016,46.32995223999024,0.007867892698092183,-0.050759486177122115
41,41,41,41,2019-04-04,44.15851211547852,42.99982452392578,45.591827392578125,0.026946333023011082,-0.03143798700494582
42,42,42,42,2019-04-05,43.92676162719727,43.24872589111328,44.61339569091797,0.015677588694545053,-0.015390759951959376
43,43,43,43,2019-04-08,43.98683547973633,43.28305435180664,44.53614044189453,0.01625996913732841,-0.012333914809588675
44,44,44,44,2019-04-09,43.763702392578125,44.16709518432617,43.343143463134766,-0.00913333308574027,0.009703009422956654
45,45,45,45,2019-04-10,44.02117919921875,44.07267761230469,43.15430450439453,-0.001168488412230273,0.02008779204716271
46,46,46,46,2019-04-11,44.3644905090332,43.97826766967773,43.634952545166016,0.008782129443033249,0.016719118993244075
47,47,47,47,2019-04-12,45.32576370239258,44.15851211547852,42.99982452392578,0.026433218217624344,0.054091829541597525
48,48,48,48,2019-04-15,45.14552688598633,43.92676162719727,43.24872589111328,0.027745392868534502,0.043857962420640995
49,49,49,49,2019-04-16,45.866477966308594,43.98683547973633,43.28305435180664,0.042731932544639806,0.0596867215863226
50,50,50,50,2019-04-17,41.497833251953125,43.763702392578125,44.16709518432617,-0.051775078815298525,-0.060435532860678265
51,51,51,51,2019-04-18,41.54933166503906,44.02117919921875,44.07267761230469,-0.05615132486554464,-0.057254201105338076
52,52,52,52,2019-04-22,41.36050796508789,44.3644905090332,43.97826766967773,-0.06771141761075028,-0.059523938601945825
53,53,53,53,2019-04-23,41.600830078125,45.32576370239258,44.15851211547852,-0.0821813758886748,-0.057920475913340375
54,54,54,54,2019-04-24,41.32617568969727,45.14552688598633,43.92676162719727,-0.084600877644749,-0.05920276936349089
55,55,55,55,2019-04-25,41.66949844360352,45.866477966308594,43.98683547973633,-0.0915042904708746,-0.05268251309418126
56,56,56,56,2019-04-26,41.80760955810547,41.497833251953125,43.763702392578125,0.0074648790521554265,-0.04469669446441504
57,57,57,57,2019-04-29,42.627716064453125,41.54933166503906,44.02117919921875,0.025954313973272525,-0.03165438000784759
58,58,58,58,2019-04-30,42.86941909790039,41.36050796508789,44.3644905090332,0.036481929430996374,-0.033699731338701966
59,59,59,59,2019-05-01,42.670860290527344,41.600830078125,45.32576370239258,0.0257213668667875,-0.05857382634073727
