,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CB,CB_6m,CB_12m,CB_6m_ret,CB_12m_ret
0,0,0,0,2019-02-05,122.18109893798828,,,,
1,1,1,1,2019-02-06,117.97549438476562,,,,
2,2,2,2,2019-02-07,118.64766693115234,,,,
3,3,3,3,2019-02-08,118.40241241455078,,,,
4,4,4,4,2019-02-11,118.60224151611328,,,,
5,5,5,5,2019-02-12,120.1191635131836,,,,
6,6,6,6,2019-02-13,120.3644027709961,122.18109893798828,,-0.014868880561585307,
7,7,7,7,2019-02-14,118.7384796142578,117.97549438476562,,0.006467319619816836,
8,8,8,8,2019-02-15,121.00025939941406,118.64766693115234,,0.019828392155632146,
9,9,9,9,2019-02-19,121.49983215332033,118.40241241455078,,0.02616010667016533,
10,10,10,10,2019-02-20,122.45359802246094,118.60224151611328,,0.03247288126358394,
11,11,11,11,2019-02-21,122.36276245117188,120.1191635131836,,0.01867810990660157,
12,12,12,12,2019-02-22,122.18109893798828,120.3644027709961,122.18109893798828,0.01509330105221074,0.0
13,13,13,13,2019-02-25,122.96224212646484,118.7384796142578,117.97549438476562,0.03557197739038487,0.04226935235749396
14,14,14,14,2019-02-26,122.78060150146484,121.00025939941406,118.64766693115234,0.01471353954848964,0.034833677536286745
15,15,15,15,2019-02-27,120.83673858642578,121.49983215332033,118.40241241455078,-0.005457567760733917,0.020559768354650787
16,16,16,16,2019-02-28,121.62700653076172,122.45359802246094,118.60224151611328,-0.006750242582072574,0.025503438855643434
17,17,17,17,2019-03-01,121.82684326171876,122.36276245117188,120.1191635131836,-0.0043797571966959215,0.014216547123621526
18,18,18,18,2019-03-04,121.32728576660156,122.18109893798828,120.3644027709961,-0.006988095366698754,0.007999732258360703
19,19,19,19,2019-03-05,121.30001068115234,122.96224212646484,118.7384796142578,-0.013518226543095424,0.02157288079834041
20,20,20,20,2019-03-06,121.07292938232422,122.78060150146484,121.00025939941406,-0.013908321821670233,0.000600577083643028
21,21,21,21,2019-03-07,120.51882934570312,120.83673858642578,121.49983215332033,-0.0026308988842435044,-0.00807410833604505
22,22,22,22,2019-03-08,120.2281494140625,121.62700653076172,122.45359802246094,-0.011501204844217128,-0.018173811503605086
23,23,23,23,2019-03-11,121.18192291259766,121.82684326171876,122.36276245117188,-0.005293745876150058,-0.009650317751247472
24,24,24,24,2019-03-12,121.80866241455078,121.32728576660156,122.18109893798828,0.003967587710445031,-0.003048233537550127
25,25,25,25,2019-03-13,122.19019317626952,121.30001068115234,122.96224212646484,0.007338684391851258,-0.006278748149381341
