,Unnamed: 0.1,Unnamed: 0,Date,CTSH,CTSH_6m,CTSH_12m
0,0,0,2019-02-05,66.30864715576172,,
1,1,1,2019-02-06,69.37220764160156,,
2,2,2,2019-02-07,67.96611785888672,,
3,3,3,2019-02-08,68.12444305419922,,
4,4,4,2019-02-11,67.94752502441406,,
5,5,5,2019-02-12,68.39446258544922,,
6,6,6,2019-02-13,68.51551818847656,66.30864715576172,
7,7,7,2019-02-14,68.08718872070312,69.37220764160156,
8,8,8,2019-02-15,68.49691009521484,67.96611785888672,
9,9,9,2019-02-19,68.14305877685547,68.12444305419922,
10,10,10,2019-02-20,67.46143341064453,67.94752502441406,
11,11,11,2019-02-21,66.61175537109375,68.39446258544922,
12,12,12,2019-02-22,67.58281707763672,68.51551818847656,66.30864715576172
13,13,13,2019-02-25,67.46143341064453,68.08718872070312,69.37220764160156
14,14,14,2019-02-26,67.2653579711914,68.49691009521484,67.96611785888672
15,15,15,2019-02-27,66.58373260498047,68.14305877685547,68.12444305419922
16,16,16,2019-02-28,66.27562713623047,67.46143341064453,67.94752502441406
17,17,17,2019-03-01,67.3493881225586,66.61175537109375,68.39446258544922
18,18,18,2019-03-04,67.00391387939453,67.58281707763672,68.51551818847656
19,19,19,2019-03-05,66.65843963623047,67.46143341064453,68.08718872070312
20,20,20,2019-03-06,66.72380828857422,67.2653579711914,68.49691009521484
21,21,21,2019-03-07,67.53614044189453,66.58373260498047,68.14305877685547
22,22,22,2019-03-08,66.43434143066406,66.27562713623047,67.46143341064453
23,23,23,2019-03-11,67.5548095703125,67.3493881225586,66.61175537109375
24,24,24,2019-03-12,67.0225830078125,67.00391387939453,67.58281707763672
25,25,25,2019-03-13,66.49037170410156,66.65843963623047,67.46143341064453
26,26,26,2019-03-14,66.22891998291016,66.72380828857422,67.2653579711914
27,27,27,2019-03-15,67.3493881225586,67.53614044189453,66.58373260498047
28,28,28,2019-03-18,67.11595153808594,66.43434143066406,66.27562713623047
29,29,29,2019-03-19,67.24668884277344,67.5548095703125,67.3493881225586
30,30,30,2019-03-20,66.95722198486328,67.0225830078125,67.00391387939453
31,31,31,2019-03-21,67.41474914550781,66.49037170410156,66.65843963623047
32,32,32,2019-03-22,66.19158172607422,66.22891998291016,66.72380828857422
33,33,33,2019-03-25,66.06085968017578,67.3493881225586,67.53614044189453
34,34,34,2019-03-26,66.37830352783203,67.11595153808594,66.43434143066406
35,35,35,2019-03-27,66.3222885131836,67.24668884277344,67.5548095703125
36,36,36,2019-03-28,66.83584594726562,66.95722198486328,67.0225830078125
37,37,37,2019-03-29,67.648193359375,67.41474914550781,66.49037170410156
38,38,38,2019-04-01,68.95539093017578,66.19158172607422,66.22891998291016
39,39,39,2019-04-02,68.69395446777344,66.06085968017578,67.3493881225586
40,40,40,2019-04-03,69.2635269165039,66.37830352783203,67.11595153808594
41,41,41,2019-04-04,68.89936828613281,66.3222885131836,67.24668884277344
42,42,42,2019-04-05,69.28219604492188,66.83584594726562,66.95722198486328
43,43,43,2019-04-08,69.47830963134766,67.648193359375,67.41474914550781
44,44,44,2019-04-09,69.44093322753906,68.95539093017578,66.19158172607422
45,45,45,2019-04-10,69.65567779541016,68.69395446777344,66.06085968017578
46,46,46,2019-04-11,69.27286529541016,69.2635269165039,66.37830352783203
47,47,47,2019-04-12,69.36621856689453,68.89936828613281,66.3222885131836
48,48,48,2019-04-15,69.39425659179688,69.28219604492188,66.83584594726562
49,49,49,2019-04-16,67.1346435546875,69.47830963134766,67.648193359375
50,50,50,2019-04-17,67.3680648803711,69.44093322753906,68.95539093017578
51,51,51,2019-04-18,66.61175537109375,69.65567779541016,68.69395446777344
52,52,52,2019-04-22,66.74247741699219,69.27286529541016,69.2635269165039
53,53,53,2019-04-23,68.02169036865234,69.36621856689453,68.89936828613281
54,54,54,2019-04-24,67.85359954833984,69.39425659179688,69.28219604492188
55,55,55,2019-04-25,68.09636688232422,67.1346435546875,69.47830963134766
56,56,56,2019-04-26,68.50720977783203,67.3680648803711,69.44093322753906
57,57,57,2019-04-29,67.60150146484375,66.61175537109375,69.65567779541016
58,58,58,2019-04-30,68.1243896484375,66.74247741699219,69.27286529541016
59,59,59,2019-05-01,67.39607238769531,68.02169036865234,69.36621856689453
60,60,60,2019-05-02,62.19524765014648,67.85359954833984,69.39425659179688
61,61,61,2019-05-03,55.32304763793945,68.09636688232422,67.1346435546875
62,62,62,2019-05-06,55.64985656738281,68.50720977783203,67.3680648803711
