,Unnamed: 0.1,Unnamed: 0,Date,DAL,DAL_6m,DAL_12m
0,0,0,2019-02-05,48.627471923828125,,
1,1,1,2019-02-06,48.60822296142578,,
2,2,2,2019-02-07,48.50238800048828,,
3,3,3,2019-02-08,48.56011962890625,,
4,4,4,2019-02-11,48.69481658935547,,
5,5,5,2019-02-12,48.00206756591797,,
6,6,6,2019-02-13,48.50238800048828,48.627471923828125,
7,7,7,2019-02-14,48.56973648071289,48.60822296142578,
8,8,8,2019-02-15,49.14703369140625,48.50238800048828,
9,9,9,2019-02-19,49.85902786254883,48.56011962890625,
10,10,10,2019-02-20,49.30097961425781,48.69481658935547,
11,11,11,2019-02-21,49.53189849853516,48.00206756591797,
12,12,12,2019-02-22,49.57038497924805,48.50238800048828,48.627471923828125
13,13,13,2019-02-25,49.46454620361328,48.56973648071289,48.60822296142578
14,14,14,2019-02-26,49.18551635742188,49.14703369140625,48.50238800048828
15,15,15,2019-02-27,48.521629333496094,49.85902786254883,48.56011962890625
16,16,16,2019-02-28,48.03718948364258,49.30097961425781,48.69481658935547
17,17,17,2019-03-01,47.43647766113281,49.53189849853516,48.00206756591797
18,18,18,2019-03-04,47.27177810668945,49.57038497924805,48.50238800048828
19,19,19,2019-03-05,48.17283630371094,49.46454620361328,48.56973648071289
20,20,20,2019-03-06,48.16314315795898,49.18551635742188,49.14703369140625
21,21,21,2019-03-07,48.04687881469727,48.521629333496094,49.85902786254883
22,22,22,2019-03-08,48.04687881469727,48.03718948364258,49.30097961425781
23,23,23,2019-03-11,49.52926254272461,47.43647766113281,49.53189849853516
24,24,24,2019-03-12,49.0932731628418,47.27177810668945,49.57038497924805
25,25,25,2019-03-13,49.432376861572266,48.17283630371094,49.46454620361328
26,26,26,2019-03-14,49.35486602783203,48.16314315795898,49.18551635742188
27,27,27,2019-03-15,49.59708786010742,48.04687881469727,48.521629333496094
28,28,28,2019-03-18,49.161094665527344,48.04687881469727,48.03718948364258
29,29,29,2019-03-19,49.374244689941406,49.52926254272461,47.43647766113281
30,30,30,2019-03-20,48.31816482543945,49.0932731628418,47.27177810668945
31,31,31,2019-03-21,48.73478317260742,49.432376861572266,48.17283630371094
32,32,32,2019-03-22,48.21158599853516,49.35486602783203,48.16314315795898
33,33,33,2019-03-25,47.50430679321289,49.59708786010742,48.04687881469727
34,34,34,2019-03-26,47.56243896484375,49.161094665527344,48.04687881469727
35,35,35,2019-03-27,48.41505432128906,49.374244689941406,49.52926254272461
36,36,36,2019-03-28,48.7541618347168,48.31816482543945,49.0932731628418
37,37,37,2019-03-29,50.042781829833984,48.73478317260742,49.432376861572266
38,38,38,2019-04-01,50.55628204345703,48.21158599853516,49.35486602783203
39,39,39,2019-04-02,53.6082649230957,47.50430679321289,49.59708786010742
40,40,40,2019-04-03,55.226295471191406,47.56243896484375,49.161094665527344
41,41,41,2019-04-04,55.43944549560547,48.41505432128906,49.374244689941406
42,42,42,2019-04-05,55.9335823059082,48.7541618347168,48.31816482543945
43,43,43,2019-04-08,55.91420364379883,50.042781829833984,48.73478317260742
44,44,44,2019-04-09,55.17784881591797,50.55628204345703,48.21158599853516
45,45,45,2019-04-10,56.05953598022461,53.6082649230957,47.50430679321289
46,46,46,2019-04-11,56.57304000854492,55.226295471191406,47.56243896484375
47,47,47,2019-04-12,56.24361801147461,55.43944549560547,48.41505432128906
48,48,48,2019-04-15,55.662296295166016,55.9335823059082,48.7541618347168
49,49,49,2019-04-16,56.3017578125,55.91420364379883,50.042781829833984
50,50,50,2019-04-17,56.61179733276367,55.17784881591797,50.55628204345703
51,51,51,2019-04-18,56.3598861694336,56.05953598022461,53.6082649230957
52,52,52,2019-04-22,55.95295333862305,56.57304000854492,55.226295471191406
53,53,53,2019-04-23,56.427711486816406,56.24361801147461,55.43944549560547
54,54,54,2019-04-24,56.04984664916992,55.662296295166016,55.9335823059082
55,55,55,2019-04-25,54.94532012939453,56.3017578125,55.91420364379883
56,56,56,2019-04-26,55.33287048339844,56.61179733276367,55.17784881591797
57,57,57,2019-04-29,55.9335823059082,56.3598861694336,56.05953598022461
58,58,58,2019-04-30,56.47615432739258,55.95295333862305,56.57304000854492
59,59,59,2019-05-01,55.73535537719727,56.427711486816406,56.24361801147461
60,60,60,2019-05-02,56.20322799682617,56.04984664916992,55.662296295166016
61,61,61,2019-05-03,56.339691162109375,54.94532012939453,56.3017578125
62,62,62,2019-05-06,56.27146530151367,55.33287048339844,56.61179733276367
63,63,63,2019-05-07,55.72560501098633,55.9335823059082,56.3598861694336
64,64,64,2019-05-08,55.02379608154297,56.47615432739258,55.95295333862305
65,65,65,2019-05-09,55.16025924682617,55.73535537719727,56.427711486816406
66,66,66,2019-05-10,55.18949890136719,56.20322799682617,56.04984664916992
67,67,67,2019-05-13,53.415489196777344,56.339691162109375,54.94532012939453
68,68,68,2019-05-14,53.854122161865234,56.27146530151367,55.33287048339844
69,69,69,2019-05-15,53.6591682434082,55.72560501098633,55.9335823059082
70,70,70,2019-05-16,53.9808349609375,55.02379608154297,56.47615432739258
71,71,71,2019-05-17,53.50321578979492,55.16025924682617,55.73535537719727
72,72,72,2019-05-20,52.90862655639648,55.18949890136719,56.20322799682617
73,73,73,2019-05-21,53.44472885131836,53.415489196777344,56.339691162109375
74,74,74,2019-05-22,52.694183349609375,53.854122161865234,56.27146530151367
75,75,75,2019-05-23,52.63569641113281,53.6591682434082,55.72560501098633
76,76,76,2019-05-24,52.75266647338867,53.9808349609375,55.02379608154297
77,77,77,2019-05-28,52.51873016357422,53.50321578979492,55.16025924682617
78,78,78,2019-05-29,51.86565399169922,52.90862655639648,55.18949890136719
79,79,79,2019-05-30,51.69020080566406,53.44472885131836,53.415489196777344
80,80,80,2019-05-31,50.1988639831543,52.694183349609375,53.854122161865234
81,81,81,2019-06-03,50.7837028503418,52.63569641113281,53.6591682434082
82,82,82,2019-06-04,52.9378662109375,52.75266647338867,53.9808349609375
83,83,83,2019-06-05,53.55195236206055,52.51873016357422,53.50321578979492
84,84,84,2019-06-06,53.30826187133789,51.86565399169922,52.90862655639648
85,85,85,2019-06-07,53.67866516113281,51.69020080566406,53.44472885131836
86,86,86,2019-06-10,53.34725570678711,50.1988639831543,52.694183349609375
87,87,87,2019-06-11,53.49346160888672,50.7837028503418,52.63569641113281
88,88,88,2019-06-12,54.0490608215332,52.9378662109375,52.75266647338867
89,89,89,2019-06-13,55.09203338623047,53.55195236206055,52.51873016357422
90,90,90,2019-06-14,54.57542419433594,53.30826187133789,51.86565399169922
91,91,91,2019-06-17,54.26350784301758,53.67866516113281,51.69020080566406
92,92,92,2019-06-18,54.61441040039063,53.34725570678711,50.1988639831543
93,93,93,2019-06-19,54.93606948852539,53.49346160888672,50.7837028503418
94,94,94,2019-06-20,54.55592727661133,54.0490608215332,52.9378662109375
95,95,95,2019-06-21,54.57542419433594,55.09203338623047,53.55195236206055
96,96,96,2019-06-24,54.65340423583984,54.57542419433594,53.30826187133789
97,97,97,2019-06-25,54.50718688964844,54.26350784301758,53.67866516113281
98,98,98,2019-06-26,54.95556640625,54.61441040039063,53.34725570678711
99,99,99,2019-06-27,55.38445281982422,54.93606948852539,53.49346160888672
100,100,100,2019-06-28,55.316219329833984,54.55592727661133,54.0490608215332
101,101,101,2019-07-01,56.3299446105957,54.57542419433594,55.09203338623047
102,102,102,2019-07-02,57.060997009277344,54.65340423583984,54.57542419433594
103,103,103,2019-07-03,57.65559005737305,54.50718688964844,54.26350784301758
104,104,104,2019-07-05,57.21695327758789,54.95556640625,54.61441040039063
105,105,105,2019-07-08,57.870025634765625,55.38445281982422,54.93606948852539
106,106,106,2019-07-09,57.47038269042969,55.316219329833984,54.55592727661133
107,107,107,2019-07-10,57.96749877929688,56.3299446105957,54.57542419433594
108,108,108,2019-07-11,58.64006805419922,57.060997009277344,54.65340423583984
109,109,109,2019-07-12,60.09242248535156,57.65559005737305,54.50718688964844
