,Unnamed: 0.1,Unnamed: 0,Date,DOW,DOW_6m,DOW_12m
0,0,0,2019-03-20,38.70742034912109,,
1,1,1,2019-03-21,38.070068359375,,
2,2,2,2019-03-22,37.774715423583984,,
3,3,3,2019-03-25,38.20220947265625,,
4,4,4,2019-03-26,37.96902847290039,,
5,5,5,2019-03-27,38.94059371948242,,
6,6,6,2019-03-28,39.523536682128906,38.70742034912109,
7,7,7,2019-03-29,40.12979888916016,38.070068359375,
8,8,8,2019-04-01,41.583274841308594,37.774715423583984,
9,9,9,2019-04-02,43.720733642578125,38.20220947265625,
10,10,10,2019-04-03,44.21040344238281,37.96902847290039,
11,11,11,2019-04-04,46.41004943847656,38.94059371948242,
12,12,12,2019-04-05,44.49020767211914,39.523536682128906,38.70742034912109
13,13,13,2019-04-08,44.420257568359375,40.12979888916016,38.070068359375
14,14,14,2019-04-09,43.73627853393555,41.583274841308594,37.774715423583984
15,15,15,2019-04-10,43.30101013183594,43.720733642578125,38.20220947265625
16,16,16,2019-04-11,42.66366195678711,44.21040344238281,37.96902847290039
17,17,17,2019-04-12,45.31410598754883,46.41004943847656,38.94059371948242
18,18,18,2019-04-15,44.90993881225586,44.49020767211914,39.523536682128906
19,19,19,2019-04-16,45.46955108642578,44.420257568359375,40.12979888916016
20,20,20,2019-04-17,45.32965469360352,43.73627853393555,41.583274841308594
21,21,21,2019-04-18,44.902156829833984,43.30101013183594,43.720733642578125
22,22,22,2019-04-22,44.99542999267578,42.66366195678711,44.21040344238281
23,23,23,2019-04-23,44.801116943359375,45.31410598754883,46.41004943847656
24,24,24,2019-04-24,43.510868072509766,44.90993881225586,44.49020767211914
25,25,25,2019-04-25,43.005653381347656,45.46955108642578,44.420257568359375
26,26,26,2019-04-26,42.94347381591797,45.32965469360352,43.73627853393555
27,27,27,2019-04-29,43.137786865234375,44.902156829833984,43.30101013183594
28,28,28,2019-04-30,44.09381103515625,44.99542999267578,42.66366195678711
29,29,29,2019-05-01,43.62746047973633,44.801116943359375,45.31410598754883
30,30,30,2019-05-02,40.96146774291992,43.510868072509766,44.90993881225586
31,31,31,2019-05-03,41.427825927734375,43.005653381347656,45.46955108642578
32,32,32,2019-05-06,41.55217742919922,42.94347381591797,45.32965469360352
33,33,33,2019-05-07,41.15578079223633,43.137786865234375,44.902156829833984
34,34,34,2019-05-08,40.790470123291016,44.09381103515625,44.99542999267578
35,35,35,2019-05-09,41.14023971557617,43.62746047973633,44.801116943359375
36,36,36,2019-05-10,41.249053955078125,40.96146774291992,43.510868072509766
37,37,37,2019-05-13,39.60126495361328,41.427825927734375,43.005653381347656
38,38,38,2019-05-14,40.790470123291016,41.55217742919922,42.94347381591797
39,39,39,2019-05-15,41.15578079223633,41.15578079223633,43.137786865234375
40,40,40,2019-05-16,41.17909240722656,40.790470123291016,44.09381103515625
41,41,41,2019-05-17,39.48467254638672,41.14023971557617,43.62746047973633
42,42,42,2019-05-20,38.9250602722168,41.249053955078125,40.96146774291992
43,43,43,2019-05-21,39.3525505065918,39.60126495361328,41.427825927734375
44,44,44,2019-05-22,39.02609634399414,40.790470123291016,41.55217742919922
45,45,45,2019-05-23,37.86021041870117,41.15578079223633,41.15578079223633
46,46,46,2019-05-24,38.24106216430664,41.17909240722656,40.790470123291016
47,47,47,2019-05-28,37.74362182617188,39.48467254638672,41.14023971557617
48,48,48,2019-05-29,37.86021041870117,38.9250602722168,41.249053955078125
49,49,49,2019-05-30,38.22296905517578,39.3525505065918,39.60126495361328
50,50,50,2019-05-31,36.87447738647461,39.02609634399414,40.790470123291016
51,51,51,2019-06-03,37.82077407836914,37.86021041870117,41.15578079223633
52,52,52,2019-06-04,39.374305725097656,38.24106216430664,41.17909240722656
53,53,53,2019-06-05,39.69762802124024,37.74362182617188,39.48467254638672
54,54,54,2019-06-06,40.26540756225586,37.86021041870117,38.9250602722168
55,55,55,2019-06-07,40.45466995239258,38.22296905517578,39.3525505065918
56,56,56,2019-06-10,40.70701217651367,36.87447738647461,39.02609634399414
57,57,57,2019-06-11,41.03822708129883,37.82077407836914,37.86021041870117
58,58,58,2019-06-12,41.393104553222656,39.374305725097656,38.24106216430664
59,59,59,2019-06-13,41.70065307617188,39.69762802124024,37.74362182617188
60,60,60,2019-06-14,40.33638381958008,40.26540756225586,37.86021041870117
61,61,61,2019-06-17,38.91691970825195,40.45466995239258,38.22296905517578
62,62,62,2019-06-18,39.1219482421875,40.70701217651367,36.87447738647461
63,63,63,2019-06-19,38.24661636352539,41.03822708129883,37.82077407836914
