,Unnamed: 0.1,Unnamed: 0,Date,HUBB,HUBB_6m,HUBB_12m
0,0,0,2019-02-05,101.97042846679688,,
1,1,1,2019-02-06,103.15196990966795,,
2,2,2,2019-02-07,102.9371566772461,,
3,3,3,2019-02-08,103.22357177734376,,
4,4,4,2019-02-11,103.18778228759766,,
5,5,5,2019-02-12,103.7964324951172,,
6,6,6,2019-02-13,104.62890625,101.97042846679688,
7,7,7,2019-02-14,103.69799041748048,103.15196990966795,
8,8,8,2019-02-15,106.16847229003906,102.9371566772461,
9,9,9,2019-02-19,106.23112487792967,103.22357177734376,
10,10,10,2019-02-20,107.22469329833984,103.18778228759766,
11,11,11,2019-02-21,106.7323989868164,103.7964324951172,
12,12,12,2019-02-22,107.58273315429688,104.62890625,101.97042846679688
13,13,13,2019-02-25,107.98552703857422,103.69799041748048,103.15196990966795
14,14,14,2019-02-26,106.54441833496094,106.16847229003906,102.9371566772461
15,15,15,2019-02-27,106.92303466796876,106.23112487792967,103.22357177734376
16,16,16,2019-02-28,106.41822052001952,107.22469329833984,103.18778228759766
17,17,17,2019-03-01,106.46327209472656,106.7323989868164,103.7964324951172
18,18,18,2019-03-04,105.5978775024414,107.58273315429688,104.62890625
19,19,19,2019-03-05,106.535400390625,107.98552703857422,103.69799041748048
20,20,20,2019-03-06,107.23856353759766,106.54441833496094,106.16847229003906
21,21,21,2019-03-07,107.7704086303711,106.92303466796876,106.23112487792967
22,22,22,2019-03-08,106.19286346435548,106.41822052001952,107.22469329833984
23,23,23,2019-03-11,107.25657653808594,106.46327209472656,106.7323989868164
24,24,24,2019-03-12,107.02220916748048,105.5978775024414,107.58273315429688
25,25,25,2019-03-13,109.37501525878906,106.535400390625,107.98552703857422
26,26,26,2019-03-14,109.25784301757812,107.23856353759766,106.54441833496094
27,27,27,2019-03-15,111.5114974975586,107.7704086303711,106.92303466796876
28,28,28,2019-03-18,111.1148681640625,106.19286346435548,106.41822052001952
29,29,29,2019-03-19,109.23078918457033,107.25657653808594,106.46327209472656
30,30,30,2019-03-20,106.95911407470705,107.02220916748048,105.5978775024414
31,31,31,2019-03-21,107.8245086669922,109.37501525878906,106.535400390625
32,32,32,2019-03-22,103.58761596679688,109.25784301757812,107.23856353759766
33,33,33,2019-03-25,103.75888061523438,111.5114974975586,107.7704086303711
34,34,34,2019-03-26,104.36287689208984,111.1148681640625,106.19286346435548
35,35,35,2019-03-27,104.57920837402344,109.23078918457033,107.25657653808594
36,36,36,2019-03-28,105.6700210571289,106.95911407470705,107.02220916748048
37,37,37,2019-03-29,106.35511016845705,107.8245086669922,109.37501525878906
38,38,38,2019-04-01,107.68928527832033,103.58761596679688,109.25784301757812
