,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IEX,IEX_6m,IEX_12m,IEX_6m_ret,IEX_12m_ret
0,0,0,0,2019-02-05,130.55435180664062,,,,
1,1,1,1,2019-02-06,130.4033966064453,,,,
2,2,2,2,2019-02-07,130.08255004882812,,,,
3,3,3,3,2019-02-08,132.1303253173828,,,,
4,4,4,4,2019-02-11,132.45115661621094,,,,
5,5,5,5,2019-02-12,134.9140625,,,,
6,6,6,6,2019-02-13,133.97044372558594,130.55435180664062,,0.026166051699331838,
7,7,7,7,2019-02-14,133.13055419921875,130.4033966064453,,0.020913240481027717,
8,8,8,8,2019-02-15,135.99928283691406,130.08255004882812,,0.04548444649851202,
9,9,9,9,2019-02-19,134.50828552246094,132.1303253173828,,0.017997081285966443,
10,10,10,10,2019-02-20,135.102783203125,132.45115661621094,,0.020019655959648386,
11,11,11,11,2019-02-21,134.4328155517578,134.9140625,,-0.003567062908969798,
12,12,12,12,2019-02-22,136.405029296875,133.97044372558594,130.55435180664062,0.01817255734612533,0.04481411312048489
13,13,13,13,2019-02-25,136.6692657470703,133.13055419921875,130.4033966064453,0.02658076178783264,0.048049892132298266
14,14,14,14,2019-02-26,135.45193481445312,135.99928283691406,130.08255004882812,-0.004024639035172695,0.04127674898446809
15,15,15,15,2019-02-27,136.7919464111328,134.50828552246094,132.1303253173828,0.016977845489603904,0.035280478440907315
16,16,16,16,2019-02-28,135.9804229736328,135.102783203125,132.45115661621094,0.006496089493495338,0.026645794929886835
17,17,17,17,2019-03-01,136.68809509277344,134.4328155517578,134.9140625,0.016776257580853216,0.013149352705715378
18,18,18,18,2019-03-04,137.3486785888672,136.405029296875,133.97044372558594,0.006917994863212984,0.025216269867710084
19,19,19,19,2019-03-05,136.58432006835938,136.6692657470703,133.13055419921875,-0.0006215419263914113,0.025942698803554487
20,20,20,20,2019-03-06,136.9146270751953,135.45193481445312,135.99928283691406,0.010798607363902368,0.00673050783200746
21,21,21,21,2019-03-07,135.7067413330078,136.7919464111328,134.50828552246094,-0.00793325269941969,0.008909903251623552
22,22,22,22,2019-03-08,134.9046173095703,135.9804229736328,135.102783203125,-0.007911474611835168,-0.0014667787654436548
23,23,23,23,2019-03-11,138.48106384277344,136.68809509277344,134.4328155517578,0.013117226842491725,0.03011354239960129
24,24,24,24,2019-03-12,137.66954040527344,137.3486785888672,136.405029296875,0.0023361114187832044,0.009270267488791228
25,25,25,25,2019-03-13,139.1133270263672,136.58432006835938,136.6692657470703,0.018516085570745355,0.01788303512085898
26,26,26,26,2019-03-14,138.4055938720703,136.9146270751953,135.45193481445312,0.010889755380600441,0.02180595693714693
27,27,27,27,2019-03-15,139.39642333984375,135.7067413330078,136.7919464111328,0.02718864199812976,0.019039694931184625
28,28,28,28,2019-03-18,141.5291290283203,134.9046173095703,135.9804229736328,0.049105151853687135,0.0408051830796512
29,29,29,29,2019-03-19,140.7835693359375,138.48106384277344,136.68809509277344,0.016626861675313576,0.02996218683407914
30,30,30,30,2019-03-20,140.1890869140625,137.66954040527344,137.3486785888672,0.018301408585893242,0.020680274134253995
31,31,31,31,2019-03-21,143.0955352783203,139.1133270263672,136.58432006835938,0.028625641677007208,0.04767176207856161
32,32,32,32,2019-03-22,139.59457397460938,138.4055938720703,136.9146270751953,0.00859054948052207,0.01957385384355037
33,33,33,33,2019-03-25,139.49081420898438,139.39642333984375,135.7067413330078,0.0006771398209444168,0.02788419233124828
34,34,34,34,2019-03-26,141.85934448242188,141.5291290283203,134.9046173095703,0.002333197811423604,0.05155292169794534
35,35,35,35,2019-03-27,141.5102081298828,140.7835693359375,138.48106384277344,0.005161389197424038,0.021874068576975603
36,36,36,36,2019-03-28,142.9162139892578,140.1890869140625,137.66954040527344,0.019453205204675195,0.038110634847324576
37,37,37,37,2019-03-29,143.18994140625,143.0955352783203,139.1133270263672,0.0006597419531368942,0.02930426916689388
38,38,38,38,2019-04-01,147.00225830078125,139.59457397460938,138.4055938720703,0.0530657038827258,0.06211211691817109
39,39,39,39,2019-04-02,146.0963592529297,139.49081420898438,139.39642333984375,0.047354695586254936,0.048063901157289424
40,40,40,40,2019-04-03,146.7852020263672,141.85934448242188,141.5291290283203,0.03472353239694881,0.03713774707816597
