,Unnamed: 0.1,Unnamed: 0,Date,IFF,IFF_6m,IFF_12m
0,0,0,2019-02-05,124.60735321044922,,
1,1,1,2019-02-06,124.2260284423828,,
2,2,2,2019-02-07,123.3159637451172,,
3,3,3,2019-02-08,122.87394714355467,,
4,4,4,2019-02-11,124.10469818115234,,
5,5,5,2019-02-12,126.43612670898438,,
6,6,6,2019-02-13,125.86412811279295,124.60735321044922,
7,7,7,2019-02-14,114.97819519042967,124.2260284423828,
8,8,8,2019-02-15,114.41480255126952,123.3159637451172,
9,9,9,2019-02-19,111.0346221923828,122.87394714355467,
10,10,10,2019-02-20,112.646728515625,124.10469818115234,
11,11,11,2019-02-21,111.58067321777344,126.43612670898438,
12,12,12,2019-02-22,111.13863372802734,125.86412811279295,124.60735321044922
13,13,13,2019-02-25,110.32393646240234,114.97819519042967,124.2260284423828
14,14,14,2019-02-26,109.20588684082033,114.41480255126952,123.3159637451172
15,15,15,2019-02-27,110.3759307861328,111.0346221923828,122.87394714355467
16,16,16,2019-02-28,110.50592803955078,112.646728515625,124.10469818115234
17,17,17,2019-03-01,110.82660675048828,111.58067321777344,126.43612670898438
18,18,18,2019-03-04,110.90462493896484,111.13863372802734,125.86412811279295
19,19,19,2019-03-05,109.99456787109376,110.32393646240234,114.97819519042967
20,20,20,2019-03-06,109.8732452392578,109.20588684082033,114.41480255126952
21,21,21,2019-03-07,107.91446685791016,110.3759307861328,111.0346221923828
22,22,22,2019-03-08,108.6858367919922,110.50592803955078,112.646728515625
23,23,23,2019-03-11,109.5005340576172,110.82660675048828,111.58067321777344
24,24,24,2019-03-12,109.36187744140624,110.90462493896484,111.13863372802734
25,25,25,2019-03-13,108.7205047607422,109.99456787109376,110.32393646240234
26,26,26,2019-03-14,108.30448150634766,109.8732452392578,109.20588684082033
27,27,27,2019-03-15,107.98380279541016,107.91446685791016,110.3759307861328
28,28,28,2019-03-18,108.27849578857422,108.6858367919922,110.50592803955078
