,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IQV,IQV_6m,IQV_12m,IQV_6m_ret,IQV_12m_ret
0,0,0,0,2019-02-05,130.08999633789062,,,,
1,1,1,1,2019-02-06,130.66000366210938,,,,
2,2,2,2,2019-02-07,129.64999389648438,,,,
3,3,3,3,2019-02-08,128.80999755859375,,,,
4,4,4,4,2019-02-11,129.10000610351562,,,,
5,5,5,5,2019-02-12,131.66000366210938,,,,
6,6,6,6,2019-02-13,131.82000732421875,130.08999633789062,,0.013298570489883588,
7,7,7,7,2019-02-14,141.1300048828125,130.66000366210938,,0.08013164646603599,
8,8,8,8,2019-02-15,141.85000610351562,129.64999389648438,,0.09409959723385741,
9,9,9,9,2019-02-19,141.49000549316406,128.80999755859375,,0.09843962561060038,
10,10,10,10,2019-02-20,141.19000244140625,129.10000610351562,,0.09364830183041639,
11,11,11,11,2019-02-21,142.02000427246094,131.66000366210938,,0.07868753092958536,
12,12,12,12,2019-02-22,142.4600067138672,131.82000732421875,130.08999633789062,0.08071611893844577,0.0950880984257021
13,13,13,13,2019-02-25,141.77000427246094,141.1300048828125,130.66000366210938,0.004534821565264302,0.08502985074975467
14,14,14,14,2019-02-26,140.99000549316406,141.85000610351562,129.64999389648438,-0.006062746375378847,0.08746634886642424
15,15,15,15,2019-02-27,141.63999938964844,141.49000549316406,128.80999755859375,0.00106010241473653,0.09960408411015242
16,16,16,16,2019-02-28,140.10000610351562,141.19000244140625,129.10000610351562,-0.007720067420092125,0.08520526320641619
17,17,17,17,2019-03-01,143.35000610351562,142.02000427246094,131.66000366210938,0.009364890797377567,0.0887893218612339
18,18,18,18,2019-03-04,141.49000549316406,142.4600067138672,131.82000732421875,-0.006808937069976317,0.07335759089408489
19,19,19,19,2019-03-05,141.49000549316406,141.77000427246094,141.1300048828125,-0.0019750213081658474,0.0025508438878782957
20,20,20,20,2019-03-06,139.19000244140625,140.99000549316406,141.85000610351562,-0.01276688404587012,-0.018752228041274965
21,21,21,21,2019-03-07,137.85000610351562,141.63999938964844,141.49000549316406,-0.026757930686702625,-0.02572619441890045
22,22,22,22,2019-03-08,137.42999267578125,140.10000610351562,141.19000244140625,-0.019057910859486937,-0.02663084992285769
23,23,23,23,2019-03-11,139.41000366210938,143.35000610351562,142.02000427246094,-0.027485192003138814,-0.01837769702741565
24,24,24,24,2019-03-12,139.85000610351562,141.49000549316406,142.4600067138672,-0.011590920389975334,-0.018320935612433198
25,25,25,25,2019-03-13,141.5500030517578,141.49000549316406,141.77000427246094,0.00042404096589465645,-0.0015518178322144749
26,26,26,26,2019-03-14,140.97999572753906,139.19000244140625,140.99000549316406,0.012860070800604584,-7.099627799844743e-05
27,27,27,27,2019-03-15,141.52999877929688,137.85000610351562,141.63999938964844,0.026695629400392162,-0.0007766210874440294
28,28,28,28,2019-03-18,143.0800018310547,137.42999267578125,140.10000610351562,0.04111190756302152,0.021270489633935075
29,29,29,29,2019-03-19,144.4499969482422,139.41000366210938,143.35000610351562,0.03615230725011909,0.0076734621408542925
30,30,30,30,2019-03-20,143.25,139.85000610351562,141.49000549316406,0.02431171789844422,0.012439002321764425
31,31,31,31,2019-03-21,144.25999450683594,141.5500030517578,141.49000549316406,0.01914511760262716,0.01957727688268207
32,32,32,32,2019-03-22,141.64999389648438,140.97999572753906,139.19000244140625,0.004752434311603881,0.017673621753930835
33,33,33,33,2019-03-25,141.58999633789062,141.52999877929688,137.85000610351562,0.00042392114118028346,0.02713086738325221
34,34,34,34,2019-03-26,143.66000366210938,143.0800018310547,137.42999267578125,0.004053689010568684,0.04533225146148179
35,35,35,35,2019-03-27,141.14999389648438,144.4499969482422,139.41000366210938,-0.022845296791112024,0.012481100270194778
36,36,36,36,2019-03-28,141.83999633789062,143.25,139.85000610351562,-0.009842957501636107,0.014229461190741866
37,37,37,37,2019-03-29,143.85000610351562,144.25999450683594,141.5500030517578,-0.002842010390489036,0.016248696588984313
38,38,38,38,2019-04-01,144.30999755859375,141.64999389648438,140.97999572753906,0.01877870650706326,0.02362038538779876
39,39,39,39,2019-04-02,144.3000030517578,141.58999633789062,141.52999877929688,0.01913981767045203,0.019571852584981064
40,40,40,40,2019-04-03,144.39999389648438,143.66000366210938,143.0800018310547,0.005150982984209573,0.009225552477894805
41,41,41,41,2019-04-04,142.22999572753906,141.14999389648438,144.4499969482422,0.007651447947257584,-0.01536864844309116
42,42,42,42,2019-04-05,144.25999450683594,141.83999633789062,143.25,0.01706146525258223,0.0070505724735492326
43,43,43,43,2019-04-08,144.0399932861328,143.85000610351562,144.25999450683594,0.0013207311404663802,-0.00152503278164684
44,44,44,44,2019-04-09,144.2899932861328,144.30999755859375,141.64999389648438,-0.000138620142743906,0.018637483257342824
45,45,45,45,2019-04-10,144.80999755859375,144.3000030517578,141.58999633789062,0.0035342653918932765,0.02274172825754528
46,46,46,46,2019-04-11,143.17999267578125,144.39999389648438,143.66000366210938,-0.008448762273339905,-0.003341298719838015
47,47,47,47,2019-04-12,142.52000427246094,142.22999572753906,141.14999389648438,0.0020390111343140394,0.009706060469129696
48,48,48,48,2019-04-15,141.0800018310547,144.25999450683594,141.83999633789062,-0.022043482579160667,-0.005358111438648727
49,49,49,49,2019-04-16,136.2899932861328,144.0399932861328,143.85000610351562,-0.05380450125823577,-0.05255483139807837
50,50,50,50,2019-04-17,132.30999755859375,144.2899932861328,144.30999755859375,-0.08302721106779909,-0.08315432196669315
51,51,51,51,2019-04-18,133.00999450683594,144.80999755859375,144.3000030517578,-0.08148610766313447,-0.07823983580147498
52,52,52,52,2019-04-22,134.3699951171875,143.17999267578125,144.39999389648438,-0.06153092617167,-0.069459828277327
53,53,53,53,2019-04-23,137.02000427246094,142.52000427246094,142.22999572753906,-0.03859107377996873,-0.036630750274777246
54,54,54,54,2019-04-24,135.7899932861328,141.0800018310547,144.25999450683594,-0.03749651599279635,-0.05871344477489049
55,55,55,55,2019-04-25,137.36000061035156,136.2899932861328,144.0399932861328,0.007850960282699049,-0.04637595797794547
56,56,56,56,2019-04-26,138.6999969482422,132.30999755859375,144.2899932861328,0.04829566553970044,-0.03874139994452308
57,57,57,57,2019-04-29,139.08999633789062,133.00999450683594,144.80999755859375,0.04571086446246131,-0.03950004362363635
