,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,K,K_6m,K_12m,K_6m_ret,K_12m_ret
0,0,0,0,2019-02-05,45.73162078857422,,,,
1,1,1,1,2019-02-06,45.7470817565918,,,,
2,2,2,2,2019-02-07,43.1797981262207,,,,
3,3,3,3,2019-02-08,42.80863571166992,,,,
4,4,4,4,2019-02-11,43.04834747314453,,,,
5,5,5,5,2019-02-12,43.71335983276367,,,,
6,6,6,6,2019-02-13,44.04586791992188,45.73162078857422,,-0.036861865807159666,
7,7,7,7,2019-02-14,43.75202560424805,45.7470817565918,,-0.04361056652660211,
8,8,8,8,2019-02-15,43.9144172668457,43.1797981262207,,0.017013028603737324,
9,9,9,9,2019-02-19,44.40158081054688,42.80863571166992,,0.03721083543997916,
10,10,10,10,2019-02-20,45.19805908203125,43.04834747314453,,0.04993714590851139,
11,11,11,11,2019-02-21,45.10526657104492,43.71335983276367,,0.03184167823306949,
12,12,12,12,2019-02-22,43.86801910400391,44.04586791992188,45.73162078857422,-0.004037809318261365,-0.04075083394017631
13,13,13,13,2019-02-25,43.04061126708984,43.75202560424805,45.7470817565918,-0.01626014629798389,-0.05916159863272541
14,14,14,14,2019-02-26,43.241661071777344,43.9144172668457,43.1797981262207,-0.015319711314404127,0.0014326826025403694
15,15,15,15,2019-02-27,43.11793899536133,44.40158081054688,42.80863571166992,-0.02890982239264428,0.007225254403683046
16,16,16,16,2019-02-28,43.50457382202149,45.19805908203125,43.04834747314453,-0.03746809695823894,0.010597999125554702
17,17,17,17,2019-03-01,43.95307922363281,45.10526657104492,43.71335983276367,-0.025544408336381497,0.005483893065787004
18,18,18,18,2019-03-04,42.67646026611328,43.86801910400391,44.04586791992188,-0.027162357959807593,-0.031090490855992914
19,19,19,19,2019-03-05,42.80149841308594,43.04061126708984,43.75202560424805,-0.005555517149142597,-0.021725329925520454
20,20,20,20,2019-03-06,42.56705093383789,43.241661071777344,43.9144172668457,-0.015600930242241628,-0.030681639809098438
21,21,21,21,2019-03-07,42.4342041015625,43.11793899536133,44.40158081054688,-0.015857318548374577,-0.044308708678161834
22,22,22,22,2019-03-08,42.63737106323242,43.50457382202149,45.19805908203125,-0.01993359967935371,-0.05665482259207999
23,23,23,23,2019-03-11,42.31697845458984,43.95307922363281,45.10526657104492,-0.03722380315423435,-0.06181735146301104
24,24,24,24,2019-03-12,42.324798583984375,42.67646026611328,43.86801910400391,-0.008240179244859647,-0.03517871450636545
25,25,25,25,2019-03-13,41.89498901367188,42.80149841308594,43.04061126708984,-0.02117938467165681,-0.026617239386047764
26,26,26,26,2019-03-14,42.05127334594727,42.56705093383789,43.241661071777344,-0.012116826901922173,-0.02752872337290957
27,27,27,27,2019-03-15,42.41074752807617,42.4342041015625,43.11793899536133,-0.0005527751487971466,-0.01640132816555162
28,28,28,28,2019-03-18,42.41074752807617,42.63737106323242,43.50457382202149,-0.005315138562838717,-0.025142788397840565
29,29,29,29,2019-03-19,42.52016830444336,42.31697845458984,43.95307922363281,0.004801615268244186,-0.03260092226755762
30,30,30,30,2019-03-20,42.28570938110352,42.324798583984375,42.67646026611328,-0.000923553193130644,-0.009156122194136862
31,31,31,31,2019-03-21,44.1378288269043,41.89498901367188,42.80149841308594,0.053534798935034766,0.031221580163413032
32,32,32,32,2019-03-22,44.34099960327149,42.05127334594727,42.56705093383789,0.054450818611058605,0.04167422056535819
33,33,33,33,2019-03-25,44.28630065917969,42.41074752807617,42.4342041015625,0.04422353390168121,0.04364631308235123
34,34,34,34,2019-03-26,44.9896354675293,42.41074752807617,42.63737106323242,0.060807415331358694,0.05516907693038586
35,35,35,35,2019-03-27,44.4973030090332,42.52016830444336,42.31697845458984,0.046498750673647615,0.051523635053080774
36,36,36,36,2019-03-28,44.52073669433594,42.28570938110352,42.324798583984375,0.05285538178132576,0.051883013831576674
37,37,37,37,2019-03-29,44.841156005859375,44.1378288269043,41.89498901367188,0.015934793297452954,0.07032265818773809
38,38,38,38,2019-04-01,43.77833557128906,44.34099960327149,42.05127334594727,-0.012689475587305377,0.0410703906902794
39,39,39,39,2019-04-02,44.036224365234375,44.28630065917969,42.41074752807617,-0.005646809289171828,0.03832700275047318
40,40,40,40,2019-04-03,44.27848815917969,44.9896354675293,42.41074752807617,-0.01580691421389424,0.04403932351975315
41,41,41,41,2019-04-04,44.114376068115234,44.4973030090332,42.52016830444336,-0.008605621352831938,0.03749297867913848
42,42,42,42,2019-04-05,44.38789367675781,44.52073669433594,42.28570938110352,-0.002983845898377191,0.049713823568813265
43,43,43,43,2019-04-08,44.93492889404297,44.841156005859375,44.1378288269043,0.0020912237001948775,0.01805934021504929
44,44,44,44,2019-04-09,44.66922378540039,43.77833557128906,44.34099960327149,0.020349979104632654,0.007402272954276867
45,45,45,45,2019-04-10,44.97400665283203,44.036224365234375,44.28630065917969,0.021295701462044736,0.015528639408037614
46,46,46,46,2019-04-11,44.81770324707031,44.27848815917969,44.9896354675293,0.012177811626091772,-0.003821596211489031
47,47,47,47,2019-04-12,44.9896354675293,44.114376068115234,44.4973030090332,0.019840684090433713,0.01106432132293822
48,48,48,48,2019-04-15,45.59918212890625,44.38789367675781,44.52073669433594,0.02728871211977979,0.02422344090967199
49,49,49,49,2019-04-16,45.63043212890625,44.93492889404297,44.841156005859375,0.015478009022853678,0.017601600702348952
50,50,50,50,2019-04-17,45.39599990844727,44.66922378540039,43.77833557128906,0.016270175782289398,0.036951252624120245
51,51,51,51,2019-04-18,45.67733001708984,44.97400665283203,44.036224365234375,0.015638441326497166,0.03726717436636284
52,52,52,52,2019-04-22,45.60699844360352,44.81770324707031,44.27848815917969,0.01761123706366652,0.030003515017221982
