,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LW,LW_6m,LW_12m,LW_6m_ret,LW_12m_ret
0,0,0,0,2019-02-05,67.22240447998047,,,,
1,1,1,1,2019-02-06,66.9127426147461,,,,
2,2,2,2,2019-02-07,66.25590515136719,,,,
3,3,3,3,2019-02-08,66.26529693603516,,,,
4,4,4,4,2019-02-11,66.04948425292969,,,,
5,5,5,5,2019-02-12,64.76395416259766,,,,
6,6,6,6,2019-02-13,64.33231353759766,67.22240447998047,,-0.042992971833423654,
7,7,7,7,2019-02-14,64.71705627441406,66.9127426147461,,-0.032814173422449855,
8,8,8,8,2019-02-15,65.2237319946289,66.25590515136719,,-0.01557858359009956,
9,9,9,9,2019-02-19,65.96502685546875,66.26529693603516,,-0.004531332302883273,
10,10,10,10,2019-02-20,65.73983001708984,66.04948425292969,,-0.004688215802776785,
11,11,11,11,2019-02-21,66.60311126708984,64.76395416259766,,0.028397850753132836,
12,12,12,12,2019-02-22,66.15269470214844,64.33231353759766,67.22240447998047,0.028296528827412626,-0.015912994872871566
13,13,13,13,2019-02-25,65.20496368408203,64.71705627441406,66.9127426147461,0.007539085331680351,-0.025522476944289885
14,14,14,14,2019-02-26,64.74519348144531,65.2237319946289,66.25590515136719,-0.007336877215535664,-0.022801162650642692
15,15,15,15,2019-02-27,64.83901977539062,65.96502685546875,66.26529693603516,-0.017069758533491353,-0.02152374208812935
16,16,16,16,2019-02-28,65.03607177734375,65.73983001708984,66.04948425292969,-0.010705203216423653,-0.015343230716309275
17,17,17,17,2019-03-01,66.574951171875,66.60311126708984,64.76395416259766,-0.000422804500857632,0.027963039513162258
18,18,18,18,2019-03-04,66.4248046875,66.15269470214844,64.33231353759766,0.00411336207204771,0.03252628476790953
19,19,19,19,2019-03-05,66.77200317382812,65.20496368408203,64.71705627441406,0.024032518403635628,0.03175278694229622
20,20,20,20,2019-03-06,66.19023895263672,64.74519348144531,65.2237319946289,0.02231896135433642,0.014818332659765732
21,21,21,21,2019-03-07,66.16209411621094,64.83901977539062,65.96502685546875,0.02040552657032113,0.002987450625525634
22,22,22,22,2019-03-08,65.69290924072266,65.03607177734375,65.73983001708984,0.01009958697425084,-0.0007137343731340451
23,23,23,23,2019-03-11,65.88057708740234,66.574951171875,66.60311126708984,-0.010429960101360103,-0.010848354768143054
24,24,24,24,2019-03-12,65.40202331542969,66.4248046875,66.15269470214844,-0.015397581925638448,-0.011347555683084987
25,25,25,25,2019-03-13,65.53337860107422,66.77200317382812,65.20496368408203,-0.01855005861557557,0.005036655162992787
26,26,26,26,2019-03-14,63.98512268066406,66.19023895263672,64.74519348144531,-0.033314825673171455,-0.011739416625561105
27,27,27,27,2019-03-15,65.2237319946289,66.16209411621094,64.83901977539062,-0.014182775411156645,0.005933344158671305
28,28,28,28,2019-03-18,65.5896987915039,65.69290924072266,65.03607177734375,-0.001571104863700712,0.00851261460033359
29,29,29,29,2019-03-19,65.41140747070312,65.88057708740234,66.574951171875,-0.007121516499115965,-0.017477199467529236
30,30,30,30,2019-03-20,65.09237670898438,65.40202331542969,66.4248046875,-0.004734511116757156,-0.020059193019597465
31,31,31,31,2019-03-21,66.62186431884766,65.53337860107422,66.77200317382812,0.016609638340172372,-0.002248530040196761
32,32,32,32,2019-03-22,67.2411880493164,63.98512268066406,66.19023895263672,0.05088785067901891,0.0158777051315937
33,33,33,33,2019-03-25,68.3390121459961,65.2237319946289,66.16209411621094,0.04776298528308276,0.032902798178689574
34,34,34,34,2019-03-26,68.49854278564453,65.5896987915039,65.69290924072266,0.04434909822329325,0.042708316275673175
35,35,35,35,2019-03-27,67.81353759765625,65.41140747070312,65.88057708740234,0.03672341293113135,0.029340370040922492
36,36,36,36,2019-03-28,69.36180877685547,65.09237670898438,65.40202331542969,0.06559035456577211,0.060545305186171294
37,37,37,37,2019-03-29,70.31890106201172,66.62186431884766,65.53337860107422,0.05549284429313328,0.07302419870748222
38,38,38,38,2019-04-01,69.4087142944336,67.2411880493164,63.98512268066406,0.03223509738595731,0.08476332288737654
39,39,39,39,2019-04-02,69.77469635009766,68.3390121459961,65.2237319946289,0.021008266859849245,0.06977466968378199
40,40,40,40,2019-04-03,68.58300018310547,68.49854278564453,65.5896987915039,0.0012329809369118205,0.04563676075288359
41,41,41,41,2019-04-04,65.98380279541016,67.81353759765625,65.41140747070312,-0.02698185151616883,0.0087506957400878
42,42,42,42,2019-04-05,67.2130126953125,69.36180877685547,65.09237670898438,-0.030979527775232607,0.03257886857948189
43,43,43,43,2019-04-08,68.3765640258789,70.31890106201172,66.62186431884766,-0.02762183434038501,0.02633819580060659
44,44,44,44,2019-04-09,68.42345428466797,69.4087142944336,67.2411880493164,-0.014195047693667528,0.017582470947486106
