,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MCD,MCD_6m,MCD_12m,MCD_6m_ret,MCD_12m_ret
0,0,0,0,2019-02-05,158.17471313476562,,,,
1,1,1,1,2019-02-06,156.93653869628906,,,,
2,2,2,2,2019-02-07,156.1348419189453,,,,
3,3,3,3,2019-02-08,155.66273498535156,,,,
4,4,4,4,2019-02-11,155.22622680664062,,,,
5,5,5,5,2019-02-12,154.96792602539062,,,,
6,6,6,6,2019-02-13,155.1282196044922,158.17471313476562,,-0.019260306972567753,
7,7,7,7,2019-02-14,156.66038513183594,156.93653869628906,,-0.0017596511733163345,
8,8,8,8,2019-02-15,160.3125762939453,156.1348419189453,,0.026757220384984848,
9,9,9,9,2019-02-19,159.6711883544922,155.66273498535156,,0.025750886167571485,
10,10,10,10,2019-02-20,160.77577209472656,155.22622680664062,,0.035751337916619,
11,11,11,11,2019-02-21,162.8423614501953,154.96792602539062,,0.050813323935912535,
12,12,12,12,2019-02-22,163.16299438476562,155.1282196044922,158.17471313476562,0.0517944111055908,0.031536527875665854
13,13,13,13,2019-02-25,162.6641845703125,156.66038513183594,156.93653869628906,0.03832366065884574,0.03649657321108535
14,14,14,14,2019-02-26,163.1986541748047,160.3125762939453,156.1348419189453,0.01800281642013868,0.04524174213162757
15,15,15,15,2019-02-27,163.33229064941406,159.6711883544922,155.66273498535156,0.022929010127949345,0.04927033862526087
16,16,16,16,2019-02-28,164.80242919921875,160.77577209472656,155.22622680664062,0.02504517348621249,0.061691909863317296
17,17,17,17,2019-03-01,165.8871612548828,162.8423614501953,154.96792602539062,0.018697836223768638,0.07046125936862024
18,18,18,18,2019-03-04,161.8889923095703,163.16299438476562,155.1282196044922,-0.0078081557647257105,0.04358183651121039
19,19,19,19,2019-03-05,162.57028198242188,162.6641845703125,156.66038513183594,-0.0005772788161000353,0.03772425840529192
20,20,20,20,2019-03-06,163.179931640625,163.1986541748047,160.3125762939453,-0.00011472235647014273,0.01788602873814571
21,21,21,21,2019-03-07,161.82626342773438,163.33229064941406,159.6711883544922,-0.009220633689098978,0.01349695643560711
22,22,22,22,2019-03-08,160.911865234375,164.80242919921875,160.77577209472656,-0.02360744306833429,0.0008464779106658327
23,23,23,23,2019-03-11,162.3282470703125,165.8871612548828,162.8423614501953,-0.02145382534518203,-0.0031571292340909496
24,24,24,24,2019-03-12,163.0006103515625,161.8889923095703,163.16299438476562,0.00686654494622152,-0.0009952258710096418
25,25,25,25,2019-03-13,163.20677185058594,162.57028198242188,162.6641845703125,0.003915167399616726,0.00333562844031543
26,26,26,26,2019-03-14,163.81637573242188,163.179931640625,163.1986541748047,0.003900259580930099,0.003785089777490036
27,27,27,27,2019-03-15,166.1381378173828,161.82626342773438,163.33229064941406,0.02664508404455601,0.017178765795866857
28,28,28,28,2019-03-18,164.90109252929688,160.911865234375,164.80242919921875,0.02479138060522379,0.0005986764306662451
29,29,29,29,2019-03-19,164.1480712890625,162.3282470703125,165.8871612548828,0.011210767390112508,-0.01048357180064241
30,30,30,30,2019-03-20,165.81541442871094,163.0006103515625,161.8889923095703,0.017268672007285213,0.0242537930660065
31,31,31,31,2019-03-21,167.07044982910156,163.20677185058594,162.57028198242188,0.023673515104218668,0.027681368278405838
32,32,32,32,2019-03-22,167.46490478515625,163.81637573242188,163.179931640625,0.02227206551495131,0.026259191932793247
33,33,33,33,2019-03-25,166.48777770996094,166.1381378173828,161.82626342773438,0.0021045131308889964,0.028805672104690316
34,34,34,34,2019-03-26,168.0654754638672,164.90109252929688,160.911865234375,0.019189581378959764,0.044456698199804245
35,35,35,35,2019-03-27,168.09237670898438,164.1480712890625,162.3282470703125,0.02402894769915398,0.03550909803255098
36,36,36,36,2019-03-28,169.7777099609375,165.81541442871094,163.0006103515625,0.02389582142213964,0.04157714253190847
37,37,37,37,2019-03-29,170.23487854003906,167.07044982910156,163.20677185058594,0.018940684688252274,0.043062592377522746
38,38,38,38,2019-04-01,168.8812713623047,167.46490478515625,163.81637573242188,0.008457691950235935,0.030918127734408163
39,39,39,39,2019-04-02,168.84544372558594,166.48777770996094,166.1381378173828,0.014161195782985914,0.01629551133634921
40,40,40,40,2019-04-03,168.84544372558594,168.0654754638672,164.90109252929688,0.004640859519577267,0.023919497049956107
41,41,41,41,2019-04-04,170.2079620361328,168.09237670898438,164.1480712890625,0.01258584933218665,0.036917221746693096
42,42,42,42,2019-04-05,170.96099853515625,169.7777099609375,165.81541442871094,0.0069696344384135855,0.03103200100047121
43,43,43,43,2019-04-08,170.19009399414062,170.23487854003906,167.07044982910156,-0.00026307503070177596,0.01867262683634463
44,44,44,44,2019-04-09,170.3962860107422,168.8812713623047,167.46490478515625,0.008970886091846708,0.01750445103316811
45,45,45,45,2019-04-10,169.62533569335938,168.84544372558594,166.48777770996094,0.00461896957694008,0.01884557549242083
46,46,46,46,2019-04-11,169.32057189941406,168.84544372558594,168.0654754638672,0.0028139827960078634,0.007467901614431893
47,47,47,47,2019-04-12,171.75888061523438,170.2079620361328,168.09237670898438,0.009111903817826894,0.02181243419859391
48,48,48,48,2019-04-15,171.98301696777344,170.96099853515625,169.7777099609375,0.005978079453057283,0.012989378919902483
49,49,49,49,2019-04-16,171.84852600097656,170.19009399414062,170.23487854003906,0.009744585997426114,0.009478947409463867
50,50,50,50,2019-04-17,171.76780700683594,170.3962860107422,168.8812713623047,0.008049007570548161,0.017092100392462672
51,51,51,51,2019-04-18,174.72610473632812,169.62533569335938,168.84544372558594,0.030070797042899722,0.034828662716535286
52,52,52,52,2019-04-22,173.83865356445312,169.32057189941406,168.84544372558594,0.02668359558650124,0.029572665561425238
53,53,53,53,2019-04-23,175.03985595703125,171.75888061523438,170.2079620361328,0.01910221660763356,0.028388177985896323
54,54,54,54,2019-04-24,177.16445922851562,171.98301696777344,170.96099853515625,0.030127639066321876,0.03628582393945079
55,55,55,55,2019-04-25,177.43336486816406,171.84852600097656,170.19009399414062,0.03249861373356078,0.04255988526731058
56,56,56,56,2019-04-26,176.9761505126953,171.76780700683594,170.3962860107422,0.030322000359776835,0.038615069940775015
57,57,57,57,2019-04-29,176.70721435546875,174.72610473632812,169.62533569335938,0.011338372260574436,0.041750123194518984
58,58,58,58,2019-04-30,177.11062622070312,173.83865356445312,169.32057189941406,0.018821893687970048,0.04600772507381312
59,59,59,59,2019-05-01,174.06272888183594,175.03985595703125,171.75888061523438,-0.005582311924634875,0.013413270151442891
60,60,60,60,2019-05-02,174.4571533203125,177.16445922851562,171.98301696777344,-0.015281314999590845,0.014385934123964494
61,61,61,61,2019-05-03,177.0658416748047,177.43336486816406,171.84852600097656,-0.0020713307986490737,0.030359967555371847
62,62,62,62,2019-05-06,178.3029022216797,176.9761505126953,171.76780700683594,0.007496782505104882,0.03804610030669875
63,63,63,63,2019-05-07,177.531982421875,176.70721435546875,174.72610473632812,0.004667427243502997,0.016058720531663573
64,64,64,64,2019-05-08,177.52297973632812,177.11062622070312,173.83865356445312,0.002328225722104005,0.021193941027097152
65,65,65,65,2019-05-09,177.25408935546875,174.06272888183594,175.03985595703125,0.01833454234650822,0.012649881287499776
66,66,66,66,2019-05-10,179.2800750732422,174.4571533203125,177.16445922851562,0.027645308095074483,0.011941536434222133
67,67,67,67,2019-05-13,178.41944885253906,177.0658416748047,177.43336486816406,0.0076446544682535755,0.005557489061359222
68,68,68,68,2019-05-14,177.5050811767578,178.3029022216797,176.9761505126953,-0.004474526409727009,0.0029887115440707657
69,69,69,69,2019-05-15,178.455322265625,177.531982421875,176.70721435546875,0.005200977486725877,0.009892679914243363
70,70,70,70,2019-05-16,179.2800750732422,177.52297973632812,177.11062622070312,0.009897847250670555,0.012249117395337183
71,71,71,71,2019-05-17,178.58981323242188,177.25408935546875,174.06272888183594,0.007535644914089534,0.02600834986138345
72,72,72,72,2019-05-20,178.3835906982422,179.2800750732422,174.4571533203125,-0.005000468538591152,0.022506600063114224
73,73,73,73,2019-05-21,179.1455535888672,178.41944885253906,177.0658416748047,0.004069650147435766,0.011745415684873084
74,74,74,74,2019-05-22,179.2531280517578,177.5050811767578,178.3029022216797,0.00984786949991201,0.005329278538028115
75,75,75,75,2019-05-23,178.3656768798828,178.455322265625,177.531982421875,-0.0005023407797765111,0.004696024043863156
76,76,76,76,2019-05-24,177.28993225097656,179.2800750732422,177.52297973632812,-0.011100747372247532,-0.0013127736234357368
77,77,77,77,2019-05-28,176.30381774902344,178.58981323242188,177.25408935546875,-0.012800256868085613,-0.005361070144562996
78,78,78,78,2019-05-29,175.7211456298828,178.3835906982422,179.2800750732422,-0.014925392284894756,-0.019851226868939142
79,79,79,79,2019-05-30,178.6077117919922,179.1455535888672,178.41944885253906,-0.003002261491286129,0.0010551705022288083
80,80,80,80,2019-05-31,178.77902221679688,179.2531280517578,177.5050811767578,-0.0026448957410888374,0.007176927170724046
81,81,81,81,2019-06-03,179.23887634277344,178.3656768798828,178.455322265625,0.0048955577001434936,0.004390757682094515
82,82,82,82,2019-06-04,180.0053253173828,177.28993225097656,179.2800750732422,0.01531611542702982,0.0040453477267026194
83,83,83,83,2019-06-05,180.4561920166016,176.30381774902344,178.58981323242188,0.02355237861887516,0.010450645254613367
84,84,84,84,2019-06-06,183.089111328125,175.7211456298828,178.3835906982422,0.04192987515436042,0.02637866303433012
85,85,85,85,2019-06-07,185.2802124023437,178.6077117919922,179.1455535888672,0.03735841271021001,0.034243991495068515
86,86,86,86,2019-06-10,181.5111389160156,178.77902221679688,179.2531280517578,0.015282087715557724,0.012596772445754967
87,87,87,87,2019-06-11,183.27850341796875,179.23887634277344,178.3656768798828,0.022537672393515784,0.027543564569288748
88,88,88,88,2019-06-12,184.78428649902344,180.0053253173828,177.28993225097656,0.026548998887751862,0.042271741846218625
89,89,89,89,2019-06-13,184.3875732421875,180.4561920166016,176.30381774902344,0.02178579289329252,0.0458512787549028
90,90,90,90,2019-06-14,185.10890197753903,183.089111328125,175.7211456298828,0.011031735501704665,0.0534241699483875
91,91,91,91,2019-06-17,183.7743988037109,185.2802124023437,178.6077117919922,-0.00812722297275248,0.028927569587453572
92,92,92,92,2019-06-18,184.40562438964844,181.5111389160156,178.77902221679688,0.01594659970136658,0.0314723847523255
93,93,93,93,2019-06-19,184.4416961669922,183.27850341796875,179.23887634277344,0.006346585809743122,0.029027295475056336
94,94,94,94,2019-06-20,184.95562744140625,184.78428649902344,180.0053253173828,0.0009272484453579644,0.027500864851054407
95,95,95,95,2019-06-21,184.18017578125,184.3875732421875,180.4561920166016,-0.001124790880918436,0.020636497551194122
96,96,96,96,2019-06-24,183.87359619140625,185.10890197753903,183.089111328125,-0.006673400214338043,0.004284716101305097
97,97,97,97,2019-06-25,185.48765563964844,183.7743988037109,185.2802124023437,0.009322608845900637,0.001119618952369672
98,98,98,98,2019-06-26,184.4416961669922,184.40562438964844,181.5111389160156,0.00019561104745657865,0.01614533007989416
99,99,99,99,2019-06-27,185.99256896972656,184.4416961669922,183.27850341796875,0.008408471809596918,0.01480842270720828
100,100,100,100,2019-06-28,187.2459411621093,184.95562744140625,184.78428649902344,0.01238304425978387,0.013321774863680691
101,101,101,101,2019-07-01,186.0196533203125,184.18017578125,184.3875732421875,0.009987380733349038,0.008851356137657529
102,102,102,102,2019-07-02,188.97720336914065,183.87359619140625,185.10890197753903,0.027756063314396284,0.020897435781186857
103,103,103,103,2019-07-03,191.88967895507807,185.48765563964844,183.7743988037109,0.03451455188946384,0.04415892640212138
104,104,104,104,2019-07-05,190.4740295410156,184.4416961669922,184.40562438964844,0.032705909235196895,0.032907917919817065
105,105,105,105,2019-07-08,191.3035888671875,185.99256896972656,184.4416961669922,0.028555011239859818,0.03720358705648974
106,106,106,106,2019-07-09,191.24041748046875,187.2459411621093,184.95562744140625,0.021332779197073215,0.033979988205838696
107,107,107,107,2019-07-10,192.0609741210937,186.0196533203125,184.18017578125,0.03247678776380947,0.04278852654155174
108,108,108,108,2019-07-11,191.781478881836,188.97720336914065,183.87359619140625,0.01483922643948521,0.04300716826247264
109,109,109,109,2019-07-12,192.052001953125,191.88967895507807,185.48765563964844,0.0008459183366757994,0.035389666718464996
110,110,110,110,2019-07-15,193.1520233154297,190.4740295410156,184.4416961669922,0.014059626820870141,0.047225368934751266
111,111,111,111,2019-07-16,192.710189819336,191.3035888671875,185.99256896972656,0.007352715965642576,0.03611768409254479
112,112,112,112,2019-07-17,192.7012176513672,191.24041748046875,187.2459411621093,0.007638553555487926,0.029134284328945492
113,113,113,113,2019-07-18,194.68492126464844,192.0609741210937,186.0196533203125,0.013662052666151503,0.04658254001481743
114,114,114,114,2019-07-19,192.84548950195312,191.781478881836,188.97720336914065,0.00554803637098189,0.02046959137847071
115,115,115,115,2019-07-22,193.8643798828125,192.052001953125,191.88967895507807,0.009436912457334579,0.01029081365129958
116,116,116,116,2019-07-23,193.24220275878903,193.1520233154297,190.4740295410156,0.0004668832446661497,0.014533074269725388
117,117,117,117,2019-07-24,191.8626403808593,192.710189819336,191.3035888671875,-0.0043980520141216894,0.002922326324259039
118,118,118,118,2019-07-25,193.35940551757807,192.7012176513672,191.24041748046875,0.003415587479066451,0.011080231182436728
119,119,119,119,2019-07-26,194.3873443603516,194.68492126464844,192.0609741210937,-0.0015285051475164568,0.012112665000809208
