,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MDLZ,MDLZ_6m,MDLZ_12m,MDLZ_6m_ret,MDLZ_12m_ret
0,0,0,0,2019-02-05,41.15349197387695,,,,
1,1,1,1,2019-02-06,41.350399017333984,,,,
2,2,2,2,2019-02-07,41.61890411376953,,,,
3,3,3,3,2019-02-08,41.9769172668457,,,,
4,4,4,4,2019-02-11,42.46919631958008,,,,
5,5,5,5,2019-02-12,42.558685302734375,,,,
6,6,6,6,2019-02-13,42.61238479614258,41.15349197387695,,0.03545003722142681,
7,7,7,7,2019-02-14,42.352821350097656,41.350399017333984,,0.024242144128850063,
8,8,8,8,2019-02-15,43.10465621948242,41.61890411376953,,0.03569897231439434,
9,9,9,9,2019-02-19,43.05096054077149,41.9769172668457,,0.025586520970516613,
10,10,10,10,2019-02-20,42.95249938964844,42.46919631958008,,0.011380085142923546,
11,11,11,11,2019-02-21,43.32841491699219,42.558685302734375,,0.018086310908865366,
12,12,12,12,2019-02-22,42.710845947265625,42.61238479614258,41.15349197387695,0.002310622876285473,0.03784257176468131
13,13,13,13,2019-02-25,42.25437545776367,42.352821350097656,41.350399017333984,-0.002324423478667681,0.02186137164119617
14,14,14,14,2019-02-26,42.451290130615234,43.10465621948242,41.61890411376953,-0.015157668478791408,0.02000019064822789
15,15,15,15,2019-02-27,42.18277359008789,43.05096054077149,41.9769172668457,-0.020166494307632954,0.0049040362333796494
16,16,16,16,2019-02-28,42.20962905883789,42.95249938964844,42.46919631958008,-0.017295159568515794,-0.006111894814042285
17,17,17,17,2019-03-01,42.27228546142578,43.32841491699219,42.558685302734375,-0.024374984812846723,-0.0067295274577053865
18,18,18,18,2019-03-04,42.05747604370117,42.710845947265625,42.61238479614258,-0.015297517271635308,-0.013022241188708095
19,19,19,19,2019-03-05,42.00378036499024,42.25437545776367,42.352821350097656,-0.005930630616559851,-0.008241268798179102
20,20,20,20,2019-03-06,42.03956604003906,42.451290130615234,43.10465621948242,-0.009698741529630017,-0.0247093996996538
21,21,21,21,2019-03-07,41.89637756347656,42.18277359008789,43.05096054077149,-0.006789407197221986,-0.02681898296326002
22,22,22,22,2019-03-08,41.690521240234375,42.20962905883789,42.95249938964844,-0.012298326949993,-0.02938078499148289
23,23,23,23,2019-03-11,42.17383193969727,42.27228546142578,43.32841491699219,-0.0023290323826552495,-0.026647247066546198
24,24,24,24,2019-03-12,42.02167510986328,42.05747604370117,42.710845947265625,-0.0008512382864033219,-0.016135733725650137
25,25,25,25,2019-03-13,42.3170280456543,42.00378036499024,42.25437545776367,0.007457606861623001,0.0014827479334833527
26,26,26,26,2019-03-14,42.37968444824219,42.03956604003906,42.451290130615234,0.008090435754717129,-0.001686772820159943
27,27,27,27,2019-03-15,42.782447814941406,41.89637756347656,42.18277359008789,0.021149089801913545,0.01421609282217573
28,28,28,28,2019-03-18,42.99726104736328,41.690521240234375,42.20962905883789,0.031343810733357014,0.01866000735110651
29,29,29,29,2019-03-19,43.1762580871582,42.17383193969727,42.27228546142578,0.023768913123527913,0.021384522172507303
30,30,30,30,2019-03-20,43.12256622314453,42.02167510986328,42.05747604370117,0.026198172976280354,0.02532463380200567
