,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
0,0,0,0,2019-02-05,171.16000366210938,,,,
1,1,1,1,2019-02-06,170.49000549316406,,,,
2,2,2,2,2019-02-07,166.3800048828125,,,,
3,3,3,3,2019-02-08,167.3300018310547,,,,
4,4,4,4,2019-02-11,165.7899932861328,,,,
5,5,5,5,2019-02-12,165.0399932861328,,,,
6,6,6,6,2019-02-13,164.07000732421875,171.16000366210938,,-0.04142320744446315,
7,7,7,7,2019-02-14,163.9499969482422,170.49000549316406,,-0.03836006999943531,
8,8,8,8,2019-02-15,162.5,166.3800048828125,,-0.023320139253183325,
9,9,9,9,2019-02-19,162.2899932861328,167.3300018310547,,-0.03012017265146827,
10,10,10,10,2019-02-20,162.55999755859375,165.7899932861328,,-0.019482452852051746,
11,11,11,11,2019-02-21,160.0399932861328,165.0399932861328,,-0.03029568712676456,
12,12,12,12,2019-02-22,161.88999938964844,164.07000732421875,171.16000366210938,-0.013287059409111901,-0.05415987423534441
13,13,13,13,2019-02-25,164.6199951171875,163.9499969482422,170.49000549316406,0.0040866006795767795,-0.03443023160798675
14,14,14,14,2019-02-26,164.1300048828125,162.5,166.3800048828125,0.010030799278846203,-0.01352325961034051
15,15,15,15,2019-02-27,162.80999755859375,162.2899932861328,167.3300018310547,0.003204167194363672,-0.027012515526202985
16,16,16,16,2019-02-28,161.4499969482422,162.55999755859375,165.7899932861328,-0.006828251888669423,-0.026177673645238264
17,17,17,17,2019-03-01,162.27999877929688,160.0399932861328,165.0399932861328,0.01399653578564708,-0.016723186010138114
18,18,18,18,2019-03-04,167.3699951171875,161.88999938964844,164.07000732421875,0.0338501188967788,0.02011329094687997
19,19,19,19,2019-03-05,171.25999450683594,164.6199951171875,163.9499969482422,0.04033531519012401,0.04458675019616787
20,20,20,20,2019-03-06,172.50999450683594,164.1300048828125,162.5,0.051057024155983344,0.06159996619591346
21,21,21,21,2019-03-07,169.1300048828125,162.80999755859375,162.2899932861328,0.038818299975369897,0.04214684749305575
22,22,22,22,2019-03-08,169.60000610351562,161.4499969482422,162.55999755859375,0.05048008243621194,0.04330713982930723
23,23,23,23,2019-03-11,172.07000732421875,162.27999877929688,160.0399932861328,0.06032788155388413,0.0751687986925722
24,24,24,24,2019-03-12,171.9199981689453,167.3699951171875,161.88999938964844,0.02718529715300555,0.06195564159065792
25,25,25,25,2019-03-13,173.3699951171875,171.25999450683594,164.6199951171875,0.012320452400033988,0.05315271692099843
26,26,26,26,2019-03-14,170.1699981689453,172.50999450683594,164.1300048828125,-0.013564410251012404,0.03680005548312337
27,27,27,27,2019-03-15,165.97999572753906,169.1300048828125,162.80999755859375,-0.01862478013558877,0.019470537537502608
28,28,28,28,2019-03-18,160.47000122070312,169.60000610351562,161.4499969482422,-0.05383257402266828,-0.006069964360874147
29,29,29,29,2019-03-19,161.57000732421875,172.07000732421875,162.27999877929688,-0.06102167462697683,-0.00437510143220865
30,30,30,30,2019-03-20,165.44000244140625,171.9199981689453,167.3699951171875,-0.0376919252940614,-0.011531294330443864
31,31,31,31,2019-03-21,166.0800018310547,173.3699951171875,171.25999450683594,-0.042048759828396065,-0.03024636717230822
