,Unnamed: 0.1,Unnamed: 0,Date,NI,NI_6m,NI_12m
0,0,0,2019-02-05,22.10348129272461,,
1,1,1,2019-02-06,22.02812767028809,,
2,2,2,2019-02-07,22.279306411743164,,
3,3,3,2019-02-08,22.422718048095703,,
4,4,4,2019-02-11,22.363666534423828,,
5,5,5,2019-02-12,22.59143447875977,,
6,6,6,2019-02-13,22.58300018310547,22.10348129272461,
7,7,7,2019-02-14,22.59143447875977,22.02812767028809,
8,8,8,2019-02-15,22.84451484680176,22.279306411743164,
9,9,9,2019-02-19,22.72640991210937,22.422718048095703,
10,10,10,2019-02-20,22.169639587402344,22.363666534423828,
11,11,11,2019-02-21,22.30461311340332,22.59143447875977,
12,12,12,2019-02-22,22.473331451416016,22.58300018310547,22.10348129272461
13,13,13,2019-02-25,22.321483612060547,22.59143447875977,22.02812767028809
14,14,14,2019-02-26,22.55769157409668,22.84451484680176,22.279306411743164
15,15,15,2019-02-27,22.72640991210937,22.72640991210937,22.422718048095703
16,16,16,2019-02-28,22.760154724121094,22.169639587402344,22.363666534423828
17,17,17,2019-03-01,22.70109939575196,22.30461311340332,22.59143447875977
18,18,18,2019-03-04,22.7432804107666,22.473331451416016,22.58300018310547
19,19,19,2019-03-05,22.70109939575196,22.321483612060547,22.59143447875977
20,20,20,2019-03-06,22.836078643798828,22.55769157409668,22.84451484680176
21,21,21,2019-03-07,22.9963607788086,22.72640991210937,22.72640991210937
22,22,22,2019-03-08,23.131332397460938,22.760154724121094,22.169639587402344
23,23,23,2019-03-11,23.43503189086914,22.70109939575196,22.30461311340332
24,24,24,2019-03-12,23.62062263488769,22.7432804107666,22.473331451416016
25,25,25,2019-03-13,23.60375022888184,22.70109939575196,22.321483612060547
26,26,26,2019-03-14,23.51095390319824,22.836078643798828,22.55769157409668
27,27,27,2019-03-15,23.52782440185547,22.9963607788086,22.72640991210937
28,28,28,2019-03-18,23.66279983520508,23.131332397460938,22.760154724121094
29,29,29,2019-03-19,23.451902389526367,23.43503189086914,22.70109939575196
30,30,30,2019-03-20,23.578441619873047,23.62062263488769,22.7432804107666
31,31,31,2019-03-21,23.966493606567383,23.60375022888184,22.70109939575196
32,32,32,2019-03-22,24.13520812988281,23.51095390319824,22.836078643798828
33,33,33,2019-03-25,24.160520553588867,23.52782440185547,22.9963607788086
34,34,34,2019-03-26,24.31236267089844,23.66279983520508,23.131332397460938
35,35,35,2019-03-27,24.19426155090332,23.451902389526367,23.43503189086914
36,36,36,2019-03-28,24.07616424560547,23.578441619873047,23.62062263488769
37,37,37,2019-03-29,24.177391052246094,23.966493606567383,23.60375022888184
38,38,38,2019-04-01,23.77246856689453,24.13520812988281,23.51095390319824
39,39,39,2019-04-02,23.806209564208984,24.160520553588867,23.52782440185547
40,40,40,2019-04-03,23.679670333862305,24.31236267089844,23.66279983520508
41,41,41,2019-04-04,23.54469871520996,24.19426155090332,23.451902389526367
42,42,42,2019-04-05,23.839954376220703,24.07616424560547,23.578441619873047
43,43,43,2019-04-08,23.629053115844727,24.177391052246094,23.966493606567383
44,44,44,2019-04-09,23.58687400817871,23.77246856689453,24.13520812988281
45,45,45,2019-04-10,23.51095390319824,23.806209564208984,24.160520553588867
46,46,46,2019-04-11,23.65436172485352,23.679670333862305,24.31236267089844
47,47,47,2019-04-12,23.679670333862305,23.54469871520996,24.19426155090332
48,48,48,2019-04-15,23.60375022888184,23.839954376220703,24.07616424560547
49,49,49,2019-04-16,23.28318214416504,23.629053115844727,24.177391052246094
50,50,50,2019-04-17,23.27474594116211,23.58687400817871,23.77246856689453
51,51,51,2019-04-18,23.24943923950196,23.51095390319824,23.806209564208984
52,52,52,2019-04-22,23.03854179382324,23.65436172485352,23.679670333862305
53,53,53,2019-04-23,23.030105590820312,23.679670333862305,23.54469871520996
54,54,54,2019-04-24,23.20725440979004,23.60375022888184,23.839954376220703
55,55,55,2019-04-25,23.48564338684082,23.28318214416504,23.629053115844727
56,56,56,2019-04-26,23.51938438415528,23.27474594116211,23.58687400817871
57,57,57,2019-04-29,23.33245277404785,23.24943923950196,23.51095390319824
58,58,58,2019-04-30,23.604358673095703,23.03854179382324,23.65436172485352
59,59,59,2019-05-01,23.281476974487305,23.030105590820312,23.679670333862305
60,60,60,2019-05-02,23.43441772460937,23.20725440979004,23.60375022888184
61,61,61,2019-05-03,23.672332763671875,23.48564338684082,23.28318214416504
62,62,62,2019-05-06,23.68932342529297,23.51938438415528,23.27474594116211
63,63,63,2019-05-07,23.57036781311035,23.33245277404785,23.24943923950196
64,64,64,2019-05-08,23.340959548950195,23.604358673095703,23.03854179382324
65,65,65,2019-05-09,23.374935150146484,23.281476974487305,23.030105590820312
66,66,66,2019-05-10,23.859264373779297,23.43441772460937,23.20725440979004
67,67,67,2019-05-13,24.04619598388672,23.672332763671875,23.48564338684082
68,68,68,2019-05-14,23.82527542114257,23.68932342529297,23.51938438415528
69,69,69,2019-05-15,23.842273712158203,23.57036781311035,23.33245277404785
70,70,70,2019-05-16,23.952730178833008,23.340959548950195,23.604358673095703
71,71,71,2019-05-17,24.037696838378903,23.374935150146484,23.281476974487305
72,72,72,2019-05-20,23.92724227905273,23.859264373779297,23.43441772460937
73,73,73,2019-05-21,23.89324760437012,24.04619598388672,23.672332763671875
74,74,74,2019-05-22,24.11417007446289,23.82527542114257,23.68932342529297
75,75,75,2019-05-23,24.18214607238769,23.842273712158203,23.57036781311035
76,76,76,2019-05-24,24.224634170532227,23.952730178833008,23.340959548950195
77,77,77,2019-05-28,23.68083000183105,24.037696838378903,23.374935150146484
78,78,78,2019-05-29,23.31546211242676,23.92724227905273,23.859264373779297
