,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PCG,PCG_6m,PCG_12m,PCG_6m_ret,PCG_12m_ret
0,0,0,0,2019-02-05,14.072147369384766,,,,
1,1,1,1,2019-02-06,13.662376403808594,,,,
2,2,2,2,2019-02-07,14.052159309387209,,,,
3,3,3,3,2019-02-08,14.1920804977417,,,,
4,4,4,4,2019-02-11,14.32200813293457,,,,
5,5,5,5,2019-02-12,15.421394348144531,,,,
6,6,6,6,2019-02-13,15.20151710510254,14.072147369384766,,0.08025567854518223,
7,7,7,7,2019-02-14,15.46137237548828,13.662376403808594,,0.1316751872813422,
8,8,8,8,2019-02-15,15.471365928649902,14.052159309387209,,0.10099562551319963,
9,9,9,9,2019-02-19,17.730106353759766,14.1920804977417,,0.24929578553201215,
10,10,10,10,2019-02-20,18.19984245300293,14.32200813293457,,0.27076051654732547,
11,11,11,11,2019-02-21,19.389179229736328,15.421394348144531,,0.25729092921284336,
12,12,12,12,2019-02-22,18.7595329284668,15.20151710510254,14.072147369384766,0.23405662729346766,0.333096679280084
13,13,13,13,2019-02-25,18.639598846435547,15.46137237548828,13.662376403808594,0.2055591440243607,0.36430137009250285
14,14,14,14,2019-02-26,18.509672164916992,15.471365928649902,14.052159309387209,0.19638254632971663,0.3172119499493611
15,15,15,15,2019-02-27,17.790071487426758,17.730106353759766,14.1920804977417,0.003382107950766766,0.2535210387411193
16,16,16,16,2019-02-28,17.0205020904541,18.19984245300293,14.32200813293457,-0.06479948195124297,0.18841589339096476
17,17,17,17,2019-03-01,17.90001106262207,19.389179229736328,15.421394348144531,-0.07680408486968782,0.16072584997969153
18,18,18,18,2019-03-04,18.03993225097656,18.7595329284668,15.20151710510254,-0.03835920010557825,0.18671920218550264
19,19,19,19,2019-03-05,18.299787521362305,18.639598846435547,15.46137237548828,-0.018230613645326632,0.18358106104306193
20,20,20,20,2019-03-06,18.349760055541992,18.509672164916992,15.471365928649902,-0.008639380965271504,0.1860465417317727
21,21,21,21,2019-03-07,19.059364318847656,17.790071487426758,17.730106353759766,0.07134838285039935,0.074971798734079
22,22,22,22,2019-03-08,19.37918472290039,17.0205020904541,18.19984245300293,0.13857891029954694,0.06479958675152564
23,23,23,23,2019-03-11,19.369190216064453,17.90001106262207,19.389179229736328,0.08207699695282589,-0.0010309365566758544
24,24,24,24,2019-03-12,19.20928001403809,18.03993225097656,18.7595329284668,0.06481996422121994,0.023974322137243487
25,25,25,25,2019-03-13,19.44914627075196,18.299787521362305,18.639598846435547,0.06280721828316027,0.0434315905071756
26,26,26,26,2019-03-14,19.49911880493164,18.349760055541992,18.509672164916992,0.06263617322028803,0.05345565449235967
