,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PEAK,PEAK_6m,PEAK_12m,PEAK_6m_ret,PEAK_12m_ret
0,0,0,0,2019-02-05,24.84803581237793,,,,
1,1,1,1,2019-02-06,24.65768814086914,,,,
2,2,2,2,2019-02-07,24.879758834838867,,,,
3,3,3,3,2019-02-08,24.776657104492188,,,,
4,4,4,4,2019-02-11,24.65768814086914,,,,
5,5,5,5,2019-02-12,24.102519989013672,,,,
6,6,6,6,2019-02-13,24.388032913208008,24.84803581237793,,-0.018512646337251915,
7,7,7,7,2019-02-14,24.53872299194336,24.65768814086914,,-0.0048246675943881545,
8,8,8,8,2019-02-15,24.75545883178711,24.879758834838867,,-0.004996029257233081,
9,9,9,9,2019-02-19,24.851776123046875,24.776657104492188,,0.0030318463963028286,
10,10,10,10,2019-02-20,24.7474308013916,24.65768814086914,,0.0036395407391707213,
11,11,11,11,2019-02-21,24.89191627502441,24.102519989013672,,0.03275160798001853,
12,12,12,12,2019-02-22,25.084562301635746,24.388032913208008,24.84803581237793,0.02856029393213233,0.009518920974026956
13,13,13,13,2019-02-25,24.72334671020508,24.53872299194336,24.65768814086914,0.0075237704228674485,0.002662803137132519
14,14,14,14,2019-02-26,24.81966781616211,24.75545883178711,24.879758834838867,0.002593730328785293,-0.0024152572810558492
15,15,15,15,2019-02-27,24.70729255676269,24.851776123046875,24.776657104492188,-0.005813812484420144,-0.00279959267454688
16,16,16,16,2019-02-28,24.69926643371582,24.7474308013916,24.65768814086914,-0.0019462370887031177,0.0016862202412952776
17,17,17,17,2019-03-01,24.49859046936035,24.89191627502441,24.102519989013672,-0.015801346964143037,0.016432741494549763
18,18,18,18,2019-03-04,24.562803268432617,25.084562301635746,24.388032913208008,-0.02080000547464622,0.0071662341873401925
19,19,19,19,2019-03-05,24.667160034179688,24.72334671020508,24.53872299194336,-0.002272616109946113,0.005234055671050841
20,20,20,20,2019-03-06,24.44239997863769,24.81966781616211,24.75545883178711,-0.015200358051478347,-0.012646053352379671
21,21,21,21,2019-03-07,24.40226936340332,24.70729255676269,24.851776123046875,-0.012345472198485918,-0.018087510422512332
22,22,22,22,2019-03-08,24.378183364868164,24.69926643371582,24.7474308013916,-0.0129997006068715,-0.014920637196111475
23,23,23,23,2019-03-11,24.83572578430176,24.49859046936035,24.89191627502441,0.013761416819594308,-0.002257379066433196
24,24,24,24,2019-03-12,24.96415901184082,24.562803268432617,25.084562301635746,0.016339981191153985,-0.004799895981723923
25,25,25,25,2019-03-13,25.06850814819336,24.667160034179688,24.72334671020508,0.016270544053614167,0.013960951243134234
26,26,26,26,2019-03-14,25.12470054626465,24.44239997863769,24.81966781616211,0.02791463065097033,0.012289960218722529
27,27,27,27,2019-03-15,24.98823928833008,24.40226936340332,24.70729255676269,0.024012927494585945,0.011371004367311421
28,28,28,28,2019-03-18,24.45845413208008,24.378183364868164,24.69926643371582,0.0032927296513651783,-0.009749775455153431
29,29,29,29,2019-03-19,24.330020904541016,24.83572578430176,24.49859046936035,-0.020361993209008333,-0.006880786265240912
