,Unnamed: 0.1,Unnamed: 0,Date,PEP,PEP_6m,PEP_12m
0,0,0,2019-02-05,98.00664520263672,,
1,1,1,2019-02-06,98.13685607910156,,
2,2,2,2019-02-07,98.17155456542967,,
3,3,3,2019-02-08,98.1107940673828,,
4,4,4,2019-02-11,98.06739044189452,,
5,5,5,2019-02-12,98.77922821044922,,
6,6,6,2019-02-13,99.0656967163086,98.00664520263672,
7,7,7,2019-02-14,97.7375259399414,98.13685607910156,
8,8,8,2019-02-15,100.61957550048828,98.17155456542967,
9,9,9,2019-02-19,100.63693237304688,98.1107940673828,
10,10,10,2019-02-20,100.55010986328124,98.06739044189452,
11,11,11,2019-02-21,100.78449249267578,98.77922821044922,
12,12,12,2019-02-22,101.3573989868164,99.0656967163086,98.00664520263672
13,13,13,2019-02-25,100.74977111816406,97.7375259399414,98.13685607910156
14,14,14,2019-02-26,100.67163848876952,100.61957550048828,98.17155456542967
15,15,15,2019-02-27,100.15080261230467,100.63693237304688,98.1107940673828
16,16,16,2019-02-28,101.1991958618164,100.55010986328124,98.06739044189452
17,17,17,2019-03-01,101.67176055908205,100.78449249267578,98.77922821044922
18,18,18,2019-03-04,101.66300964355467,101.3573989868164,99.0656967163086
19,19,19,2019-03-05,101.54049682617188,100.74977111816406,97.7375259399414
20,20,20,2019-03-06,102.09182739257812,100.67163848876952,100.61957550048828
21,21,21,2019-03-07,101.60173797607422,100.15080261230467,100.63693237304688
22,22,22,2019-03-08,100.84040069580078,101.1991958618164,100.55010986328124
23,23,23,2019-03-11,102.03055572509766,101.67176055908205,100.78449249267578
24,24,24,2019-03-12,102.0130615234375,101.66300964355467,101.3573989868164
25,25,25,2019-03-13,102.02181243896484,101.54049682617188,100.74977111816406
26,26,26,2019-03-14,101.07667541503906,102.09182739257812,100.67163848876952
27,27,27,2019-03-15,101.21670532226562,101.60173797607422,100.15080261230467
28,28,28,2019-03-18,102.62564849853516,100.84040069580078,101.1991958618164
29,29,29,2019-03-19,103.34322357177734,102.03055572509766,101.67176055908205
30,30,30,2019-03-20,103.54450988769533,102.0130615234375,101.66300964355467
31,31,31,2019-03-21,104.524658203125,102.02181243896484,101.54049682617188
32,32,32,2019-03-22,105.64480590820312,101.07667541503906,102.09182739257812
33,33,33,2019-03-25,105.75858306884766,101.21670532226562,101.60173797607422
34,34,34,2019-03-26,106.78248596191406,102.62564849853516,100.84040069580078
35,35,35,2019-03-27,106.66870880126952,103.34322357177734,102.03055572509766
36,36,36,2019-03-28,106.62494659423828,103.54450988769533,102.0130615234375
37,37,37,2019-03-29,107.2462921142578,104.524658203125,102.02181243896484
38,38,38,2019-04-01,106.76498413085938,105.64480590820312,101.07667541503906
39,39,39,2019-04-02,106.48494720458984,105.75858306884766,101.21670532226562
40,40,40,2019-04-03,106.37993621826172,106.78248596191406,102.62564849853516
41,41,41,2019-04-04,106.30116271972656,106.66870880126952,103.34322357177734
42,42,42,2019-04-05,106.43244934082033,106.62494659423828,103.54450988769533
43,43,43,2019-04-08,106.76498413085938,107.2462921142578,104.524658203125
44,44,44,2019-04-09,106.91374206542967,106.76498413085938,105.64480590820312
45,45,45,2019-04-10,106.79996490478516,106.48494720458984,105.75858306884766
46,46,46,2019-04-11,106.47618103027344,106.37993621826172,106.78248596191406
47,47,47,2019-04-12,106.96625518798828,106.30116271972656,106.66870880126952
48,48,48,2019-04-15,108.21768188476562,106.43244934082033,106.62494659423828
49,49,49,2019-04-16,107.12379455566406,106.76498413085938,107.2462921142578
50,50,50,2019-04-17,111.14933776855467,106.91374206542967,106.76498413085938
51,51,51,2019-04-18,111.21934509277344,106.79996490478516,106.48494720458984
52,52,52,2019-04-22,110.65052795410156,106.47618103027344,106.37993621826172
53,53,53,2019-04-23,111.21934509277344,106.96625518798828,106.30116271972656
54,54,54,2019-04-24,111.07058715820312,108.21768188476562,106.43244934082033
55,55,55,2019-04-25,110.37924194335938,107.12379455566406,106.76498413085938
56,56,56,2019-04-26,110.61551666259766,111.14933776855467,106.91374206542967
57,57,57,2019-04-29,110.86930847167967,111.21934509277344,106.79996490478516
58,58,58,2019-04-30,112.05947875976562,110.65052795410156,106.47618103027344
59,59,59,2019-05-01,111.35061645507812,111.21934509277344,106.96625518798828
60,60,60,2019-05-02,110.99183654785156,111.07058715820312,108.21768188476562
61,61,61,2019-05-03,111.72692108154295,110.37924194335938,107.12379455566406
62,62,62,2019-05-06,111.37688446044922,110.61551666259766,111.14933776855467
63,63,63,2019-05-07,110.24795532226562,110.86930847167967,111.21934509277344
64,64,64,2019-05-08,110.28296661376952,112.05947875976562,110.65052795410156
65,65,65,2019-05-09,110.3092269897461,111.35061645507812,111.21934509277344
66,66,66,2019-05-10,112.0244598388672,110.99183654785156,111.07058715820312
67,67,67,2019-05-13,111.2806167602539,111.72692108154295,110.37924194335938
68,68,68,2019-05-14,111.49937438964844,111.37688446044922,110.61551666259766
69,69,69,2019-05-15,113.1971435546875,110.24795532226562,110.86930847167967
70,70,70,2019-05-16,114.00223541259766,110.28296661376952,112.05947875976562
71,71,71,2019-05-17,114.2122802734375,110.3092269897461,111.35061645507812
72,72,72,2019-05-20,113.75720977783205,112.0244598388672,110.99183654785156
73,73,73,2019-05-21,112.93460845947266,111.2806167602539,111.72692108154295
74,74,74,2019-05-22,113.82721710205078,111.49937438964844,111.37688446044922
75,75,75,2019-05-23,113.73970794677734,113.1971435546875,110.24795532226562
76,76,76,2019-05-24,113.3283920288086,114.00223541259766,110.28296661376952
77,77,77,2019-05-28,111.6919174194336,114.2122802734375,110.3092269897461
78,78,78,2019-05-29,112.16447448730467,113.75720977783205,112.0244598388672
79,79,79,2019-05-30,112.54952239990234,112.93460845947266,111.2806167602539
80,80,80,2019-05-31,112.01570892333984,113.82721710205078,111.49937438964844
81,81,81,2019-06-03,112.8733367919922,113.73970794677734,113.1971435546875
82,82,82,2019-06-04,112.95211029052734,113.3283920288086,114.00223541259766
83,83,83,2019-06-05,114.9823760986328,111.6919174194336,114.2122802734375
84,84,84,2019-06-06,116.34432220458984,112.16447448730467,113.75720977783205
85,85,85,2019-06-07,117.65782928466795,112.54952239990234,112.93460845947266
86,86,86,2019-06-10,117.76361846923828,112.01570892333984,113.82721710205078
87,87,87,2019-06-11,117.4197998046875,112.8733367919922,113.73970794677734
88,88,88,2019-06-12,117.3669204711914,112.95211029052734,113.3283920288086
89,89,89,2019-06-13,117.19059753417967,114.9823760986328,111.6919174194336
90,90,90,2019-06-14,117.00547790527344,116.34432220458984,112.16447448730467
91,91,91,2019-06-17,116.82036590576172,117.65782928466795,112.54952239990234
92,92,92,2019-06-18,116.41486358642578,117.76361846923828,112.01570892333984
93,93,93,2019-06-19,117.11127471923828,117.4197998046875,112.8733367919922
94,94,94,2019-06-20,118.26607513427734,117.3669204711914,112.95211029052734
95,95,95,2019-06-21,118.08977508544922,117.19059753417967,114.9823760986328
96,96,96,2019-06-24,118.24842834472656,117.00547790527344,116.34432220458984
97,97,97,2019-06-25,117.9575424194336,116.82036590576172,117.65782928466795
98,98,98,2019-06-26,116.64408111572266,116.41486358642578,117.76361846923828
99,99,99,2019-06-27,116.08869934082033,117.11127471923828,117.4197998046875
100,100,100,2019-06-28,115.59505462646484,118.26607513427734,117.3669204711914
101,101,101,2019-07-01,116.24734497070312,118.08977508544922,117.19059753417967
102,102,102,2019-07-02,116.74103546142578,118.24842834472656,117.00547790527344
103,103,103,2019-07-03,118.11621856689452,117.9575424194336,116.82036590576172
104,104,104,2019-07-05,117.26114654541016,116.64408111572266,116.41486358642578
105,105,105,2019-07-08,116.85564422607422,116.08869934082033,117.11127471923828
106,106,106,2019-07-09,116.13278198242188,115.59505462646484,118.26607513427734
107,107,107,2019-07-10,118.48645782470705,116.24734497070312,118.08977508544922
108,108,108,2019-07-11,118.43356323242188,116.74103546142578,118.24842834472656
109,109,109,2019-07-12,117.49031829833984,118.11621856689452,117.9575424194336
110,110,110,2019-07-15,118.25724792480467,117.26114654541016,116.64408111572266
111,111,111,2019-07-16,117.94873046875,116.85564422607422,116.08869934082033
112,112,112,2019-07-17,117.049560546875,116.13278198242188,115.59505462646484
113,113,113,2019-07-18,117.13773345947266,118.48645782470705,116.24734497070312
114,114,114,2019-07-19,114.67826080322266,118.43356323242188,116.74103546142578
115,115,115,2019-07-22,114.84573364257812,117.49031829833984,118.11621856689452
116,116,116,2019-07-23,115.2512664794922,118.25724792480467,117.26114654541016
117,117,117,2019-07-24,113.90250396728516,117.94873046875,116.85564422607422
118,118,118,2019-07-25,113.70857238769533,117.049560546875,116.13278198242188
119,119,119,2019-07-26,115.67438507080078,117.13773345947266,118.48645782470705
120,120,120,2019-07-29,115.94764709472656,114.67826080322266,118.43356323242188
121,121,121,2019-07-30,115.02204895019533,114.84573364257812,117.49031829833984
122,122,122,2019-07-31,112.66836547851562,115.2512664794922,118.25724792480467
123,123,123,2019-08-01,112.07772827148438,113.90250396728516,117.94873046875
124,124,124,2019-08-02,112.76534271240234,113.70857238769533,117.049560546875
125,125,125,2019-08-05,109.66234588623048,115.67438507080078,117.13773345947266
126,126,126,2019-08-06,111.469482421875,115.94764709472656,114.67826080322266
127,127,127,2019-08-07,112.64189910888672,115.02204895019533,114.84573364257812
128,128,128,2019-08-08,114.13168334960938,112.66836547851562,115.2512664794922
129,129,129,2019-08-09,113.3647689819336,112.07772827148438,113.90250396728516
130,130,130,2019-08-12,113.1443862915039,112.76534271240234,113.70857238769533
