,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PFG,PFG_6m,PFG_12m,PFG_6m_ret,PFG_12m_ret
0,0,0,0,2019-02-05,40.05519104003906,,,,
1,1,1,1,2019-02-06,39.989593505859375,,,,
2,2,2,2,2019-02-07,39.32541275024414,,,,
3,3,3,3,2019-02-08,39.21881866455078,,,,
4,4,4,4,2019-02-11,39.669803619384766,,,,
5,5,5,5,2019-02-12,40.01418685913086,,,,
6,6,6,6,2019-02-13,40.350364685058594,40.05519104003906,,0.00736917331699849,
7,7,7,7,2019-02-14,40.05519104003906,39.989593505859375,,0.0016403651157412824,
8,8,8,8,2019-02-15,41.64591598510742,39.32541275024414,,0.05900772738485438,
9,9,9,9,2019-02-19,42.11329650878906,39.21881866455078,,0.07380328992047258,
10,10,10,10,2019-02-20,42.81846237182617,39.669803619384766,,0.07937167480463159,
11,11,11,11,2019-02-21,42.67906951904297,40.01418685913086,,0.0665984459285347,
12,12,12,12,2019-02-22,43.35143661499024,40.350364685058594,40.05519104003906,0.07437533596921675,0.08229259402748235
13,13,13,13,2019-02-25,43.53182220458984,40.05519104003906,39.989593505859375,0.08679602004832643,0.08857876232754025
14,14,14,14,2019-02-26,43.1136474609375,41.64591598510742,39.32541275024414,0.03524310706372602,0.09633045010239183
15,15,15,15,2019-02-27,42.982452392578125,42.11329650878906,39.21881866455078,0.020638514574789157,0.0959649947699528
16,16,16,16,2019-02-28,43.162845611572266,42.81846237182617,39.669803619384766,0.008042867974929813,0.08805291868096399
17,17,17,17,2019-03-01,42.58292388916016,42.67906951904297,40.01418685913086,-0.0022527583418824326,0.06419565738203037
18,18,18,18,2019-03-04,42.54977798461914,43.35143661499024,40.350364685058594,-0.018492089143221202,0.05450789148319579
19,19,19,19,2019-03-05,42.7320556640625,43.53182220458984,40.05519104003906,-0.018371997771391535,0.06682940599004139
20,20,20,20,2019-03-06,42.21011734008789,43.1136474609375,41.64591598510742,-0.020956939949658415,0.013547579435693624
21,21,21,21,2019-03-07,41.42308044433594,42.982452392578125,42.11329650878906,-0.03627926889791533,-0.016389504543038447
