,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PH,PH_6m,PH_12m,PH_6m_ret,PH_12m_ret
0,0,0,0,2019-02-05,152.82003784179688,,,,
1,1,1,1,2019-02-06,152.6269073486328,,,,
2,2,2,2,2019-02-07,149.92056274414062,,,,
3,3,3,3,2019-02-08,149.71731567382812,,,,
4,4,4,4,2019-02-11,151.33375549316406,,,,
5,5,5,5,2019-02-12,157.10667419433594,,,,
6,6,6,6,2019-02-13,158.28897094726562,152.82003784179688,,0.03578675403241505,
7,7,7,7,2019-02-14,156.16458129882812,152.6269073486328,,0.023178573238822775,
8,8,8,8,2019-02-15,160.4042205810547,149.92056274414062,,0.06992808488056323,
9,9,9,9,2019-02-19,160.09939575195312,149.71731567382812,,0.06934455130589723,
10,10,10,10,2019-02-20,161.95596313476562,151.33375549316406,,0.0701906035899662,
11,11,11,11,2019-02-21,161.58651733398438,157.10667419433594,,0.028514658353132827,
12,12,12,12,2019-02-22,162.35313415527344,158.28897094726562,152.82003784179688,0.025675593085773496,0.06238119325258551
13,13,13,13,2019-02-25,162.7965087890625,156.16458129882812,152.6269073486328,0.042467552085603044,0.06663046259071548
14,14,14,14,2019-02-26,161.86358642578125,160.4042205810547,149.92056274414062,0.009098051406877472,0.07966234559846863
15,15,15,15,2019-02-27,163.98802185058594,160.09939575195312,149.71731567382812,0.024288824329215863,0.09531767325997054
16,16,16,16,2019-02-28,162.71339416503906,161.95596313476562,151.33375549316406,0.004676771485364606,0.07519564048874106
17,17,17,17,2019-03-01,162.6117706298828,161.58651733398438,157.10667419433594,0.006344918578691461,0.03504050011737414
18,18,18,18,2019-03-04,161.24476623535156,162.35313415527344,158.28897094726562,-0.006826895739886596,0.01867341274883061
19,19,19,19,2019-03-05,161.0599822998047,162.7965087890625,156.16458129882812,-0.010666853375264074,0.03134770355903549
20,20,20,20,2019-03-06,159.09259033203125,161.86358642578125,160.4042205810547,-0.017119329646267167,-0.008177030780562644
21,21,21,21,2019-03-07,157.36532592773438,163.98802185058594,160.09939575195312,-0.04038524184946679,-0.017077327565025446
22,22,22,22,2019-03-08,156.1276092529297,162.71339416503906,161.95596313476562,-0.040474755909949645,-0.03598727560890169
23,23,23,23,2019-03-11,158.9540252685547,162.6117706298828,161.58651733398438,-0.022493730602401674,-0.01629153291291363
24,24,24,24,2019-03-12,157.993408203125,161.24476623535156,162.35313415527344,-0.020164115140834493,-0.02685335256896748
25,25,25,25,2019-03-13,159.41587829589844,161.0599822998047,162.7965087890625,-0.01020802300130541,-0.02076598889196324
26,26,26,26,2019-03-14,157.0143280029297,159.09259033203125,161.86358642578125,-0.01306322516192715,-0.029958921150403883
27,27,27,27,2019-03-15,157.73480224609375,157.36532592773438,163.98802185058594,0.0023478890040176115,-0.03813217291071214
28,28,28,28,2019-03-18,160.773681640625,156.1276092529297,162.71339416503906,0.029758172881316547,-0.011921037812330448
29,29,29,29,2019-03-19,159.40663146972656,158.9540252685547,162.6117706298828,0.002847403206098109,-0.019710376116938044
30,30,30,30,2019-03-20,156.01675415039062,157.993408203125,161.24476623535156,-0.012510990649642006,-0.0324228327344912
31,31,31,31,2019-03-21,156.5709686279297,159.41587829589844,161.0599822998047,-0.01784583630175285,-0.0278716885956124
32,32,32,32,2019-03-22,150.91812133789062,157.0143280029297,159.09259033203125,-0.03882579852792356,-0.05138183354158887
33,33,33,33,2019-03-25,151.22293090820312,157.73480224609375,157.36532592773438,-0.04128366882364343,-0.03903270929170233
34,34,34,34,2019-03-26,152.74696350097656,160.773681640625,156.1276092529297,-0.04992557275381948,-0.021653093697709846
35,35,35,35,2019-03-27,153.88311767578125,159.40663146972656,158.9540252685547,-0.03465046430640062,-0.03190172494346133
36,36,36,36,2019-03-28,156.6171417236328,156.01675415039062,157.993408203125,0.003848224996806815,-0.008710910759788026
37,37,37,37,2019-03-29,158.51991271972656,156.5709686279297,159.41587829589844,0.012447672189014103,-0.005620303232961699
38,38,38,38,2019-04-01,164.2928466796875,150.91812133789062,157.0143280029297,0.08862239486702994,0.046355761090936864
39,39,39,39,2019-04-02,163.9695587158203,151.22293090820312,157.73480224609375,0.08429031054393965,0.0395268284547583
40,40,40,40,2019-04-03,165.77069091796875,152.74696350097656,160.773681640625,0.08526341289205996,0.03108101541465902
41,41,41,41,2019-04-04,167.80276489257812,153.88311767578125,159.40663146972656,0.09045597351442014,0.052671167726457524
42,42,42,42,2019-04-05,169.40072631835938,156.6171417236328,156.01675415039062,0.08162315091463301,0.08578548016110776
43,43,43,43,2019-04-08,170.47218322753906,158.51991271972656,156.5709686279297,0.0753991741652349,0.08878539055758017
44,44,44,44,2019-04-09,167.1007537841797,164.2928466796875,150.91812133789062,0.01709086646947333,0.10722789485338047
45,45,45,45,2019-04-10,169.0774383544922,163.9695587158203,151.22293090820312,0.031151389798666607,0.11806746066261131
46,46,46,46,2019-04-11,171.68215942382812,165.77069091796875,152.74696350097656,0.03566051678450588,0.12396446704310748
47,47,47,47,2019-04-12,174.24075317382812,167.80276489257812,153.88311767578125,0.038366401682185636,0.13229284541101305
48,48,48,48,2019-04-15,173.52024841308594,169.40072631835938,156.6171417236328,0.024318207980907003,0.10792628765553913
49,49,49,49,2019-04-16,174.22225952148438,170.47218322753906,158.51991271972656,0.021998171331799377,0.09905598944859739
50,50,50,50,2019-04-17,173.7881622314453,167.1007537841797,164.2928466796875,0.040020217119443924,0.05779506377578514
51,51,51,51,2019-04-18,175.4230499267578,169.0774383544922,163.9695587158203,0.03753080028904421,0.0698513266769707
52,52,52,52,2019-04-22,175.43228149414062,171.68215942382812,165.77069091796875,0.02184339993682549,0.05828286365140922
53,53,53,53,2019-04-23,174.89657592773438,174.24075317382812,167.80276489257812,0.003763888424265449,0.042274696961623226
54,54,54,54,2019-04-24,173.15081787109375,173.52024841308594,169.40072631835938,-0.0021290341926707423,0.02213739949194027
55,55,55,55,2019-04-25,168.12606811523438,174.22225952148438,170.47218322753906,-0.03499088705997544,-0.013762451256773
56,56,56,56,2019-04-26,169.03128051757812,173.7881622314453,167.1007537841797,-0.02737172459152959,0.011553070166827828
57,57,57,57,2019-04-29,169.4654083251953,175.4230499267578,169.0774383544922,-0.03396156664731298,0.002294628866387871
58,58,58,58,2019-04-30,167.2578125,175.43228149414062,171.68215942382812,-0.04659615051756394,-0.02577056893201024
59,59,59,59,2019-05-01,166.25099182128906,174.89657592773438,174.24075317382812,-0.04943255212736464,-0.04585472231383336
60,60,60,60,2019-05-02,162.6394805908203,173.15081787109375,173.52024841308594,-0.06070625255780693,-0.0627060410630732
61,61,61,61,2019-05-03,166.12171936035156,168.12606811523438,174.22225952148438,-0.01192170124093439,-0.04649543739922557
62,62,62,62,2019-05-06,163.53543090820312,169.03128051757812,173.7881622314453,-0.032513802135004655,-0.058995567889071454
63,63,63,63,2019-05-07,160.14556884765625,169.4654083251953,175.4230499267578,-0.05499552722674106,-0.08708935961083897
64,64,64,64,2019-05-08,158.82472229003906,167.2578125,175.43228149414062,-0.050419708854920864,-0.0946664950296291
65,65,65,65,2019-05-09,159.47462463378906,166.25099182128906,174.89657592773438,-0.04075986021655875,-0.08817754842906422
66,66,66,66,2019-05-10,161.19219970703125,162.6394805908203,173.15081787109375,-0.008898705766469006,-0.069064751244579
67,67,67,67,2019-05-13,153.95982360839844,166.12171936035156,168.12606811523438,-0.07321075051945203,-0.08425965506506894
68,68,68,68,2019-05-14,154.95321655273438,163.53543090820312,169.03128051757812,-0.05247923528135123,-0.0832867379442217
