,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPG,PPG_6m,PPG_12m,PPG_6m_ret,PPG_12m_ret
0,0,0,0,2019-02-05,98.06534576416016,,,,
1,1,1,1,2019-02-06,97.23141479492188,,,,
2,2,2,2,2019-02-07,96.08587646484376,,,,
3,3,3,3,2019-02-08,96.0950698852539,,,,
4,4,4,4,2019-02-11,95.96676635742188,,,,
5,5,5,5,2019-02-12,98.6151885986328,,,,
6,6,6,6,2019-02-13,98.87179565429688,98.06534576416016,,0.008223597070428745,
7,7,7,7,2019-02-14,98.2944564819336,97.23141479492188,,0.0109331093171261,
8,8,8,8,2019-02-15,99.98980712890624,96.08587646484376,,0.04062959935106436,
9,9,9,9,2019-02-19,99.64157104492188,96.0950698852539,,0.03690617181404621,
10,10,10,10,2019-02-20,100.56715393066406,95.96676635742188,,0.04793729900316057,
11,11,11,11,2019-02-21,101.36793518066406,98.6151885986328,,0.027914022384878612,
12,12,12,12,2019-02-22,102.5737075805664,98.87179565429688,98.06534576416016,0.03744153630235658,0.04597303748103365
13,13,13,13,2019-02-25,103.38369750976562,98.2944564819336,97.23141479492188,0.051775463337217165,0.06327463945495393
14,14,14,14,2019-02-26,102.60133361816406,99.98980712890624,96.08587646484376,0.026117927059215784,0.0678086873225765
15,15,15,15,2019-02-27,103.2456512451172,99.64157104492188,96.0950698852539,0.036170447358467195,0.0744115319173162
16,16,16,16,2019-02-28,103.06153106689452,100.56715393066406,95.96676635742188,0.024803099607951573,0.07392939221322359
17,17,17,17,2019-03-01,103.78868865966795,101.36793518066406,98.6151885986328,0.02388086010324142,0.0524614933516121
18,18,18,18,2019-03-04,102.50007629394533,102.5737075805664,98.87179565429688,-0.0007178378198258173,0.036696821531740476
19,19,19,19,2019-03-05,101.93861389160156,103.38369750976562,98.2944564819336,-0.013977867429509905,0.03707388534507805
20,20,20,20,2019-03-06,101.7545394897461,102.60133361816406,99.98980712890624,-0.008253246800566494,0.017649122560710273
21,21,21,21,2019-03-07,101.10098266601562,103.2456512451172,99.64157104492188,-0.02077248342411908,0.014646613916151408
22,22,22,22,2019-03-08,100.90771484375,103.06153106689452,100.56715393066406,-0.02089835267192497,0.003386403013062589
23,23,23,23,2019-03-11,102.44486236572266,103.78868865966795,101.36793518066406,-0.012947714354035411,0.010623943194060681
24,24,24,24,2019-03-12,102.3067855834961,102.50007629394533,102.5737075805664,-0.0018857616251418685,-0.0026022457739539595
