,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RTX,RTX_6m,RTX_12m,RTX_6m_ret,RTX_12m_ret
0,0,0,0,2019-02-05,67.16806030273438,,,,
1,1,1,1,2019-02-06,67.49618530273438,,,,
2,2,2,2,2019-02-07,67.14025115966797,,,,
3,3,3,3,2019-02-08,68.12467193603516,,,,
4,4,4,4,2019-02-11,68.25259399414062,,,,
5,5,5,5,2019-02-12,68.95336151123047,,,,
6,6,6,6,2019-02-13,69.19808197021484,67.16806030273438,,0.03022302055963677,
7,7,7,7,2019-02-14,69.44702911376953,67.49618530273438,,0.02890302321953775,
8,8,8,8,2019-02-15,71.47793579101562,67.14025115966797,,0.06460632119221743,
9,9,9,9,2019-02-19,71.97024536132812,68.12467193603516,,0.05644905606156492,
10,10,10,10,2019-02-20,71.85274505615234,68.25259399414062,,0.052747461324631706,
11,11,11,11,2019-02-21,70.67227935791016,68.95336151123047,,0.02492870266230196,
12,12,12,12,2019-02-22,71.48351287841797,69.19808197021484,67.16806030273438,0.033027373637131374,0.06424858118923393
13,13,13,13,2019-02-25,71.76323699951172,69.44702911376953,67.49618530273438,0.03335215221298715,0.06321915346235829
14,14,14,14,2019-02-26,71.15901184082031,71.47793579101562,67.14025115966797,-0.0044618517122230195,0.059856205655162364
15,15,15,15,2019-02-27,70.99674987792969,71.97024536132812,68.12467193603516,-0.013526360491213918,0.042159145288673594
16,16,16,16,2019-02-28,70.30860900878906,71.85274505615234,68.25259399414062,-0.02149028608658654,0.030123617203837494
17,17,17,17,2019-03-01,70.36454772949219,70.67227935791016,68.95336151123047,-0.004354347011499393,0.02046580742886439
18,18,18,18,2019-03-04,70.3477783203125,71.48351287841797,69.19808197021484,-0.01588806302842405,0.016614569614697094
19,19,19,19,2019-03-05,70.45968627929688,71.76323699951172,69.44702911376953,-0.018164603141072266,0.014581720463065384
20,20,20,20,2019-03-06,70.1519775390625,71.15901184082031,71.47793579101562,-0.014151887100547489,-0.01855059519107982
21,21,21,21,2019-03-07,69.63165283203125,70.99674987792969,71.97024536132812,-0.01922759912595373,-0.03249388018000943
22,22,22,22,2019-03-08,69.38551330566406,70.30860900878906,71.85274505615234,-0.013129198772935613,-0.034337334621804105
23,23,23,23,2019-03-11,70.49884033203125,70.36454772949219,70.67227935791016,0.0019085264792055856,-0.0024541309188649274
24,24,24,24,2019-03-12,69.7491455078125,70.3477783203125,71.48351287841797,-0.008509619305591465,-0.024262480966140365
