,Unnamed: 0.1,Unnamed: 0,Date,SPG,SPG_6m,SPG_12m
0,0,0,2019-02-05,138.21983337402344,,
1,1,1,2019-02-06,138.107177734375,,
2,2,2,2019-02-07,139.6095428466797,,
3,3,3,2019-02-08,138.2949981689453,,
4,4,4,2019-02-11,139.19642639160156,,
5,5,5,2019-02-12,138.67056274414062,,
6,6,6,2019-02-13,139.7720489501953,138.21983337402344,
7,7,7,2019-02-14,139.5897216796875,138.107177734375,
8,8,8,2019-02-15,139.28585815429688,139.6095428466797,
9,9,9,2019-02-19,138.42747497558594,138.2949981689453,
10,10,10,2019-02-20,136.14096069335938,139.19642639160156,
11,11,11,2019-02-21,138.36672973632812,138.67056274414062,
12,12,12,2019-02-22,139.49098205566406,139.7720489501953,138.21983337402344
13,13,13,2019-02-25,139.2402801513672,139.5897216796875,138.107177734375
14,14,14,2019-02-26,139.22508239746094,139.28585815429688,139.6095428466797
15,15,15,2019-02-27,137.6754608154297,138.42747497558594,138.2949981689453
16,16,16,2019-02-28,137.61468505859375,136.14096069335938,139.19642639160156
17,17,17,2019-03-01,133.3683319091797,138.36672973632812,138.67056274414062
18,18,18,2019-03-04,133.17086791992188,139.49098205566406,139.7720489501953
19,19,19,2019-03-05,133.9988250732422,139.2402801513672,139.5897216796875
20,20,20,2019-03-06,133.983642578125,139.22508239746094,139.28585815429688
21,21,21,2019-03-07,133.23158264160156,137.6754608154297,138.42747497558594
22,22,22,2019-03-08,132.34283447265625,137.61468505859375,136.14096069335938
23,23,23,2019-03-11,133.60385131835938,133.3683319091797,138.36672973632812
24,24,24,2019-03-12,135.15347290039062,133.17086791992188,139.49098205566406
25,25,25,2019-03-13,135.3206024169922,133.9988250732422,139.2402801513672
26,26,26,2019-03-14,136.573974609375,133.983642578125,139.22508239746094
27,27,27,2019-03-15,133.76336669921875,133.23158264160156,137.6754608154297
28,28,28,2019-03-18,132.42640686035156,132.34283447265625,137.61468505859375
29,29,29,2019-03-19,131.71994018554688,133.60385131835938,133.3683319091797
30,30,30,2019-03-20,132.13015747070312,135.15347290039062,133.17086791992188
31,31,31,2019-03-21,135.35096740722656,135.3206024169922,133.9988250732422
32,32,32,2019-03-22,134.910400390625,136.573974609375,133.983642578125
33,33,33,2019-03-25,135.1990203857422,133.76336669921875,133.23158264160156
34,34,34,2019-03-26,137.6754608154297,132.42640686035156,132.34283447265625
35,35,35,2019-03-27,137.57669067382812,131.71994018554688,133.60385131835938
36,36,36,2019-03-28,139.28585815429688,132.13015747070312,135.15347290039062
37,37,37,2019-03-29,138.41232299804688,135.35096740722656,135.3206024169922
38,38,38,2019-04-01,138.95924377441406,134.910400390625,136.573974609375
39,39,39,2019-04-02,139.23269653320312,135.1990203857422,133.76336669921875
40,40,40,2019-04-03,138.9896240234375,137.6754608154297,132.42640686035156
41,41,41,2019-04-04,139.6580810546875,137.57669067382812,131.71994018554688
42,42,42,2019-04-05,140.37974548339844,139.28585815429688,132.13015747070312
43,43,43,2019-04-08,139.36947631835938,138.41232299804688,135.35096740722656
44,44,44,2019-04-09,138.68577575683594,138.95924377441406,134.910400390625
45,45,45,2019-04-10,140.47848510742188,139.23269653320312,135.1990203857422
46,46,46,2019-04-11,139.9315643310547,138.9896240234375,137.6754608154297
47,47,47,2019-04-12,140.92665100097656,139.6580810546875,137.57669067382812
48,48,48,2019-04-15,140.15188598632812,140.37974548339844,139.28585815429688
49,49,49,2019-04-16,134.515380859375,139.36947631835938,138.41232299804688
50,50,50,2019-04-17,134.78884887695312,138.68577575683594,138.95924377441406
51,51,51,2019-04-18,135.2598419189453,140.47848510742188,139.23269653320312
52,52,52,2019-04-22,131.95542907714844,139.9315643310547,138.9896240234375
53,53,53,2019-04-23,134.1583709716797,140.92665100097656,139.6580810546875
54,54,54,2019-04-24,135.32818603515625,140.15188598632812,140.37974548339844
55,55,55,2019-04-25,135.10031127929688,134.515380859375,139.36947631835938
56,56,56,2019-04-26,135.67762756347656,134.78884887695312,138.68577575683594
57,57,57,2019-04-29,133.50509643554688,135.2598419189453,140.47848510742188
58,58,58,2019-04-30,131.94784545898438,131.95542907714844,139.9315643310547
59,59,59,2019-05-01,135.0242919921875,134.1583709716797,140.92665100097656
60,60,60,2019-05-02,135.06231689453125,135.32818603515625,140.15188598632812
61,61,61,2019-05-03,136.2853240966797,135.10031127929688,134.515380859375
62,62,62,2019-05-06,135.29779052734375,135.67762756347656,134.78884887695312
63,63,63,2019-05-07,132.198486328125,133.50509643554688,135.2598419189453
64,64,64,2019-05-08,131.29457092285156,131.94784545898438,131.95542907714844
65,65,65,2019-05-09,132.00103759765625,135.0242919921875,134.1583709716797
66,66,66,2019-05-10,133.09486389160156,135.06231689453125,135.32818603515625
67,67,67,2019-05-13,132.9353790283203,136.2853240966797,135.10031127929688
68,68,68,2019-05-14,133.88487243652344,135.29779052734375,135.67762756347656
69,69,69,2019-05-15,134.45460510253906,132.198486328125,133.50509643554688
70,70,70,2019-05-16,134.73130798339844,131.29457092285156,131.94784545898438
71,71,71,2019-05-17,134.07803344726562,132.00103759765625,135.0242919921875
72,72,72,2019-05-20,131.0807647705078,133.09486389160156,135.06231689453125
73,73,73,2019-05-21,132.80226135253906,132.9353790283203,136.2853240966797
74,74,74,2019-05-22,131.9415283203125,133.88487243652344,135.29779052734375
75,75,75,2019-05-23,131.78778076171875,134.45460510253906,132.198486328125
76,76,76,2019-05-24,131.67254638671875,134.73130798339844,131.29457092285156
77,77,77,2019-05-28,129.1824493408203,134.07803344726562,132.00103759765625
78,78,78,2019-05-29,126.00846099853516,131.0807647705078,133.09486389160156
79,79,79,2019-05-30,125.30912017822266,132.80226135253906,132.9353790283203
80,80,80,2019-05-31,124.57129669189452,131.9415283203125,133.88487243652344
81,81,81,2019-06-03,124.24852752685548,131.78778076171875,134.45460510253906
82,82,82,2019-06-04,124.58666229248048,131.67254638671875,134.73130798339844
83,83,83,2019-06-05,126.76929473876952,129.1824493408203,134.07803344726562
84,84,84,2019-06-06,125.75486755371094,126.00846099853516,131.0807647705078
85,85,85,2019-06-07,125.57038879394533,125.30912017822266,132.80226135253906
86,86,86,2019-06-10,124.0333480834961,124.57129669189452,131.9415283203125
87,87,87,2019-06-11,125.01700592041016,124.24852752685548,131.78778076171875
88,88,88,2019-06-12,124.92481231689452,124.58666229248048,131.67254638671875
89,89,89,2019-06-13,125.9008560180664,126.76929473876952,129.1824493408203
90,90,90,2019-06-14,125.20921325683594,125.75486755371094,126.00846099853516
91,91,91,2019-06-17,127.99126434326172,125.57038879394533,125.30912017822266
92,92,92,2019-06-18,127.67616271972656,124.0333480834961,124.57129669189452
93,93,93,2019-06-19,127.01520538330078,125.01700592041016,124.24852752685548
94,94,94,2019-06-20,126.6924285888672,124.92481231689452,124.58666229248048
95,95,95,2019-06-21,126.1083526611328,125.9008560180664,126.76929473876952
96,96,96,2019-06-24,124.52518463134766,125.20921325683594,125.75486755371094
97,97,97,2019-06-25,124.11017608642578,127.99126434326172,125.57038879394533
98,98,98,2019-06-26,122.40404510498048,127.67616271972656,124.0333480834961
99,99,99,2019-06-27,122.91127014160156,127.01520538330078,125.01700592041016
100,100,100,2019-06-28,122.78060150146484,126.6924285888672,124.92481231689452
101,101,101,2019-07-01,121.91988372802734,126.1083526611328,125.9008560180664
102,102,102,2019-07-02,124.46370697021484,124.52518463134766,125.20921325683594
103,103,103,2019-07-03,126.83079528808594,124.11017608642578,127.99126434326172
104,104,104,2019-07-05,125.2398910522461,122.40404510498048,127.67616271972656
105,105,105,2019-07-08,126.25437927246094,122.91127014160156,127.01520538330078
106,106,106,2019-07-09,126.4465103149414,122.78060150146484,126.6924285888672
107,107,107,2019-07-10,125.9469985961914,121.91988372802734,126.1083526611328
108,108,108,2019-07-11,124.92481231689452,124.46370697021484,124.52518463134766
109,109,109,2019-07-12,124.70194244384766,126.83079528808594,124.11017608642578
110,110,110,2019-07-15,124.9632568359375,125.2398910522461,122.40404510498048
111,111,111,2019-07-16,124.51750946044922,126.25437927246094,122.91127014160156
112,112,112,2019-07-17,123.0726547241211,126.4465103149414,122.78060150146484
113,113,113,2019-07-18,122.49626159667967,125.9469985961914,121.91988372802734
114,114,114,2019-07-19,120.2291030883789,124.92481231689452,124.46370697021484
115,115,115,2019-07-22,119.2223129272461,124.70194244384766,126.83079528808594
116,116,116,2019-07-23,121.62014770507812,124.9632568359375,125.2398910522461
117,117,117,2019-07-24,122.32718658447266,124.51750946044922,126.25437927246094
118,118,118,2019-07-25,121.67395782470705,123.0726547241211,126.4465103149414
119,119,119,2019-07-26,121.6815948486328,122.49626159667967,125.9469985961914
120,120,120,2019-07-29,122.68836212158205,120.2291030883789,124.92481231689452
121,121,121,2019-07-30,123.12644958496094,119.2223129272461,124.70194244384766
122,122,122,2019-07-31,124.6558609008789,121.62014770507812,124.9632568359375
123,123,123,2019-08-01,121.02835083007812,122.32718658447266,124.51750946044922
124,124,124,2019-08-02,122.38866424560548,121.67395782470705,123.0726547241211
125,125,125,2019-08-05,118.93025207519533,121.6815948486328,122.49626159667967
126,126,126,2019-08-06,117.93888092041016,122.68836212158205,120.2291030883789
127,127,127,2019-08-07,117.98499298095705,123.12644958496094,119.2223129272461
128,128,128,2019-08-08,119.23770904541016,124.6558609008789,121.62014770507812
129,129,129,2019-08-09,119.08397674560548,121.02835083007812,122.32718658447266
130,130,130,2019-08-12,117.6160659790039,122.38866424560548,121.67395782470705
131,131,131,2019-08-13,119.39908599853516,118.93025207519533,121.6815948486328
132,132,132,2019-08-14,116.90904235839844,117.93888092041016,122.68836212158205
133,133,133,2019-08-15,115.2491455078125,117.98499298095705,123.12644958496094
134,134,134,2019-08-16,115.81024932861328,119.23770904541016,124.6558609008789
135,135,135,2019-08-19,116.86231231689452,119.08397674560548,121.02835083007812
136,136,136,2019-08-20,114.96084594726562,117.6160659790039,122.38866424560548
