,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
0,0,0,0,2019-02-05,69.0652084350586,,,,
1,1,1,1,2019-02-06,77.00279235839844,,,,
2,2,2,2,2019-02-07,74.15689849853516,,,,
3,3,3,3,2019-02-08,74.29329681396484,,,,
4,4,4,4,2019-02-11,74.4114990234375,,,,
5,5,5,5,2019-02-12,75.99356079101562,,,,
6,6,6,6,2019-02-13,75.4480209350586,69.0652084350586,,0.09241719013997773,
7,7,7,7,2019-02-14,76.04813385009766,77.00279235839844,,-0.012397712849911424,
8,8,8,8,2019-02-15,75.81172180175781,74.15689849853516,,0.022315163345933975,
9,9,9,9,2019-02-19,75.12068176269531,74.29329681396484,,0.011136737555237142,
10,10,10,10,2019-02-20,74.85702514648438,74.4114990234375,,0.005987328959823124,
11,11,11,11,2019-02-21,74.33875274658203,75.99356079101562,,-0.021775635030241047,
12,12,12,12,2019-02-22,74.9388656616211,75.4480209350586,69.0652084350586,-0.006748424506399564,0.08504509520282477
13,13,13,13,2019-02-25,75.25855255126953,76.04813385009766,77.00279235839844,-0.010382651866047254,-0.02265164357950289
14,14,14,14,2019-02-26,74.92058563232422,75.81172180175781,74.15689849853516,-0.011754596100110315,0.010298261513784102
15,15,15,15,2019-02-27,74.20809936523438,75.12068176269531,74.29329681396484,-0.012148217721768884,-0.0011467716790628524
16,16,16,16,2019-02-28,74.59175872802734,74.85702514648438,74.4114990234375,-0.0035436409333384766,0.002422471082501154
17,17,17,17,2019-03-01,74.88404083251953,74.33875274658203,75.99356079101562,0.0073351793753706485,-0.014600183843829884
18,18,18,18,2019-03-04,75.103271484375,74.9388656616211,75.4480209350586,0.002193865910598003,-0.004569363734276521
19,19,19,19,2019-03-05,74.7927017211914,75.25855255126953,76.04813385009766,-0.006190005179288693,-0.016508388376510252
20,20,20,20,2019-03-06,73.979736328125,74.92058563232422,75.81172180175781,-0.012557954482850353,-0.024164936900171186
21,21,21,21,2019-03-07,72.61871337890625,74.20809936523438,75.12068176269531,-0.021417958415907545,-0.03330598611568425
22,22,22,22,2019-03-08,73.1941909790039,74.59175872802734,74.85702514648438,-0.018736221974858913,-0.022213468465071107
23,23,23,23,2019-03-11,74.42732238769531,74.88404083251953,74.33875274658203,-0.006099009077857875,0.0011914329719144856
24,24,24,24,2019-03-12,75.13982391357422,75.103271484375,74.9388656616211,0.000486695565676154,0.0026816292210845027
25,25,25,25,2019-03-13,74.69221496582031,74.7927017211914,75.25855255126953,-0.0013435369101344463,-0.007525225588990714
26,26,26,26,2019-03-14,74.38166046142578,73.979736328125,74.92058563232422,0.005432894914873865,-0.007193285615027523
27,27,27,27,2019-03-15,76.50999450683594,72.61871337890625,74.20809936523438,0.05358510150993667,0.031019459618177203
28,28,28,28,2019-03-18,75.44123840332031,73.1941909790039,74.59175872802734,0.030699805466269714,0.011388385121609668
29,29,29,29,2019-03-19,76.19941711425781,74.42732238769531,74.88404083251953,0.023809733706817715,0.017565508846940636
30,30,30,30,2019-03-20,74.67393493652344,75.13982391357422,75.103271484375,-0.006200293702932402,-0.005716615792707325
31,31,31,31,2019-03-21,78.6200180053711,74.69221496582031,74.7927017211914,0.052586511744874276,0.051172322915235435
32,32,32,32,2019-03-22,75.44123840332031,74.38166046142578,73.979736328125,0.014245150421776653,0.019755437741938664
33,33,33,33,2019-03-25,74.39990997314453,76.50999450683594,72.61871337890625,-0.027579201217990845,0.02452806599511681
34,34,34,34,2019-03-26,75.01192474365234,75.44123840332031,73.1941909790039,-0.005690702707884965,0.024834399292286147
35,35,35,35,2019-03-27,73.6143569946289,76.19941711425781,74.42732238769531,-0.033924932991977075,-0.010922942905719935
36,36,36,36,2019-03-28,73.56867980957031,74.67393493652344,75.13982391357422,-0.014801083241329782,-0.02090960588104429
37,37,37,37,2019-03-29,75.34075927734375,78.6200180053711,74.69221496582031,-0.04171022611319308,0.008682890336298321
38,38,38,38,2019-04-01,76.6012954711914,75.44123840332031,74.38166046142578,0.015376962155223994,0.02984115971593182
39,39,39,39,2019-04-02,76.87535095214844,74.39990997314453,76.50999450683594,0.033272096429920905,0.004775277369544861
