,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,T,T_6m,T_12m,T_6m_ret,T_12m_ret
0,0,0,0,2019-02-05,15.068830490112305,,,,
1,1,1,1,2019-02-06,15.03322696685791,,,,
2,2,2,2,2019-02-07,14.977286338806152,,,,
3,3,3,3,2019-02-08,15.028141021728516,,,,
4,4,4,4,2019-02-11,15.109511375427246,,,,
5,5,5,5,2019-02-12,15.160367012023926,,,,
6,6,6,6,2019-02-13,15.175623893737791,15.068830490112305,,0.007087039946169771,
7,7,7,7,2019-02-14,15.150196075439451,15.03322696685791,,0.007780705289650136,
8,8,8,8,2019-02-15,15.496026992797852,14.977286338806152,,0.034635156346556784,
9,9,9,9,2019-02-19,15.577391624450684,15.028141021728516,,0.0365481400479295,
10,10,10,10,2019-02-20,15.689271926879885,15.109511375427246,,0.03837056917641357,
11,11,11,11,2019-02-21,15.679109573364258,15.160367012023926,,0.03421701868621718,
12,12,12,12,2019-02-22,15.841845512390137,15.175623893737791,15.068830490112305,0.04390077293146821,0.05129893940907104
13,13,13,13,2019-02-25,15.831680297851562,15.150196075439451,15.03322696685791,0.044981874757178186,0.053112570757689825
14,14,14,14,2019-02-26,15.877446174621582,15.496026992797852,14.977286338806152,0.024613998284915395,0.06010166431038422
15,15,15,15,2019-02-27,15.796077728271484,15.577391624450684,15.028141021728516,0.014038685621638125,0.05109991351775611
16,16,16,16,2019-02-28,15.82659149169922,15.689271926879885,15.109511375427246,0.00875244979240053,0.0474588554490365
17,17,17,17,2019-03-01,15.67402458190918,15.679109573364258,15.160367012023926,-0.00032431634151708355,0.03388160520638217
18,18,18,18,2019-03-04,15.24682903289795,15.841845512390137,15.175623893737791,-0.03755979560757716,0.004692073265570418
19,19,19,19,2019-03-05,15.231566429138184,15.831680297851562,15.150196075439451,-0.03790588600976341,0.0053709109303636815
20,20,20,20,2019-03-06,15.160367012023926,15.877446174621582,15.496026992797852,-0.04516338173728662,-0.021661034852993755
21,21,21,21,2019-03-07,15.216314315795898,15.796077728271484,15.577391624450684,-0.036702998203024695,-0.023179574434530448
22,22,22,22,2019-03-08,15.236652374267578,15.82659149169922,15.689271926879885,-0.037275184472983725,-0.028848983861185395
23,23,23,23,2019-03-11,15.368884086608888,15.67402458190918,15.679109573364258,-0.019467909706641806,-0.019785912286905738
24,24,24,24,2019-03-12,15.577391624450684,15.24682903289795,15.841845512390137,0.021680743637872757,-0.01669337626936329
25,25,25,25,2019-03-13,15.399396896362305,15.231566429138184,15.831680297851562,0.011018595362789485,-0.02730496026678364
26,26,26,26,2019-03-14,15.399396896362305,15.160367012023926,15.877446174621582,0.015766761065137747,-0.030108700920894238
27,27,27,27,2019-03-15,15.597738265991213,15.216314315795898,15.796077728271484,0.025066776505750843,-0.012556247550319921
28,28,28,28,2019-03-18,15.663848876953123,15.236652374267578,15.82659149169922,0.028037425294746177,-0.010282859378246578
29,29,29,29,2019-03-19,15.60282039642334,15.368884086608888,15.67402458190918,0.015221424567726682,-0.004542814458006084
30,30,30,30,2019-03-20,15.516366004943848,15.577391624450684,15.24682903289795,-0.00391757625269229,0.017678231418764012
31,31,31,31,2019-03-21,15.796077728271484,15.399396896362305,15.231566429138184,0.0257595043870118,0.03706193330538765
32,32,32,32,2019-03-22,15.801166534423828,15.399396896362305,15.160367012023926,0.02608995928642055,0.04226807450582659
33,33,33,33,2019-03-25,15.648592948913574,15.597738265991213,15.216314315795898,0.003260388272653847,0.02840889220255738
34,34,34,34,2019-03-26,15.963906288146973,15.663848876953123,15.236652374267578,0.01915604610022359,0.04773055760644751
35,35,35,35,2019-03-27,15.968989372253418,15.60282039642334,15.368884086608888,0.02346812733382575,0.03904677023151004
36,36,36,36,2019-03-28,15.770649909973145,15.516366004943848,15.577391624450684,0.01638810949343905,0.01240633157216875
37,37,37,37,2019-03-29,15.948650360107422,15.796077728271484,15.399396896362305,0.009658893458270645,0.03566720615369445
38,38,38,38,2019-04-01,16.248703002929688,15.801166534423828,15.399396896362305,0.028323001819572813,0.05515190707033524
39,39,39,39,2019-04-02,16.085960388183594,15.648592948913574,15.597738265991213,0.02794931408196577,0.03130082797048117
40,40,40,40,2019-04-03,16.2080135345459,15.963906288146973,15.663848876953123,0.015291197655060929,0.03474016264249258
41,41,41,41,2019-04-04,16.263959884643555,15.968989372253418,15.60282039642334,0.01847145774313419,0.042373075599317245
42,42,42,42,2019-04-05,16.452125549316406,15.770649909973145,15.516366004943848,0.04321163954773399,0.06030790612147241
43,43,43,43,2019-04-08,16.472471237182617,15.948650360107422,15.796077728271484,0.03284421347560773,0.04282034569255999
44,44,44,44,2019-04-09,16.49077796936035,16.248703002929688,15.801166534423828,0.014898110106819962,0.043643071126056476
45,45,45,45,2019-04-10,16.55829429626465,16.085960388183594,15.648592948913574,0.02936311520622792,0.058133108217517604
46,46,46,46,2019-04-11,16.724506378173828,16.2080135345459,15.963906288146973,0.03186651112593619,0.04764498590120092
47,47,47,47,2019-04-12,16.724506378173828,16.263959884643555,15.968989372253418,0.028316996401664962,0.04731151034724479
48,48,48,48,2019-04-15,16.631011962890625,16.452125549316406,15.770649909973145,0.010873149067456067,0.054554635213441616
49,49,49,49,2019-04-16,16.750469207763672,16.472471237182617,15.948650360107422,0.016876518803902396,0.050275028265830635
50,50,50,50,2019-04-17,16.594654083251953,16.49077796936035,16.248703002929688,0.0062990426579390135,0.021290996595844547
51,51,51,51,2019-04-18,16.636207580566406,16.55829429626465,16.085960388183594,0.0047053931345655275,0.0342066733414943
52,52,52,52,2019-04-22,16.662174224853516,16.724506378173828,16.2080135345459,-0.0037269950999365697,0.02802074969518098
53,53,53,53,2019-04-23,16.672565460205078,16.724506378173828,16.263959884643555,-0.0031056771897636226,0.025123375762094113
54,54,54,54,2019-04-24,15.992158889770508,16.631011962890625,16.452125549316406,-0.0384133614085308,-0.02795788654585185
55,55,55,55,2019-04-25,15.758427619934082,16.750469207763672,16.472471237182617,-0.059224704426177444,-0.04334769246017889
56,56,56,56,2019-04-26,15.935022354125977,16.594654083251953,16.49077796936035,-0.03974965225648819,-0.03370099435375107
57,57,57,57,2019-04-29,16.038902282714844,16.636207580566406,16.55829429626465,-0.035903933931992094,-0.031367482921654144
58,58,58,58,2019-04-30,16.080455780029297,16.662174224853516,16.724506378173828,-0.03491251723658728,-0.0385093935558567
59,59,59,59,2019-05-01,15.992158889770508,16.672565460205078,16.724506378173828,-0.04080995045775049,-0.04378888511526202
60,60,60,60,2019-05-02,15.903857231140137,15.992158889770508,16.631011962890625,-0.005521559611745386,-0.04372281935537148
61,61,61,61,2019-05-03,15.945409774780272,15.758427619934082,16.750469207763672,0.011865533754754853,-0.04806190340090677
62,62,62,62,2019-05-06,15.888278007507324,15.935022354125977,16.594654083251953,-0.002933434643507038,-0.04256648389299866
63,63,63,63,2019-05-07,15.85711669921875,16.038902282714844,16.636207580566406,-0.011334041463174516,-0.046831038719290285
64,64,64,64,2019-05-08,15.737655639648438,16.080455780029297,16.662174224853516,-0.021317812446994933,-0.05548607118908011
65,65,65,65,2019-05-09,15.77920627593994,15.992158889770508,16.672565460205078,-0.013316064159841767,-0.053582586698936896
66,66,66,66,2019-05-10,15.903857231140137,15.903857231140137,15.992158889770508,0.0,-0.005521559611745386
67,67,67,67,2019-05-13,15.825952529907228,15.945409774780272,15.758427619934082,-0.007491638443935189,0.004285003021984757
68,68,68,68,2019-05-14,16.147974014282227,15.888278007507324,15.935022354125977,0.016345132345506164,0.013363750324524082
69,69,69,69,2019-05-15,16.2310791015625,15.85711669921875,16.038902282714844,0.023583253465125464,0.011981918429340821
70,70,70,70,2019-05-16,16.423255920410156,15.737655639648438,16.080455780029297,0.04356432091667206,0.02131781244699482
71,71,71,71,2019-05-17,16.51674461364746,15.77920627593994,15.992158889770508,0.04674115572163573,0.0328026833332995
72,72,72,72,2019-05-20,16.719310760498047,15.903857231140137,15.903857231140137,0.0512739467857668,0.0512739467857668
73,73,73,73,2019-05-21,16.83357810974121,15.825952529907228,15.945409774780272,0.06366919008064853,0.055700565084610965
74,74,74,74,2019-05-22,16.766054153442383,16.147974014282227,15.888278007507324,0.0382760176981638,0.05524677661860533
75,75,75,75,2019-05-23,16.693334579467773,16.2310791015625,15.85711669921875,0.028479651600045175,0.05273454790745302
76,76,76,76,2019-05-24,16.7608585357666,16.423255920410156,15.737655639648438,0.02055637548318834,0.06501622093829362
