,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TGT,TGT_6m,TGT_12m,TGT_6m_ret,TGT_12m_ret
0,0,0,0,2019-02-05,64.68385314941406,,,,
1,1,1,1,2019-02-06,64.45272827148438,,,,
2,2,2,2,2019-02-07,63.87496566772461,,,,
3,3,3,3,2019-02-08,63.003868103027344,,,,
4,4,4,4,2019-02-11,62.35498809814453,,,,
5,5,5,5,2019-02-12,62.58610534667969,,,,
6,6,6,6,2019-02-13,64.50606536865234,64.68385314941406,,-0.002748565091678201,
7,7,7,7,2019-02-14,64.15939331054688,64.45272827148438,,-0.004551164377432193,
8,8,8,8,2019-02-15,64.74604797363281,63.87496566772461,,0.013637303704232773,
9,9,9,9,2019-02-19,65.73249053955078,63.003868103027344,,0.04330880815224614,
10,10,10,10,2019-02-20,65.20339965820312,62.35498809814453,,0.0456805725882794,
11,11,11,11,2019-02-21,64.59362030029297,62.58610534667969,,0.03207604854932522,
12,12,12,12,2019-02-22,64.79090881347656,64.50606536865234,64.68385314941406,0.004415762195327577,0.0016550600938260995
13,13,13,13,2019-02-25,65.55313873291016,64.15939331054688,64.45272827148438,0.021723170224151156,0.017073140128230024
14,14,14,14,2019-02-26,64.82677459716797,64.74604797363281,63.87496566772461,0.0012468193204322464,0.01490112627840201
15,15,15,15,2019-02-27,65.48140716552734,65.73249053955078,63.003868103027344,-0.0038197757602439486,0.03932360245641742
16,16,16,16,2019-02-28,65.1406478881836,65.20339965820312,62.35498809814453,-0.0009624002789497821,0.04467420931352817
17,17,17,17,2019-03-01,65.40967559814453,64.59362030029297,62.58610534667969,0.012633682615369013,0.04511496978162155
18,18,18,18,2019-03-04,65.16754913330078,64.79090881347656,64.50606536865234,0.005813166179047036,0.010254597933823106
19,19,19,19,2019-03-05,68.15377044677734,65.55313873291016,64.15939331054688,0.039672115845790445,0.0622570901956121
20,20,20,20,2019-03-06,68.96082305908203,64.82677459716797,64.74604797363281,0.06377069486493725,0.06509702471980439
21,21,21,21,2019-03-07,68.30621337890625,65.48140716552734,65.73249053955078,0.04313905787391237,0.03915450058608205
22,22,22,22,2019-03-08,67.98335266113281,65.1406478881836,65.20339965820312,0.043639491855052226,0.042635092916967876
23,23,23,23,2019-03-11,68.39586639404297,65.40967559814453,64.59362030029297,0.045653655496544765,0.05886411190568852
24,24,24,24,2019-03-12,68.31517028808594,65.16754913330078,64.79090881347656,0.04830043781985216,0.054394382470466685
25,25,25,25,2019-03-13,69.15814208984375,68.15377044677734,65.55313873291016,0.0147368463473454,0.05499360406862941
26,26,26,26,2019-03-14,68.59317779541016,68.96082305908203,64.82677459716797,-0.0053312191961063515,0.058099500116217895
27,27,27,27,2019-03-15,68.74562072753906,68.30621337890625,65.48140716552734,0.0064329045177098365,0.04984947183190891
28,28,28,28,2019-03-18,69.83966064453125,67.98335266113281,65.1406478881836,0.027305331536844335,0.0721364141850982
29,29,29,29,2019-03-19,70.35977935791016,68.39586639404297,65.40967559814453,0.02871391309750604,0.07567846369056208
30,30,30,30,2019-03-20,69.5347671508789,68.31517028808594,65.16754913330078,0.017852504175132955,0.0670152257628247
31,31,31,31,2019-03-21,71.28345489501953,69.15814208984375,68.15377044677734,0.030731201575871836,0.0459209289189102
32,32,32,32,2019-03-22,70.23424530029297,68.59317779541016,68.96082305908203,0.02392464611827072,0.01846587938951849
33,33,33,33,2019-03-25,70.42256164550781,68.74562072753906,68.30621337890625,0.02439342172230874,0.030983246792818386
34,34,34,34,2019-03-26,71.40899658203125,69.83966064453125,67.98335266113281,0.022470555025855266,0.05038945251749749
35,35,35,35,2019-03-27,71.57937622070312,70.35977935791016,68.39586639404297,0.01733372210548101,0.04654535419318018
36,36,36,36,2019-03-28,72.02775573730469,69.5347671508789,68.31517028808594,0.035852404323385656,0.05434496369639019
37,37,37,37,2019-03-29,71.97396850585938,71.28345489501953,69.15814208984375,0.009686870703121464,0.0407157614552105
38,38,38,38,2019-04-01,71.71389770507812,70.23424530029297,68.59317779541016,0.021067392387556394,0.04549606841333409
39,39,39,39,2019-04-02,71.25655364990234,70.42256164550781,68.74562072753906,0.011842682017059625,0.036524987276133736
40,40,40,40,2019-04-03,71.12203979492188,71.40899658203125,69.83966064453125,-0.004018496279803219,0.018361760904275437
41,41,41,41,2019-04-04,72.97833251953125,71.57937622070312,70.35977935791016,0.01954412531501637,0.037216619857502575
42,42,42,42,2019-04-05,72.58375549316406,72.02775573730469,69.5347671508789,0.007719243091332428,0.04384840083909913
43,43,43,43,2019-04-08,73.47154235839844,71.97396850585938,71.28345489501953,0.020807159638795536,0.030695586607037306
44,44,44,44,2019-04-09,72.3326644897461,71.71389770507812,70.23424530029297,0.008628268780099368,0.02987743629167139
45,45,45,45,2019-04-10,72.4133529663086,71.25655364990234,70.42256164550781,0.016234286632635042,0.02826922614405869
46,46,46,46,2019-04-11,72.14434814453125,71.12203979492188,71.40899658203125,0.014374002103386907,0.010297743949605254
47,47,47,47,2019-04-12,72.39543914794922,72.97833251953125,71.57937622070312,-0.00798721142917358,0.011400810824753416
48,48,48,48,2019-04-15,73.51639556884766,72.58375549316406,72.02775573730469,0.012849157078561824,0.020667585936902544
49,49,49,49,2019-04-16,73.50741577148438,73.47154235839844,71.97396850585938,0.0004882626923896627,0.02130558169097152
50,50,50,50,2019-04-17,74.14411163330078,72.3326644897461,71.71389770507812,0.025043279634908044,0.03388762856283245
51,51,51,51,2019-04-18,74.66425323486328,72.4133529663086,71.25655364990234,0.031084049782944767,0.04782296378945916
52,52,52,52,2019-04-22,73.55224609375,72.14434814453125,71.12203979492188,0.01951501379426457,0.034169524746977764
53,53,53,53,2019-04-23,73.67781066894531,72.39543914794922,72.97833251953125,0.017713429686853743,0.009584737349635386
54,54,54,54,2019-04-24,74.32345581054688,73.51639556884766,72.58375549316406,0.010977962608945013,0.02396817725347189
55,55,55,55,2019-04-25,73.30116271972656,73.50741577148438,73.47154235839844,-0.0028058808705641036,-0.0023189881851227723
56,56,56,56,2019-04-26,69.15814208984375,74.14411163330078,72.3326644897461,-0.0672470063181343,-0.04388781226706184
57,57,57,57,2019-04-29,69.76791381835938,74.66425323486328,72.4133529663086,-0.06557809399234227,-0.0365324769477261
58,58,58,58,2019-04-30,69.42716217041016,73.55224609375,72.14434814453125,-0.05608372473196799,-0.03766318559948156
59,59,59,59,2019-05-01,67.85781860351562,73.67781066894531,72.39543914794922,-0.07899246750939048,-0.06267826534155552
60,60,60,60,2019-05-02,68.53040313720703,74.32345581054688,73.51639556884766,-0.07794380132305123,-0.06782150285062971
61,61,61,61,2019-05-03,68.09994506835938,73.30116271972656,73.50741577148438,-0.07095682330789899,-0.07356360778530746
62,62,62,62,2019-05-06,68.13581848144531,69.15814208984375,74.14411163330078,-0.014782404175495811,-0.08103533806664331
63,63,63,63,2019-05-07,67.29288482666016,69.76791381835938,74.66425323486328,-0.03547517556771085,-0.09872687516227885
64,64,64,64,2019-05-08,67.62466430664062,69.42716217041016,73.55224609375,-0.025962430371923695,-0.0805900853055399
