,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VICI,VICI_6m,VICI_12m,VICI_6m_ret,VICI_12m_ret
0,0,0,0,2019-02-05,16.603988647460938,,,,
1,1,1,1,2019-02-06,16.557693481445312,,,,
2,2,2,2,2019-02-07,16.557693481445312,,,,
3,3,3,3,2019-02-08,16.73515510559082,,,,
4,4,4,4,2019-02-11,16.750585556030273,,,,
5,5,5,5,2019-02-12,16.634851455688477,,,,
6,6,6,6,2019-02-13,16.642566680908203,16.603988647460938,,0.00232341964731253,
7,7,7,7,2019-02-14,16.71200942993164,16.557693481445312,,0.009319894021426078,
8,8,8,8,2019-02-15,16.495967864990234,16.557693481445312,,-0.0037279115309296618,
9,9,9,9,2019-02-19,16.44967269897461,16.73515510559082,,-0.017058844379687743,
10,10,10,10,2019-02-20,16.580842971801758,16.750585556030273,,-0.010133531371827598,
11,11,11,11,2019-02-21,16.71200942993164,16.634851455688477,,0.004638332626455632,
12,12,12,12,2019-02-22,16.56540870666504,16.642566680908203,16.603988647460938,-0.004636182370335806,-0.00232353452023093
13,13,13,13,2019-02-25,16.48053550720215,16.71200942993164,16.557693481445312,-0.013850753477610889,-0.004659947010713039
14,14,14,14,2019-02-26,16.403377532958984,16.495967864990234,16.557693481445312,-0.0056129069108916685,-0.009319894021426078
15,15,15,15,2019-02-27,16.380239486694336,16.44967269897461,16.73515510559082,-0.004220947951420473,-0.021207787836870162
16,16,16,16,2019-02-28,16.441965103149414,16.580842971801758,16.750585556030273,-0.008375802659040144,-0.018424457571858177
17,17,17,17,2019-03-01,16.249073028564453,16.71200942993164,16.634851455688477,-0.02770082217270986,-0.023190975173517536
18,18,18,18,2019-03-04,16.441965103149414,16.56540870666504,16.642566680908203,-0.007451890001721306,-0.01205352405100546
19,19,19,19,2019-03-05,16.279932022094727,16.48053550720215,16.71200942993164,-0.012172146045846377,-0.025854306129282856
20,20,20,20,2019-03-06,16.225921630859375,16.403377532958984,16.495967864990234,-0.010818253846992865,-0.016370438906102902
21,21,21,21,2019-03-07,16.15648651123047,16.380239486694336,16.44967269897461,-0.013659933094728016,-0.017823223179535774
22,22,22,22,2019-03-08,16.32622528076172,16.441965103149414,16.580842971801758,-0.0070392937621260865,-0.01535613668575564
23,23,23,23,2019-03-11,16.56540870666504,16.249073028564453,16.71200942993164,0.01946792149585974,-0.008772178108279127
24,24,24,24,2019-03-12,16.557693481445312,16.441965103149414,16.56540870666504,0.007038597732684115,-0.0004657431251076094
25,25,25,25,2019-03-13,16.57312774658203,16.279932022094727,16.48053550720215,0.018009640586298836,0.005618278565002965
26,26,26,26,2019-03-14,16.52683448791504,16.225921630859375,16.403377532958984,0.01854519354286599,0.007526313084484926
27,27,27,27,2019-03-15,16.61941909790039,16.15648651123047,16.380239486694336,0.0286530481951095,0.014601716379076146
28,28,28,28,2019-03-18,16.57312774658203,16.32622528076172,16.441965103149414,0.015123058856186145,0.007977309440189373
29,29,29,29,2019-03-19,16.503684997558594,16.56540870666504,16.249073028564453,-0.0037260601413118266,0.015669322708228073
30,30,30,30,2019-03-20,16.54998207092285,16.557693481445312,16.441965103149414,-0.00046572975463654576,0.006569589893652417
31,31,31,31,2019-03-21,16.789161682128906,16.57312774658203,16.279932022094727,0.013035194011065787,0.03127959375647671
32,32,32,32,2019-03-22,16.897178649902344,16.52683448791504,16.225921630859375,0.02240865679741111,0.041369423217620716
33,33,33,33,2019-03-25,16.9049015045166,16.61941909790039,16.15648651123047,0.017177640502024305,0.04632288045831645
34,34,34,34,2019-03-26,17.043777465820312,16.57312774658203,16.32622528076172,0.028398364293990674,0.043950893284814274
35,35,35,35,2019-03-27,16.94347381591797,16.503684997558594,16.56540870666504,0.02664791641529951,0.022822564534783707
36,36,36,36,2019-03-28,17.043546676635742,16.54998207092285,16.557693481445312,0.029822667094005384,0.029343048035940456
37,37,37,37,2019-03-29,17.10609245300293,16.789161682128906,16.57312774658203,0.018877105175023612,0.03215836591441312
38,38,38,38,2019-04-01,17.035728454589844,16.897178649902344,16.52683448791504,0.008199582164464037,0.030791980584480516
39,39,39,39,2019-04-02,17.035728454589844,16.9049015045166,16.61941909790039,0.0077389951096897835,0.025049573287555305
40,40,40,40,2019-04-03,17.13736343383789,17.043777465820312,16.57312774658203,0.005490917034399079,0.03404521439064068
41,41,41,41,2019-04-04,17.14518165588379,16.94347381591797,16.503684997558594,0.011904751183687168,0.038869904413474377
42,42,42,42,2019-04-05,17.293729782104492,17.043546676635742,16.54998207092285,0.014679051855545744,0.04493948742629472
43,43,43,43,2019-04-08,17.26245880126953,17.10609245300293,16.789161682128906,0.009140974111779165,0.02819063441651304
44,44,44,44,2019-04-09,17.223363876342773,17.035728454589844,16.897178649902344,0.011014229432752876,0.019304123676428864
45,45,45,45,2019-04-10,17.387542724609375,17.035728454589844,16.9049015045166,0.020651554229531355,0.028550371616411052
