,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
0,0,0,2019-02-05,45.47787094116211,,
1,1,1,2019-02-06,45.50390625,,
2,2,2,2019-02-07,46.11142349243164,,
3,3,3,2019-02-08,46.41519927978516,,
4,4,4,2019-02-11,46.49330520629883,,
5,5,5,2019-02-12,46.41519927978516,,
6,6,6,2019-02-13,46.232940673828125,45.47787094116211,
7,7,7,2019-02-14,46.232940673828125,45.50390625,
8,8,8,2019-02-15,46.397830963134766,46.11142349243164,
9,9,9,2019-02-19,46.68424224853516,46.41519927978516,
10,10,10,2019-02-20,46.95328521728516,46.49330520629883,
11,11,11,2019-02-21,47.54346084594727,46.41519927978516,
12,12,12,2019-02-22,47.968727111816406,46.232940673828125,45.47787094116211
13,13,13,2019-02-25,47.482696533203125,46.232940673828125,45.50390625
14,14,14,2019-02-26,47.27440643310547,46.397830963134766,46.11142349243164
15,15,15,2019-02-27,47.20497512817383,46.68424224853516,46.41519927978516
16,16,16,2019-02-28,47.612892150878906,46.95328521728516,46.49330520629883
17,17,17,2019-03-01,47.66496276855469,47.54346084594727,46.41519927978516
18,18,18,2019-03-04,47.803829193115234,47.968727111816406,46.232940673828125
19,19,19,2019-03-05,47.64760208129883,47.482696533203125,46.232940673828125
20,20,20,2019-03-06,47.81250381469727,47.27440643310547,46.397830963134766
21,21,21,2019-03-07,48.18571472167969,47.20497512817383,46.68424224853516
22,22,22,2019-03-08,48.31589126586914,47.612892150878906,46.95328521728516
23,23,23,2019-03-11,48.64569091796875,47.66496276855469,47.54346084594727
24,24,24,2019-03-12,49.00153350830078,47.803829193115234,47.968727111816406
25,25,25,2019-03-13,49.16642761230469,47.64760208129883,47.482696533203125
26,26,26,2019-03-14,49.09212875366211,47.81250381469727,47.27440643310547
27,27,27,2019-03-15,49.38933563232422,48.18571472167969,47.20497512817383
28,28,28,2019-03-18,49.057159423828125,48.31589126586914,47.612892150878906
29,29,29,2019-03-19,48.655052185058594,48.64569091796875,47.66496276855469
30,30,30,2019-03-20,48.803653717041016,49.00153350830078,47.803829193115234
31,31,31,2019-03-21,49.37185287475586,49.16642761230469,47.64760208129883
32,32,32,2019-03-22,49.88759613037109,49.09212875366211,47.81250381469727
33,33,33,2019-03-25,49.88759613037109,49.38933563232422,48.18571472167969
34,34,34,2019-03-26,50.14110565185547,49.057159423828125,48.31589126586914
35,35,35,2019-03-27,49.74773406982422,48.655052185058594,48.64569091796875
36,36,36,2019-03-28,49.09212875366211,48.803653717041016,49.00153350830078
37,37,37,2019-03-29,49.13581848144531,49.37185287475586,49.16642761230469
38,38,38,2019-04-01,48.57637786865234,49.88759613037109,49.09212875366211
39,39,39,2019-04-02,48.58512115478516,49.88759613037109,49.38933563232422
40,40,40,2019-04-03,48.40154266357422,50.14110565185547,49.057159423828125
41,41,41,2019-04-04,48.322872161865234,49.74773406982422,48.655052185058594
42,42,42,2019-04-05,48.69875717163086,49.09212875366211,48.803653717041016
43,43,43,2019-04-08,48.34910202026367,49.13581848144531,49.37185287475586
44,44,44,2019-04-09,48.742462158203125,48.57637786865234,49.88759613037109
45,45,45,2019-04-10,48.38405990600586,48.58512115478516,49.88759613037109
46,46,46,2019-04-11,48.66379165649414,48.40154266357422,50.14110565185547
47,47,47,2019-04-12,48.83861923217773,48.322872161865234,49.74773406982422
48,48,48,2019-04-15,48.75994873046875,48.69875717163086,49.09212875366211
49,49,49,2019-04-16,47.95573043823242,48.34910202026367,49.13581848144531
50,50,50,2019-04-17,47.87705993652344,48.742462158203125,48.57637786865234
51,51,51,2019-04-18,47.79838180541992,48.38405990600586,48.58512115478516
52,52,52,2019-04-22,47.88580322265625,48.66379165649414,48.40154266357422
53,53,53,2019-04-23,48.23546600341797,48.83861923217773,48.322872161865234
54,54,54,2019-04-24,48.43650436401367,48.75994873046875,48.69875717163086
55,55,55,2019-04-25,48.94351577758789,47.95573043823242,48.34910202026367
56,56,56,2019-04-26,48.8823356628418,47.87705993652344,48.742462158203125
57,57,57,2019-04-29,48.47148132324219,47.79838180541992,48.38405990600586
58,58,58,2019-04-30,49.38933563232422,47.88580322265625,48.66379165649414
59,59,59,2019-05-01,48.864845275878906,48.23546600341797,48.83861923217773
60,60,60,2019-05-02,48.8823356628418,48.43650436401367,48.75994873046875
