,Unnamed: 0.1,Unnamed: 0,Date,CBOE,CBOE_6m,CBOE_12m
0,0,0,2019-02-05,95.0999984741211,,
1,1,1,2019-02-06,95.04000091552734,,
2,2,2,2019-02-07,95.0,,
3,3,3,2019-02-08,94.6500015258789,,
4,4,4,2019-02-11,94.12000274658205,,
5,5,5,2019-02-12,94.0,,
6,6,6,2019-02-13,95.0,95.0999984741211,
7,7,7,2019-02-14,92.63999938964844,95.04000091552734,
8,8,8,2019-02-15,93.54000091552734,95.0,
9,9,9,2019-02-19,94.16000366210938,94.6500015258789,
10,10,10,2019-02-20,95.1500015258789,94.12000274658205,
11,11,11,2019-02-21,94.83999633789062,94.0,
12,12,12,2019-02-22,96.5999984741211,95.0,95.0999984741211
13,13,13,2019-02-25,95.4000015258789,92.63999938964844,95.04000091552734
14,14,14,2019-02-26,94.9000015258789,93.54000091552734,95.0
15,15,15,2019-02-27,94.1500015258789,94.16000366210938,94.6500015258789
16,16,16,2019-02-28,95.91000366210938,95.1500015258789,94.12000274658205
17,17,17,2019-03-01,96.1999969482422,94.83999633789062,94.0
18,18,18,2019-03-04,97.54000091552734,96.5999984741211,95.0
19,19,19,2019-03-05,96.91000366210938,95.4000015258789,92.63999938964844
20,20,20,2019-03-06,94.8000030517578,94.9000015258789,93.54000091552734
21,21,21,2019-03-07,92.7300033569336,94.1500015258789,94.16000366210938
22,22,22,2019-03-08,92.33000183105467,95.91000366210938,95.1500015258789
23,23,23,2019-03-11,94.5,96.1999969482422,94.83999633789062
24,24,24,2019-03-12,95.66000366210938,97.54000091552734,96.5999984741211
25,25,25,2019-03-13,95.83000183105467,96.91000366210938,95.4000015258789
26,26,26,2019-03-14,95.2699966430664,94.8000030517578,94.9000015258789
27,27,27,2019-03-15,97.05999755859376,92.7300033569336,94.1500015258789
28,28,28,2019-03-18,95.83000183105467,92.33000183105467,95.91000366210938
29,29,29,2019-03-19,95.51000213623048,94.5,96.1999969482422
30,30,30,2019-03-20,94.69000244140624,95.66000366210938,97.54000091552734
31,31,31,2019-03-21,94.70999908447266,95.83000183105467,96.91000366210938
32,32,32,2019-03-22,95.44000244140624,95.2699966430664,94.8000030517578
33,33,33,2019-03-25,95.25,97.05999755859376,92.7300033569336
34,34,34,2019-03-26,94.7699966430664,95.83000183105467,92.33000183105467
35,35,35,2019-03-27,94.27999877929688,95.51000213623048,94.5
36,36,36,2019-03-28,94.16000366210938,94.69000244140624,95.66000366210938
37,37,37,2019-03-29,95.44000244140624,94.70999908447266,95.83000183105467
38,38,38,2019-04-01,96.83000183105467,95.44000244140624,95.2699966430664
39,39,39,2019-04-02,96.5,95.25,97.05999755859376
40,40,40,2019-04-03,95.6999969482422,94.7699966430664,95.83000183105467
41,41,41,2019-04-04,95.75,94.27999877929688,95.51000213623048
42,42,42,2019-04-05,95.8499984741211,94.16000366210938,94.69000244140624
43,43,43,2019-04-08,95.58999633789062,95.44000244140624,94.70999908447266
44,44,44,2019-04-09,94.91000366210938,96.83000183105467,95.44000244140624
45,45,45,2019-04-10,96.13999938964844,96.5,95.25
46,46,46,2019-04-11,95.91000366210938,95.6999969482422,94.7699966430664
47,47,47,2019-04-12,96.1500015258789,95.75,94.27999877929688
48,48,48,2019-04-15,97.69000244140624,95.8499984741211,94.16000366210938
49,49,49,2019-04-16,98.93000030517578,95.58999633789062,95.44000244140624
50,50,50,2019-04-17,100.8000030517578,94.91000366210938,96.83000183105467
51,51,51,2019-04-18,101.26000213623048,96.13999938964844,96.5
52,52,52,2019-04-22,101.06999969482422,95.91000366210938,95.6999969482422
53,53,53,2019-04-23,101.12000274658205,96.1500015258789,95.75
54,54,54,2019-04-24,101.3499984741211,97.69000244140624,95.8499984741211
55,55,55,2019-04-25,101.73999786376952,98.93000030517578,95.58999633789062
56,56,56,2019-04-26,101.5500030517578,100.8000030517578,94.91000366210938
57,57,57,2019-04-29,101.0,101.26000213623048,96.13999938964844
58,58,58,2019-04-30,101.61000061035156,101.06999969482422,95.91000366210938
59,59,59,2019-05-01,101.04000091552734,101.12000274658205,96.1500015258789
60,60,60,2019-05-02,99.9000015258789,101.3499984741211,97.69000244140624
61,61,61,2019-05-03,100.9800033569336,101.73999786376952,98.93000030517578
62,62,62,2019-05-06,103.06999969482422,101.5500030517578,100.8000030517578
63,63,63,2019-05-07,101.77999877929688,101.0,101.26000213623048
