,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m
0,0,0,2019-02-05,91.75299835205078,,
1,1,1,2019-02-06,92.49423217773438,,
2,2,2,2019-02-07,90.53740692138672,,
3,3,3,2019-02-08,90.75484466552734,,
4,4,4,2019-02-11,90.97228240966795,,
5,5,5,2019-02-12,92.47444915771484,,
6,6,6,2019-02-13,92.67211151123048,91.75299835205078,
7,7,7,2019-02-14,92.25701904296876,92.49423217773438,
8,8,8,2019-02-15,92.88953399658205,90.53740692138672,
9,9,9,2019-02-19,92.77095794677734,90.75484466552734,
10,10,10,2019-02-20,92.4151840209961,90.97228240966795,
11,11,11,2019-02-21,92.09891510009766,92.47444915771484,
12,12,12,2019-02-22,92.4843521118164,92.67211151123048,91.75299835205078
13,13,13,2019-02-25,93.02790832519533,92.25701904296876,92.49423217773438
14,14,14,2019-02-26,91.49605560302734,92.88953399658205,90.53740692138672
15,15,15,2019-02-27,92.77095794677734,92.77095794677734,90.75484466552734
16,16,16,2019-02-28,93.05756378173828,92.4151840209961,90.97228240966795
17,17,17,2019-03-01,95.33062744140624,92.09891510009766,92.47444915771484
18,18,18,2019-03-04,94.59931182861328,92.4843521118164,92.67211151123048
19,19,19,2019-03-05,93.78888702392578,93.02790832519533,92.25701904296876
20,20,20,2019-03-06,92.27679443359376,91.49605560302734,92.88953399658205
21,21,21,2019-03-07,92.14832305908205,92.77095794677734,92.77095794677734
22,22,22,2019-03-08,90.79434967041016,93.05756378173828,92.4151840209961
23,23,23,2019-03-11,91.83206176757812,95.33062744140624,92.09891510009766
24,24,24,2019-03-12,92.37564086914062,94.59931182861328,92.4843521118164
25,25,25,2019-03-13,92.56341552734376,93.78888702392578,93.02790832519533
26,26,26,2019-03-14,92.01984405517578,92.27679443359376,91.49605560302734
27,27,27,2019-03-15,92.93896484375,92.14832305908205,92.77095794677734
28,28,28,2019-03-18,92.92906951904295,90.79434967041016,93.05756378173828
29,29,29,2019-03-19,93.97666931152344,91.83206176757812,95.33062744140624
30,30,30,2019-03-20,93.9074935913086,92.37564086914062,94.59931182861328
31,31,31,2019-03-21,96.35845184326172,92.56341552734376,93.78888702392578
32,32,32,2019-03-22,92.61283111572266,92.01984405517578,92.27679443359376
33,33,33,2019-03-25,93.42321014404295,92.93896484375,92.14832305908205
34,34,34,2019-03-26,94.85623931884766,92.92906951904295,90.79434967041016
35,35,35,2019-03-27,93.24532318115234,93.97666931152344,91.83206176757812
36,36,36,2019-03-28,94.13480377197266,93.9074935913086,92.37564086914062
37,37,37,2019-03-29,95.23179626464844,96.35845184326172,92.56341552734376
38,38,38,2019-04-01,96.44739532470705,92.61283111572266,92.01984405517578
39,39,39,2019-04-02,96.26950073242188,93.42321014404295,92.93896484375
40,40,40,2019-04-03,97.4356689453125,94.85623931884766,92.92906951904295
41,41,41,2019-04-04,96.67469024658205,93.24532318115234,93.97666931152344
42,42,42,2019-04-05,97.84089660644533,94.13480377197266,93.9074935913086
43,43,43,2019-04-08,98.54257202148438,95.23179626464844,96.35845184326172
44,44,44,2019-04-09,99.93606567382812,96.44739532470705,92.61283111572266
45,45,45,2019-04-10,99.91629791259766,96.26950073242188,93.42321014404295
