,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
0,0,0,2019-02-05,267.2153625488281,,
1,1,1,2019-02-06,266.37481689453125,,
2,2,2,2019-02-07,264.7524108886719,,
3,3,3,2019-02-08,267.9287414550781,,
4,4,4,2019-02-11,269.3459167480469,,
5,5,5,2019-02-12,271.6036376953125,,
6,6,6,2019-02-13,275.2002258300781,267.2153625488281,
7,7,7,2019-02-14,275.1415710449219,266.37481689453125,
8,8,8,2019-02-15,279.41259765625,264.7524108886719,
9,9,9,2019-02-19,275.6106872558594,267.9287414550781,
10,10,10,2019-02-20,279.9891967773437,269.3459167480469,
11,11,11,2019-02-21,268.9940795898437,271.6036376953125,
12,12,12,2019-02-22,278.9532165527344,275.2002258300781,267.2153625488281
13,13,13,2019-02-25,283.5760498046875,275.1415710449219,266.37481689453125
14,14,14,2019-02-26,281.8461303710937,279.41259765625,264.7524108886719
15,15,15,2019-02-27,283.83013916015625,275.6106872558594,267.9287414550781
16,16,16,2019-02-28,283.6051025390625,279.9891967773437,269.3459167480469
17,17,17,2019-03-01,288.1746520996094,268.9940795898437,271.6036376953125
18,18,18,2019-03-04,286.3154602050781,278.9532165527344,275.2002258300781
19,19,19,2019-03-05,287.2646179199219,283.5760498046875,275.1415710449219
20,20,20,2019-03-06,280.96319580078125,281.8461303710937,279.41259765625
21,21,21,2019-03-07,281.3643798828125,283.83013916015625,275.6106872558594
22,22,22,2019-03-08,280.718505859375,283.6051025390625,279.9891967773437
23,23,23,2019-03-11,285.6012268066406,288.1746520996094,268.9940795898437
24,24,24,2019-03-12,290.0630798339844,286.3154602050781,278.9532165527344
25,25,25,2019-03-13,291.04168701171875,287.2646179199219,283.5760498046875
26,26,26,2019-03-14,292.43096923828125,280.96319580078125,281.8461303710937
27,27,27,2019-03-15,296.3841247558594,281.3643798828125,283.83013916015625
28,28,28,2019-03-18,294.6130676269531,280.718505859375,283.6051025390625
29,29,29,2019-03-19,294.9359741210937,285.6012268066406,288.1746520996094
30,30,30,2019-03-20,295.30780029296875,290.0630798339844,286.3154602050781
