,Unnamed: 0.1,Unnamed: 0,Date,UDR,UDR_6m,UDR_12m
0,0,0,2019-02-05,37.00839614868164,,
1,1,1,2019-02-06,36.94963836669922,,
2,2,2,2019-02-07,37.32735824584961,,
3,3,3,2019-02-08,37.42809295654297,,
4,4,4,2019-02-11,37.37772750854492,,
5,5,5,2019-02-12,37.12592315673828,,
6,6,6,2019-02-13,37.47845458984375,37.00839614868164,
7,7,7,2019-02-14,37.47005844116211,36.94963836669922,
8,8,8,2019-02-15,37.42809295654297,37.32735824584961,
9,9,9,2019-02-19,37.53721618652344,37.42809295654297,
10,10,10,2019-02-20,37.2098503112793,37.37772750854492,
11,11,11,2019-02-21,37.55400085449219,37.12592315673828,
12,12,12,2019-02-22,37.671512603759766,37.47845458984375,37.00839614868164
13,13,13,2019-02-25,37.37772750854492,37.47005844116211,36.94963836669922
14,14,14,2019-02-26,37.44487762451172,37.42809295654297,37.32735824584961
15,15,15,2019-02-27,37.24341583251953,37.53721618652344,37.42809295654297
16,16,16,2019-02-28,37.2853889465332,37.2098503112793,37.37772750854492
17,17,17,2019-03-01,37.19306945800781,37.55400085449219,37.12592315673828
18,18,18,2019-03-04,37.56239318847656,37.671512603759766,37.47845458984375
19,19,19,2019-03-05,37.68830108642578,37.37772750854492,37.47005844116211
20,20,20,2019-03-06,37.495243072509766,37.44487762451172,37.42809295654297
21,21,21,2019-03-07,37.48685836791992,37.24341583251953,37.53721618652344
22,22,22,2019-03-08,37.67990493774414,37.2853889465332,37.2098503112793
23,23,23,2019-03-11,37.67990493774414,37.19306945800781,37.55400085449219
24,24,24,2019-03-12,37.75544738769531,37.56239318847656,37.671512603759766
25,25,25,2019-03-13,37.88975143432617,37.68830108642578,37.37772750854492
26,26,26,2019-03-14,38.04923248291016,37.495243072509766,37.44487762451172
27,27,27,2019-03-15,37.88136291503906,37.48685836791992,37.24341583251953
28,28,28,2019-03-18,37.44487762451172,37.67990493774414,37.2853889465332
29,29,29,2019-03-19,37.36933517456055,37.67990493774414,37.19306945800781
30,30,30,2019-03-20,37.35254669189453,37.75544738769531,37.56239318847656
31,31,31,2019-03-21,37.88136291503906,37.88975143432617,37.68830108642578
32,32,32,2019-03-22,37.75544738769531,38.04923248291016,37.495243072509766
33,33,33,2019-03-25,37.83099365234375,37.88136291503906,37.48685836791992
34,34,34,2019-03-26,38.12477111816406,37.44487762451172,37.67990493774414
35,35,35,2019-03-27,38.04084777832031,37.36933517456055,37.67990493774414
36,36,36,2019-03-28,38.191925048828125,37.35254669189453,37.75544738769531
37,37,37,2019-03-29,38.15835189819336,37.88136291503906,37.88975143432617
38,38,38,2019-04-01,37.99047470092773,37.75544738769531,38.04923248291016
39,39,39,2019-04-02,38.359806060791016,37.83099365234375,37.88136291503906
40,40,40,2019-04-03,38.418556213378906,38.12477111816406,37.44487762451172
41,41,41,2019-04-04,38.13317108154297,38.04084777832031,37.36933517456055
42,42,42,2019-04-05,38.29265213012695,38.191925048828125,37.35254669189453
43,43,43,2019-04-08,38.13451385498047,38.15835189819336,37.88136291503906
44,44,44,2019-04-09,38.1683349609375,37.99047470092773,37.75544738769531
45,45,45,2019-04-10,38.36285400390625,38.359806060791016,37.83099365234375
46,46,46,2019-04-11,38.4643440246582,38.418556213378906,38.12477111816406
47,47,47,2019-04-12,38.7349739074707,38.13317108154297,38.04084777832031
48,48,48,2019-04-15,38.675777435302734,38.29265213012695,38.191925048828125
49,49,49,2019-04-16,37.618595123291016,38.13451385498047,38.15835189819336
50,50,50,2019-04-17,36.95891952514648,38.1683349609375,37.99047470092773
51,51,51,2019-04-18,37.40716171264648,38.36285400390625,38.359806060791016
52,52,52,2019-04-22,36.79823303222656,38.4643440246582,38.418556213378906
53,53,53,2019-04-23,37.29722213745117,38.7349739074707,38.13317108154297
54,54,54,2019-04-24,37.60167694091797,38.675777435302734,38.29265213012695
55,55,55,2019-04-25,37.79619598388672,37.618595123291016,38.13451385498047
56,56,56,2019-04-26,38.08375549316406,36.95891952514648,38.1683349609375
57,57,57,2019-04-29,37.542476654052734,37.40716171264648,38.36285400390625
58,58,58,2019-04-30,38.01609802246094,36.79823303222656,38.4643440246582
59,59,59,2019-05-01,37.6355094909668,37.29722213745117,38.7349739074707
60,60,60,2019-05-02,37.43253326416016,37.60167694091797,38.675777435302734
61,61,61,2019-05-03,37.610137939453125,37.79619598388672,37.618595123291016
62,62,62,2019-05-06,37.52556991577149,38.08375549316406,36.95891952514648
