,Unnamed: 0.1,Unnamed: 0,Date,VRTX,VRTX_6m,VRTX_12m
0,0,0,2019-02-05,187.0200042724609,,
1,1,1,2019-02-06,182.38999938964844,,
2,2,2,2019-02-07,180.17999267578125,,
3,3,3,2019-02-08,181.33999633789065,,
4,4,4,2019-02-11,181.52999877929688,,
5,5,5,2019-02-12,184.009994506836,,
6,6,6,2019-02-13,185.25,187.0200042724609,
7,7,7,2019-02-14,185.72000122070312,182.38999938964844,
8,8,8,2019-02-15,188.07000732421875,180.17999267578125,
9,9,9,2019-02-19,186.8600006103516,181.33999633789065,
10,10,10,2019-02-20,187.83999633789065,181.52999877929688,
11,11,11,2019-02-21,183.0599975585937,184.009994506836,
12,12,12,2019-02-22,185.759994506836,185.25,187.0200042724609
13,13,13,2019-02-25,186.3300018310547,185.72000122070312,182.38999938964844
14,14,14,2019-02-26,188.9199981689453,188.07000732421875,180.17999267578125
15,15,15,2019-02-27,189.8099975585937,186.8600006103516,181.33999633789065
16,16,16,2019-02-28,188.75,187.83999633789065,181.52999877929688
17,17,17,2019-03-01,192.16000366210932,183.0599975585937,184.009994506836
18,18,18,2019-03-04,190.0399932861328,185.759994506836,185.25
19,19,19,2019-03-05,187.8000030517578,186.3300018310547,185.72000122070312
20,20,20,2019-03-06,181.1100006103516,188.9199981689453,188.07000732421875
21,21,21,2019-03-07,178.61000061035156,189.8099975585937,186.8600006103516
22,22,22,2019-03-08,177.25999450683594,188.75,187.83999633789065
23,23,23,2019-03-11,180.5200042724609,192.16000366210932,183.0599975585937
24,24,24,2019-03-12,182.57000732421875,190.0399932861328,185.759994506836
25,25,25,2019-03-13,185.66000366210932,187.8000030517578,186.3300018310547
26,26,26,2019-03-14,186.1100006103516,181.1100006103516,188.9199981689453
27,27,27,2019-03-15,188.08999633789065,178.61000061035156,189.8099975585937
28,28,28,2019-03-18,187.47999572753903,177.25999450683594,188.75
29,29,29,2019-03-19,181.759994506836,180.5200042724609,192.16000366210932
30,30,30,2019-03-20,179.97999572753906,182.57000732421875,190.0399932861328
31,31,31,2019-03-21,182.5599975585937,185.66000366210932,187.8000030517578
32,32,32,2019-03-22,181.52999877929688,186.1100006103516,181.1100006103516
33,33,33,2019-03-25,183.8500061035156,188.08999633789065,178.61000061035156
34,34,34,2019-03-26,189.91000366210932,187.47999572753903,177.25999450683594
35,35,35,2019-03-27,185.82000732421875,181.759994506836,180.5200042724609
36,36,36,2019-03-28,182.4199981689453,179.97999572753906,182.57000732421875
37,37,37,2019-03-29,183.9499969482422,182.5599975585937,185.66000366210932
38,38,38,2019-04-01,186.0500030517578,181.52999877929688,186.1100006103516
39,39,39,2019-04-02,187.1100006103516,183.8500061035156,188.08999633789065
40,40,40,2019-04-03,187.88999938964844,189.91000366210932,187.47999572753903
41,41,41,2019-04-04,184.1499938964844,185.82000732421875,181.759994506836
42,42,42,2019-04-05,188.88999938964844,182.4199981689453,179.97999572753906
43,43,43,2019-04-08,188.92999267578125,183.9499969482422,182.5599975585937
44,44,44,2019-04-09,188.3099975585937,186.0500030517578,181.52999877929688
45,45,45,2019-04-10,190.3699951171875,187.1100006103516,183.8500061035156
46,46,46,2019-04-11,185.1199951171875,187.88999938964844,189.91000366210932
47,47,47,2019-04-12,182.77999877929688,184.1499938964844,185.82000732421875
48,48,48,2019-04-15,182.4900054931641,188.88999938964844,182.4199981689453
49,49,49,2019-04-16,179.74000549316406,188.92999267578125,183.9499969482422
50,50,50,2019-04-17,166.97000122070312,188.3099975585937,186.0500030517578
51,51,51,2019-04-18,168.16000366210938,190.3699951171875,187.1100006103516
52,52,52,2019-04-22,168.52000427246094,185.1199951171875,187.88999938964844
53,53,53,2019-04-23,175.3699951171875,182.77999877929688,184.1499938964844
